,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,fyp_location,hashtags,hash_fiji,hash_fijitiktok,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_trending,hash_viral,hash_xyzbca
7,FR,7101617825105579269,1653474253, ,6861266353005888518,La tictokeuse 869,latiktokeuse869🦄,0,False,https://m.tiktok.com/v/7101617825105579269.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101617825105579269&source=h5_m,472572,417,1266,25,20256,7000536683187882757,7000536683187882757,72,7000536683187882757,original sound - latiktokeuse869,La tictokeuse 869,6.861266353005889e+18,La tictokeuse 869,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7000536780055333637.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8842e74e1aa19a973cce6669fcb5aa17.json,False,False,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
0,FJ,7093322851196980481,1651542929,Straight outta draft #tiktokfj #fyp #viral,6836215888187343877,Gen Rachael Sakele,"AIN'T COMPETING JUST HERE FOR FUN☻︎♡︎
CEO OF NOTHING☠︎︎
Ig: pu_gen99🐖❤️",0,False,https://www.tiktok.com/@pu_gen99/video/7093322851196980481?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093322851196980481&source=h5_m,60799,238,8,129,7606,6994933126145346305,6994933126145346305,72,6994933126145346305,original sound - pu_gen99,Gen Rachael Sakele,6.836215888187344e+18,Gen Rachael Sakele,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6994933059615230722.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ee9599fd3ac0212fd5a49a27853f2667.json,False,False,[],0,0,,,,,Fiji,#tiktokfj #fyp #viral,0,0,0,0,0,1,0,0,1,0
1,FJ,7101905133314837762,1653541146,After FJFW tiktok challenge 🤣👀 #fjfw #trend #fyp #pia #pacificislandtiktok #islandwear #glowupchallenge,239424197092106240,Rachael.Guttenbeil,Leessgoo 🤪,0,False,https://www.tiktok.com/@guttenbeilr/video/7101905133314837762?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101905133314837762&source=h5_m,46893,76,24,226,5758,6918079418158024706,6918079418158024706,10033,6918079418158024706,Right There,Nicole Scherzinger,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/4d489b10e45d473b9a774fcda43ed946,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/9d6432dd36324093a834bea739960b2c,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1443090737', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Fiji,#fjfw #trend #fyp #pia #pacificislandtiktok #islandwear #glowupchallenge,0,0,0,0,0,1,0,0,0,0
2,US,7080149437770763563,1648475753,Conflicted...,7010640750473036805,Jay Streazy in Vietnam 🇻🇳,"🌏 Meeting people around the world
Current country: Vietnam 🇻🇳",0,False,https://www.tiktok.com/@jaystreazy/video/7080149437770763563?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080149437770763563&source=h5_m,74853847,67203,222235,110410,6761568,7080149377188203306,7080149377188203306,72,7080149377188203306,original sound - jaystreazy,Jay Streazy in Vietnam 🇻🇳,7.010640750473037e+18,Jay Streazy in Vietnam 🇻🇳,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7080149427712723755.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/79a5129a54d9015934bb752e8d1d38b4.json,False,False,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
3,GB,7081333916413463813,1648751534,Part 1 #fyp #tiger #zoo #foryou #viral,6850176411183350790,👍💯,,0,False,https://www.tiktok.com/@acharmo13/video/7081333916413463813?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081333916413463813&source=h5_m,48413722,6701,3963,1111,2985360,7081333921832864518,7081333921832864518,72,7081333921832864518,original sound - acharmo13,👍💯,6.850176411183351e+18,👍💯,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7081333927054494469.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d75d255c0a1727f8e66c9f94bba1a4f1.json,False,False,[],0,0,,,,,Fiji,#fyp #tiger #zoo #foryou #viral,0,0,1,0,0,1,0,0,1,0
4,HN,7093262327620947206,1651528836,Míralo hasta el final🤯🤯#viraltiktok #talent #fypシ,7085760620544885766,Mars,🇭🇳💫,0,False,https://www.tiktok.com/@surella504/video/7093262327620947206?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093262327620947206&source=h5_m,81787293,4171,5859,33198,3497620,6876317620681836551,6876317620681836551,10036,6876317620681836551,Dusk Till Dawn(完整版),硬曲Music,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/bc637329ecd440dca67de4e29d935da7,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/2e8ad0735bcb48908973ee406bae01e3,False,True,[],0,0,,,,,Fiji,#viraltiktok #talent #fypシ,0,0,0,0,0,0,1,0,0,0
5,US,7092850697728724267,1651432994,Pay back🤣😭,6740372348631942150,TheRealHammyTV,The couple that everyone else copy’s😉 best on Tiktok voted 2022 🚀,0,False,https://www.tiktok.com/@therealhammytv/video/7092850697728724267?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092850697728724267&source=h5_m,33685351,21624,191653,75868,1883079,7030869625311086594,7030869625311086594,10033,7030869625311086594,Sunroof,Nicky Youre & dazy,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/986dfec9a96747239819231f7dc93931,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a118c1899d5b40d1a5c6c65c307b0e2d,True,True,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
6,NZ,7101892057026858242,1653538103,Tofa United entertainer_forever show time.. 😉 mommy's turn😀lava oe ma lau fagau sei fai fika mommy 🤣peeeriiiood,6769834947710567429,Faitoai Tofa,,0,False,https://www.tiktok.com/@tofaunited/video/7101892057026858242?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101892057026858242&source=h5_m,76553,88,8,100,7388,6990766058684664581,6990766058684664581,10036,6990766058684664581,Armadilha,Guélcio Smith,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/35440ce1dd0a4ab4a203a68152c5fe9d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/81545c4a0de84d91b3886b25cdf4aa2b,False,True,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
7,CA,7096612980699237637,1652308971,Dear future child! Be careful what you wish for🤣 #couple #funny #relationships #girlfriend #boyfriend,6722546287470822406,LoveK&R,"🤍🤍  
INSTAGRAM: @Kristenvp | @Mr._anderson18
💌partnerships@equationsales.com",0,False,https://www.tiktok.com/@kristenandreafe/video/7096612980699237637?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096612980699237637&source=h5_m,27861698,16643,50680,298459,2744887,7043680768006458118,7043680768006458118,72,7043680768006458118,original sound - jasonmoments (Contains music from: Tum Par Marte Hain - Kaka),"Contains music from: ""Tum Par Marte Hain""",2.2245356847199027e+17,Jason Moments,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7043680877330615046.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7df030f082afbe22fd8ef3fc5a064e8e.json,False,False,[],0,0,Kaka,Tum Par Marte Hain,original sound - jasonmoments (Contains music from: Tum Par Marte Hain - Kaka),"Contains music from: ""Tum Par Marte Hain""",Fiji,#couple #funny #relationships #girlfriend #boyfriend,0,0,0,0,1,0,0,0,0,0
0,FJ,7084614453282540802,1649515344,My lil nephew and lil niece 🤣🤣🤣they definitely watch tiktok vids🤣🤣🤣Jathon &Akithi🥰🥰,6754014116782638085,Luseane Kubunavanua,"💁‍♀️🇫🇯💙🏖🌊🌴
💜💜💜",0,False,https://www.tiktok.com/@k_lucyanne/video/7084614453282540802?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084614453282540802&source=h5_m,264894,0,415,4301,20277,7084614429026896641,7084614429026896641,72,7084614429026896641,original sound - k_lucyanne,Luseane Kubunavanua,6.754014116782638e+18,Luseane Kubunavanua,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7084614383208385281.mp3,,False,False,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
1,FJ,7071861399298772225,1646546043, ,6648797004388564997,@_va'ahfj,"Afro-beats & a mixture of Hip-Hop Dance,all fresh new vibes
ig: v_uluivii",0,False,https://www.tiktok.com/@x.vaah/video/7071861399298772225?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071861399298772225&source=h5_m,216147,84,101,1452,13023,6704992801559414786,6704992801559414786,10033,6704992801559414786,Infinity,Jaymes Young,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7861e9af59e04a7aa61cb096ab7a5652,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/1cd7ba384ad84c2d8dd663b398df1127,True,True,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
2,TT,7102463179422272774,1653671075,#fyp #explore #couples,6864835588559340546,Alicia Singh-Lemo,"🇹🇹
IG @sxnd_nxdess",0,False,https://www.tiktok.com/@aliciasinghlemo/video/7102463179422272774?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102463179422272774&source=h5_m,2434461,3231,4883,7670,469892,7076262097558063914,7076262097558063914,72,7076262097558063914,XO,Basically nightcore,7.040300622462469e+18,Basically nightcore,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076262113718848302.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b059bc66418ad5dceaca18a775955b73.json,False,False,[],0,0,,,,,Fiji,#fyp #explore #couples,0,0,0,0,0,1,0,0,0,0
3,FR,7102869333646331141,1653765641,This man looks so funny😭😭😭#geonetflix #cristianoronaldo #georginarodriguez #foryou #Cr7,6971136556409619461,Georinga 💕,GIO page 💍,0,False,https://www.tiktok.com/@georginagiocr/video/7102869333646331141?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102869333646331141&source=h5_m,1864889,681,1549,122,142982,7087167535048936194,7087167535048936194,72,7087167535048936194,Where's Patreal? (Contains music from: Tony Hawk’s - Miracle),"Contains music from: ""Tony Hawk’s""",7.008437186422359e+18,annas..babe,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7087167528446806786.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d5c40a1cceeaba10d4fe2c5f5289e553.json,False,False,[],0,0,Miracle,Tony Hawk’s,Where's Patreal? (Contains music from: Tony Hawk’s - Miracle),"Contains music from: ""Tony Hawk’s""",Fiji,#geonetflix #cristianoronaldo #georginarodriguez #foryou #Cr7,0,0,1,0,0,0,0,0,0,0
4,US,7080676614043995434,1648598494,I told you no to wear that @elliemoraless_,6832705390443365381,Jaykindafunny,For More Muñañyo shi ↙️,0,False,https://www.tiktok.com/@jaykindafunny8/video/7080676614043995434?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080676614043995434&source=h5_m,27617010,8337,8031,18934,1892114,7080676594947492654,7080676594947492654,72,7080676594947492654,original sound - jaykindafunny8,Jaykindafunny,6.832705390443365e+18,Jaykindafunny,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7080676620717001514.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/e4cce39df303edf520b2db0b86d54435.json,False,False,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
5,US,7084342395935919406,1649452000,"“I was going to” -devon, tbh I reacted to early😭#dorm #collegelife",60900960499175424,ana,"18
MN
Fitness | Lifestyle 
🤍check out my insta🤍",0,False,https://www.tiktok.com/@ana.learmann/video/7084342395935919406?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084342395935919406&source=h5_m,34046892,18587,24334,278,4755537,7064412802357971717,7064412802357971717,72,7064412802357971717,finesse (Contains music from: Finesse (Remix) [feat. Cardi B] - Bruno Mars),"Contains music from: ""Finesse (Remix) [feat. Cardi B]""",6.94369564517073e+18,.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7064412851720440582.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5a59d0d516dac7c750caba772b24b5b4.json,False,False,[],0,0,Bruno Mars,Finesse (Remix) [feat. Cardi B],finesse (Contains music from: Finesse (Remix) [feat. Cardi B] - Bruno Mars),"Contains music from: ""Finesse (Remix) [feat. Cardi B]""",Fiji,#dorm #collegelife,0,0,0,0,0,0,0,0,0,0
6,IE,7071262111623630086,1646406510,🤣🇮🇪🍀 #foryoupage #MomsofTikTok #irish #ireland #kids #birthday,6822382847107040261,Donna Jacobs Mammy ☘️,"🇮🇪☘️ My funny little old soul ☘️🇮🇪
Follow us on Instagram 📷 jacobs_mammy",0,False,https://www.tiktok.com/@keepupwithjacob/video/7071262111623630086?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071262111623630086&source=h5_m,86417209,85763,353882,355048,11312212,7071262095039318789,7071262095039318789,72,7071262095039318789,original sound - keepupwithjacob,Donna Jacobs Mammy ☘️,6.82238284710704e+18,Donna Jacobs Mammy ☘️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7071262116766452485.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/42ab9598121f37db944afaf8a3127df8.json,False,False,[],0,0,,,,,Fiji,#foryoupage #MomsofTikTok #irish #ireland #kids #birthday,0,0,0,1,0,0,0,0,0,0
7,US,7102229614004587819,1653616693,nobody believes we’re friends 😂❤️ (link in bio) #bestfriend #kywavyyy #girlbestfriend #fyp,6942913159402587142,KyWavyyy📸,"Philly📍
WAVIEST YOUTUBER ALIVE🧿
YouTube: KyWavyyy (100k soon🥷🔥)

⬇️",0,False,https://www.tiktok.com/@kyluvher/video/7102229614004587819?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102229614004587819&source=h5_m,6273676,2506,9763,17346,713768,7096585794936212229,7096585794936212229,72,7096585794936212229,Our time (Contains music from: Our Time - Lil Tecca),"Contains music from: ""Our Time""",7.06058932806602e+18,qtsox2,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096585803094084358.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/11ebc65d1715db6cb9dfd76467bec269.json,False,False,[],0,0,Lil Tecca,Our Time,Our time (Contains music from: Our Time - Lil Tecca),"Contains music from: ""Our Time""",Fiji,#bestfriend #kywavyyy #girlbestfriend #fyp,0,0,0,0,0,1,0,0,0,0
0,FJ,7102679110438194433,1653721351,Oji Na Soqo! Voleka Na Veibiuuu😭😭,6637562885076238341,Ju Naloci,Go On And Move That Thing💍😂,0,False,https://www.tiktok.com/@_broski11/video/7102679110438194433?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102679110438194433&source=h5_m,81366,54,14,160,5300,6709399556552919042,6709399556552919042,10033,6709399556552919042,Au Waraki Iko,Voqa Ni Delai Dokidoki,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/aa96e7c1b79f470c8a588ce7ac4f9bfd,,False,True,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
1,FJ,7081162612242713857,1648711650, ,6833510521346737157,Malibu & Vivianne,Au mai veiwali ga kei na fun i ke 🤪,0,False,https://www.tiktok.com/@malibuuuuu02/video/7081162612242713857?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081162612242713857&source=h5_m,75167,197,8,320,7127,7062809766305106690,7062809766305106690,72,7062809766305106690,original sound - spici.mami (Contains music from: It Takes A Nation - Ice Cube),"Contains music from: ""It Takes A Nation""",22281316.0,Talei Tamanalevu,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7062809758213901058.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e066efb405a08e33d7c5ab6ff3d1d1cb.json,False,False,[],0,0,Ice Cube,It Takes A Nation,original sound - spici.mami (Contains music from: It Takes A Nation - Ice Cube),"Contains music from: ""It Takes A Nation""",Fiji,,0,0,0,0,0,0,0,0,0,0
2,US,7071832104858078510,1646539221,TikTok star in the making 😂 @lil nas x’s youngest fan 🤩,6791567808587416582,Brittany Revell,"Full time Doctor of Physical Therapy. 💪🏼 
Here just for fun. ❣️",0,False,https://www.tiktok.com/@bnrevell/video/7071832104858078510?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071832104858078510&source=h5_m,34903391,47397,194398,50319,5631269,7012418685637856005,7012418685637856005,72,7012418685637856005,original sound - music.al.quotes (Contains music from: THATS WHAT I WANT - Lil Nas X),"Contains music from: ""THATS WHAT I WANT""",6.985696466976671e+18,musicquotes,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7012418768747940613.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ee6e186a4f65dfe7ae1d3e65ad5808ca.json,False,False,[],0,0,Lil Nas X,THATS WHAT I WANT,original sound - music.al.quotes (Contains music from: THATS WHAT I WANT - Lil Nas X),"Contains music from: ""THATS WHAT I WANT""",Fiji,,0,0,0,0,0,0,0,0,0,0
3,US,7084349203870141738,1649453585,Pops is a girl dad! #dad #mom #daughter #son #viral #fyp #foryou #foryoupage,6793914108284175365,The Furrha Family,"Business: furrhafamilybusiness@gmail.com
New videos every day",0,False,https://www.tiktok.com/@thefurrhafamily/video/7084349203870141738?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084349203870141738&source=h5_m,42335979,20750,24431,66735,3824806,7073489854000024362,7073489854000024362,10036,7073489854000024362,In My Head,Lil Tjay,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/61ff0ba0cfac40b6a8bf80db9ed74eb2,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0e85fc47bcb94d51b800e1fa92ecda5f,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1613977158', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Fiji,#dad #mom #daughter #son #viral #fyp #foryou #foryoupage,0,0,1,1,0,1,0,0,1,0
4,GB,7103443041700121862,1653899223,#movie,7101232565214807045,cjy6667677sjj,,0,False,https://www.tiktok.com/@cjy6667677sjj/video/7103443041700121862?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103443041700121862&source=h5_m,272654,49,9,108,8980,6876302000137439246,6876302000137439246,10036,6876302000137439246,Paris,斌杨Remix,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/afa6612d4efa4b029fb656f468dd6442,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/02d15d9704e34920abe2d4ec983893f9,False,True,[],0,0,,,,,Fiji,#movie,0,0,0,0,0,0,0,0,0,0
5,US,7086243747805039918,1649894693,Wish it was this quick to change #challenge #trending #baggyfit  #fashion #baggyclotheschallenge,6791931628345918469,Mary Bellavita,"Influencer | Youtuber
33 | SoFlo | ✝️
IG: @mary_bellavita
CEO MBFit Gear",0,False,https://www.tiktok.com/@mary_bellavita/video/7086243747805039918?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086243747805039918&source=h5_m,5648491,6850,2831,8331,284374,7018188029625977605,7018188029625977605,72,7018188029625977605,original sound - entanela,Lisa,7.018131422126015e+18,Lisa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7018188134559337222.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4cdc95aa61555cc09a6f40c6febf160c.json,False,False,[],0,0,,,,,Fiji,#challenge #trending #baggyfit #fashion #baggyclotheschallenge,0,0,0,0,0,0,0,1,0,0
6,US,7098878410147220782,1652836430, ,6753641272324604934,Kiki,"🎤Rapper (click the link)🔥
🤪Funny 
💃🏾Dance",0,False,https://www.tiktok.com/@kiki2blunt/video/7098878410147220782?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098878410147220782&source=h5_m,24175394,41641,234676,206476,814739,7096926345917336366,7096926345917336366,72,7096926345917336366,original sound - _qveenn (Contains music from: Air Force 10 - laotianmusic),"Contains music from: ""Air Force 10""",6.849877236235388e+18,th3barbb,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7096926412803951406.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/29f43f4e8cf2da72216f09b0aebbbda3.json,False,False,[],0,0,laotianmusic,Air Force 10,original sound - _qveenn (Contains music from: Air Force 10 - laotianmusic),"Contains music from: ""Air Force 10""",Fiji,,0,0,0,0,0,0,0,0,0,0
7,US,7095967975265668354,1652158795,@danilis_boom oops 😂 IG: marysenn,28852477,Mary Senn,"LA📍QUEEN OF POV👸🏽
🇸🇳🇺🇦
FAM @xoteam 💖
📧world.marysenn@gmail.com",0,False,https://www.tiktok.com/@marysenn/video/7095967975265668354?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095967975265668354&source=h5_m,16727387,21800,16337,144060,1031664,7064884950239070977,7064884950239070977,72,7064884950239070977,Love Yourself (Drill Remix) (Contains music from: Love Yourself - Justin Bieber),"Contains music from: ""Love Yourself""",7.042141458783487e+18,❤️‍🔥,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7064887206300666626.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8b0b64d91ba02c2dcb7c2850cc3026c2.json,False,False,[],0,0,Justin Bieber,Love Yourself,Love Yourself (Drill Remix) (Contains music from: Love Yourself - Justin Bieber),"Contains music from: ""Love Yourself""",Fiji,,0,0,0,0,0,0,0,0,0,0
0,FJ,7102696276692569345,1653725347,Only fighting when it comes to work 😐 #trending #xyzbca #2dayfmfiji,6771867538815386629,2dayFM Fiji,"2dayFM Fiji 🇫🇯 
Listen to us on 95.4fm, 95.2fm, 95.6fm, 95.8fm❤️",0,False,https://www.tiktok.com/@2dayfmfiji/video/7102696276692569345?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102696276692569345&source=h5_m,66804,46,18,75,6169,7102696272779315970,7102696272779315970,72,7102696272779315970,original sound - 2dayfmfiji,2dayFM Fiji,6.771867538815387e+18,2dayFM Fiji,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102696212301728514.mp3,,False,False,[],0,0,,,,,Fiji,#trending #xyzbca #2dayfmfiji,0,0,0,0,0,0,0,1,0,1
1,FJ,7084469338647842049,1649481558,Our facial expressions @shermont22 #fyp #gaybestftriend #funny #tiktokfj,75178170244558848,ﹰDelanie,"Kailoma🌺🇫🇯
23
Aries♈
Thank you all for 20k😍❤
please follow my Instagram 👇",0,False,https://www.tiktok.com/@dee_tiktokfj/video/7084469338647842049?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084469338647842049&source=h5_m,75918,59,16,133,5983,7040814063047297798,7040814063047297798,72,7040814063047297798,original sound - joyceelaine (Contains music from: Vincevaughn - NBD JAYY),"Contains music from: ""Vincevaughn""",1248414.0,Joyce Elaine,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7040814104051108613.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5f814af57056e43c343f0cfa3a747736.json,False,False,[],0,0,NBD JAYY,Vincevaughn,original sound - joyceelaine (Contains music from: Vincevaughn - NBD JAYY),"Contains music from: ""Vincevaughn""",Fiji,#fyp #gaybestftriend #funny #tiktokfj,0,0,0,0,1,1,0,0,0,0
2,CM,7088042471560596742,1650313492,Reply to @iamboard123 never 👎 #fypシ #xzybca #bts #makeup #cover #green,6636243958207578117,CRA,❤️🔥Shop the blonde Bodywave wig ⬇️⬇️,0,False,https://www.tiktok.com/@cramakeup/video/7088042471560596742?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088042471560596742&source=h5_m,14040924,5572,6090,7303,903064,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Fiji,#fypシ #xzybca #bts #makeup #cover #green,0,0,0,0,0,0,1,0,0,0
3,NG,7102873319308856581,1653766569, ,6940190702812152838,Endurance,"let be happy. 
every little thing gon be alright.",0,False,https://www.tiktok.com/@seunjah/video/7102873319308856581?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102873319308856581&source=h5_m,3069068,326,386,123,242132,7102873324090395397,7102873324090395397,72,7102873324090395397,original sound - seunjah,Endurance,6.940190702812153e+18,Endurance,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102873318633556741.mp3,,False,False,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
