,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypage,hash_fypシ,hash_protebe,hash_trend,hash_viral
6,CA,7085791847674645766,1649789478,I love this trend sm💀 #trending #joke #viral #fypシ #fyp,6736357673958786054,Rama,"𝟸𝟶
𝚅𝚒𝚌𝚝𝚘𝚛𝚒𝚊, 𝙱𝙲🇨🇦📍
 🇯🇴",0,False,https://m.tiktok.com/v/7085791847674645766.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085791847674645766&source=h5_m,23988579,16689,10846,8967,4868676,7083555827071699717,7083555827071699717,72,7083555827071699717,use this sound if jurex_memes is the goat,‼️Daily Memes‼️,7.044645752056202e+18,‼️Daily Memes‼️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083555837322611462.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a1160314da0791b7327515751ef58e45.json,False,False,,,,,[],0,0,Czech Republic,#trending #joke #viral #fypシ #fyp,0,0,0,0,1,0,1,0,0,1
7,CZ,7101733253454908678,1653501127,#sešití s @btsvsbangtan #funny #foryou #trend #fypシ #mydogsteppedonabee,6927027306759308294,Sárinka Tofi,"mom 🤱
24y.o 🖤
love dogs 🐶
love cats 🐱",0,False,https://m.tiktok.com/v/7101733253454908678.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101733253454908678&source=h5_m,315599,692,839,1160,41375,7101733232349039366,7101733232349039366,72,7101733232349039366,original sound - tofi44444,Sárinka Tofi,6.927027306759308e+18,Sárinka Tofi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101733245850635013.mp3,,False,False,,,,,[],0,0,Czech Republic,#sešití #funny #foryou #trend #fypシ #mydogsteppedonabee,1,0,1,0,0,0,1,0,1,0
0,CZ,7100656976593423622,1653250536,Ty ruce no tak jsem přišel z práce tak nehejtujte,7090127256433296390,HonzaSheriff,Má přezdívka je SHERIFF !!,0,False,https://www.tiktok.com/@honzasheriff/video/7100656976593423622?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100656976593423622&source=h5_m,409815,1865,2332,2631,19084,7100657250825489158,7100657250825489158,72,7100657250825489158,original sound - honzasheriff,HonzaSheriff,7.090127256433296e+18,HonzaSheriff,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100657270865939205.mp3,,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
1,US,7093568221315403054,1651600056,Hope this makes u as depressed as it did us,6604874237507272710,Danielleretief,,0,False,https://www.tiktok.com/@danielleretief508/video/7093568221315403054?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093568221315403054&source=h5_m,29349245,89333,66506,365,5029535,6773436955838401285,6773436955838401285,10036,6773436955838401285,Home,Edith Whiskers,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b5837c316a1b43bdadab4108900f4cbb,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/55aa08b15ae24fc393167f7acf2d74e0,True,True,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
2,CZ,7094665873704750342,1651855624,@ancaa_7 #kafukafu,25020260,Adam Kajumi 🇨🇿,"Currently in 🇨🇿
adkajumi@gmail.com 📩
Come live and get 1000 followers🙏🏽",0,False,https://www.tiktok.com/@adamkajumi/video/7094665873704750342?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094665873704750342&source=h5_m,378887,558,367,581,25451,7090551709508601857,7090551709508601857,10033,7090551709508601857,Žít svůj sen,Adamkajumi,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/456b60654091447aabee75d44dce95b5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/54d8e8b1b6c043d5abcfbdd662e5919a,False,True,,,,,[],0,0,Czech Republic,#kafukafu,0,0,0,0,0,0,0,0,0,0
3,US,7101731202129956142,1653500648,Get ready cuz I need to clean out my drafts 🧹🙃,6733392293443896326,Nobo,"🖤 Nobo (Nora) 🖤
If u know me, I’m sorry.
🧷Ur Daily Cartoon Character🧷
24",0,False,https://www.tiktok.com/@nobosart/video/7101731202129956142?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101731202129956142&source=h5_m,4600129,1930,906,845,259159,7080960633952373510,7080960633952373510,72,7080960633952373510,AARYAN SHAH RENEGADE SLOWED BY LUCZYFER (Contains music from: Renegade - Aaryan Shah),"Contains music from: ""Renegade""",6.856971798837724e+18,ᴢ ᴇ ʟ ᴀ ʟ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080960638717610757.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/888b4db7b082ce85d33da0c32783d45c.json,False,False,Aaryan Shah,Renegade,AARYAN SHAH RENEGADE SLOWED BY LUCZYFER (Contains music from: Renegade - Aaryan Shah),"Contains music from: ""Renegade""",[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
4,CZ,7074234778635062533,1647098638, ,6855690015163892742,RedgieBeardo,"PUBG player 🎮 
Content creator for @entropiqteam 🟢
Twitch: RedgieBeardo 🚀",0,False,https://www.tiktok.com/@redgiebeardo/video/7074234778635062533?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074234778635062533&source=h5_m,394386,306,1725,3821,46409,7074234750269000453,7074234750269000453,72,7074234750269000453,original sound - redgiebeardo,RedgieBeardo,6.855690015163893e+18,RedgieBeardo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074234758741805830.mp3,,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
5,US,7072473004176837930,1646688442, ,6850564073424798725,Jesica,,0,False,https://www.tiktok.com/@jesicamvg/video/7072473004176837930?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072473004176837930&source=h5_m,52732616,83522,315776,137487,4027414,7053859243434265350,7053859243434265350,72,7053859243434265350,original sound - depechemode8698,Sr. Lucifer,6.819827574970861e+18,Sr. Lucifer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7053859268587752197.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a545970f124c9a8eef3f4eeb09ccb11d.json,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
6,CZ,7095649852004093190,1652084728,Uhni s tou šunkou🤣🏎 #joke #dalnice #uhnistousunkou #lamborghinispider #jedeprezident,18273865,S,,0,False,https://www.tiktok.com/@sandra_mafia/video/7095649852004093190?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095649852004093190&source=h5_m,838689,298,987,1459,87200,7060585863977405190,7060585863977405190,72,7060585863977405190,original sound - stinovyandrej,Stínový ing. Andrej Babiš - ČR,7.042488703319311e+18,Stínový ing. Andrej Babiš - ČR,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7060585876719733509.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/92c04e988fcd22fbf130b8a19b25dd27.json,False,False,,,,,[],0,0,Czech Republic,#joke #dalnice #uhnistousunkou #lamborghinispider #jedeprezident,0,0,0,0,0,0,0,0,0,0
7,CZ,7081652864304663813,1648825795,AS IT WAS>>>>>,6612268415645351941,barbora :),"spammer
snap:bilkovab
DONT SPAM LIKE",0,False,https://www.tiktok.com/@bbilkova/video/7081652864304663813?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081652864304663813&source=h5_m,1574023,2838,2501,6090,423948,7081420341813316395,7081420341813316395,10036,7081420341813316395,As It Was,Harry Styles,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/341e9494b65d4cdf9b5800cd39b88d9f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/688d896da7de4ec19deffdc69ce94d83,False,True,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
0,US,7090959184417836334,1650992593,My money don’t jiggle jiggle #catsoftiktok #fypシ #trend #funny,6888711804865954821,Stanley The Cat,"Stanley the Cat - Official Account
👇 Visit our website👇",0,False,https://www.tiktok.com/@stanleythestanman/video/7090959184417836334?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090959184417836334&source=h5_m,4875861,6025,51186,17728,368074,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,Czech Republic,#catsoftiktok #fypシ #trend #funny,0,0,1,0,0,0,1,0,1,0
1,US,7102874633736572161,1653766874,i love filling up my tesla #fyp #fakebody,6724715071983354886,Natalie Reynolds,"Link in ig bio 💗🌶
18",0,False,https://www.tiktok.com/@nataliereynoldsx/video/7102874633736572161?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102874633736572161&source=h5_m,2014549,1549,1158,52,216719,7092395731911215878,7092395731911215878,72,7092395731911215878,i wanna i wanna ridee,quentin’,7.091964324415948e+18,quentin’,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092395735131360006.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/51c18e4eedd89224941c3d0f95076293.json,False,False,,,,,[],0,0,Czech Republic,#fyp #fakebody,0,0,0,0,1,0,0,0,0,0
2,US,7089988068471524651,1650766486,Wow respect 🥶🥶🥶😱😱😈😈#respect #respect👑 #respectmoments #viral #foryou #fyp,7080808063126635566,respect movie,Welcome to respect 🔥🔥🔥🔥🔥,0,False,https://www.tiktok.com/@respect____15/video/7089988068471524651?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089988068471524651&source=h5_m,11089538,401,1036,10079,508763,7089988052419873579,7089988052419873579,72,7089988052419873579,original sound - respect____15,respect movie,7.080808063126636e+18,respect movie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7089988064189254446.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ca09f0c3b3b7f1afd37d9ad7c61a02e3.json,False,False,,,,,[],0,0,Czech Republic,#respect #respect👑 #respectmoments #viral #foryou #fyp,1,0,0,0,1,0,0,0,0,1
3,KZ,7103433340249705729,1653896958,follow my instagram: hommm9k 💖.,6517183233778521103,ХОМЯК,"💌For business and collabs: homa@jks.kz 💌
⬇️ BRAND «MY HOMMIES»⬇️",0,False,https://www.tiktok.com/@homm9k/video/7103433340249705729?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103433340249705729&source=h5_m,3210999,1927,194,599,419135,7096492424406567685,7096492424406567685,72,7096492424406567685,Barbecue Bacon Burger Rock,Kyoshi Sad,6.807330869055325e+18,Kyoshi Sad,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096492437305330438.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0e1d8fbef74c11760b9cf3be9af06e60.json,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
4,US,7101953915788315905,1653552503,Our new sound 😍 Take it off and get into our stories,6806648197319820294,XO Team,"XO TEAM FAMILY 
INST: @the_xo_team 
✉️ xoteam@xoagency.co
OUR REALITY 👇🏼",0,False,https://www.tiktok.com/@xoteam/video/7101953915788315905?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101953915788315905&source=h5_m,1911500,641,444,3580,206066,7101953921182173954,7101953921182173954,72,7101953921182173954,Marry me,XO Team,6.80664819731982e+18,XO Team,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101953936176827138.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/83777588910d5d77f74ef965a7027776.json,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
5,CZ,7071757465368481029,1646521843,Voldy is my life #prayforukraine  #zelenskiy is my #hero,6598900871953170437,hirsch.krystof,,0,False,https://www.tiktok.com/@hirsch.krystof/video/7071757465368481029?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071757465368481029&source=h5_m,829855,1252,4365,2603,89252,6964109274209422081,6964109274209422081,72,6964109274209422081,original sound - _malifisenta007_,_malifisenta007_,6.592626285314474e+18,_malifisenta007_,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6964109213912156930.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/00f9d42e5ec21b9f5281a646a360cd10.json,False,False,,,,,[],0,0,Czech Republic,#prayforukraine #zelenskiy #hero,0,0,0,0,0,0,0,0,0,0
6,GB,7102926984337968389,1653779064, ,6636678827089100805,JamesBeardwell,"Ebook ⬇️
MYPROTEIN - JAMESB - 37% OFF
james.beardwell@outreachagency.co.uk",0,False,https://www.tiktok.com/@james_beardwell/video/7102926984337968389?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102926984337968389&source=h5_m,7625543,3027,2880,4778,1098657,7085325364381453062,7085325364381453062,72,7085325364381453062,use this sound if you like men,HUN7ER,6.946220286409967e+18,HUN7ER,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085325381061970693.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fa03a0a5f812ff0b9a1809e8700d2af6.json,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
7,DE,7101699806657121542,1653493339,and who are you ?,6809256456790918149,Merayad,"🇩🇪✌🏼
thank you for being here for me
IG: _merayad
merayad@wecreate.media",0,False,https://www.tiktok.com/@merayad_/video/7101699806657121542?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101699806657121542&source=h5_m,4848732,2390,2573,138,426401,7101699800160013061,7101699800160013061,72,7101699800160013061,original sound - merayad_ (Contains music from: RAVE - Dxrk ダーク),"Contains music from: ""RAVE""",6.809256456790918e+18,Merayad,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101699802534054661.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a07daa14a4cd428beb78ad8cd3c2bd57.json,False,False,Dxrk ダーク,RAVE,original sound - merayad_ (Contains music from: RAVE - Dxrk ダーク),"Contains music from: ""RAVE""",[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
0,CZ,7101661758464609542,1653484481,#foryou #fyp #fy #queen,6972206119390413830,女ตằӷĉḗﾚ女,ig:marcel.s_,0,False,https://m.tiktok.com/v/7101661758464609542.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101661758464609542&source=h5_m,386020,195,1699,2318,36484,7101661727200201477,7101661727200201477,72,7101661727200201477,original sound - marceel.s_,女ตằӷĉḗﾚ女,6.972206119390414e+18,女ตằӷĉḗﾚ女,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101661725346384645.mp3,,False,False,,,,,[],0,0,Czech Republic,#foryou #fyp #fy #queen,1,0,0,1,1,0,0,0,0,0
1,US,7099506875166739713,1652982757,male solidarity ☺️,6811996099553969157,Razi Monroe,"you are sun 💛 
coop: ad@beberagency.ru
⇩I'll give my soul for a subscription⇩",0,False,https://m.tiktok.com/v/7099506875166739713.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099506875166739713&source=h5_m,4193964,1400,948,4477,472134,7082084766517824261,7082084766517824261,72,7082084766517824261,Nn (Contains music from: Love Story - Indila),"Contains music from: ""Love Story""",6.954453706083534e+18,.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082084769500039942.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ad06f468364f6873b81bb545d33de4e4.json,False,False,Indila,Love Story,Nn (Contains music from: Love Story - Indila),"Contains music from: ""Love Story""",[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
2,EC,7101440216103128325,1653432899, ,7101438410984555526,wleosnb,Subscribe😍,0,False,https://m.tiktok.com/v/7101440216103128325.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101440216103128325&source=h5_m,3015331,32,219,849,16755,7100894846746954538,7100894846746954538,72,7100894846746954538,ČHÈČĶ МŶ pÖŘŇÖ ĨŃ МŶ_BÍö,Tik Toker,6.987280796906489e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7100894933392870186.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/bae30b10a6e0102eaff1b3b4ec258cf5.json,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
3,US,7097294046560800006,1652467542,😢,6666866281516728325,Kira Simurina lips baby🦋,👇🏼Subscribe please 👇🏼,0,False,https://m.tiktok.com/v/7097294046560800006.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097294046560800006&source=h5_m,4188320,572,102,433,227318,7067700865674545967,7067700865674545967,72,7067700865674545967,if yall keep doing corny stuff im deleting this (Contains music from: Rackz got më - Yeat),"Contains music from: ""Rackz got më""",6.845751341198394e+18,The lyric man,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7067700871676644142.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/1ea8f92cb96b1847b3bf4b92393fd276.json,False,False,Yeat,Rackz got më,if yall keep doing corny stuff im deleting this (Contains music from: Rackz got më - Yeat),"Contains music from: ""Rackz got më""",[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
4,US,7102238139682491694,1653618678,Uh… this isn’t a good look!! #fyp #viral #oops,6951217736262829061,Tok Hub,"Tik Toks best videos in one spot. Like, follow and suggest videos to be posted.",0,False,https://m.tiktok.com/v/7102238139682491694.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102238139682491694&source=h5_m,13609115,30521,35693,23179,1225761,7102238111576509230,7102238111576509230,72,7102238111576509230,original sound - __tokhub__,Tok Hub,6.951217736262829e+18,Tok Hub,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102238134498380586.mp3,,False,False,,,,,[],0,0,Czech Republic,#fyp #viral #oops,0,0,0,0,1,0,0,0,0,1
5,CZ,7102408126774758662,1653658259,#kfcdecin #fyp,6752563408111830022,Štefan Lenč,Johanku mám doma,0,False,https://m.tiktok.com/v/7102408126774758662.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102408126774758662&source=h5_m,309916,154,120,0,31347,7092554731867998978,7092554731867998978,72,7092554731867998978,Use this sound if Mo is gay (Contains music from: Metal Gear Solid - Aurora Creation),"Contains music from: ""Metal Gear Solid""",6.745287604412073e+18,DJ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7092554711361981185.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a6bbe88779c977b184494e77d75b0b90.json,False,False,Aurora Creation,Metal Gear Solid,Use this sound if Mo is gay (Contains music from: Metal Gear Solid - Aurora Creation),"Contains music from: ""Metal Gear Solid""",[],0,0,Czech Republic,#kfcdecin #fyp,0,0,0,0,1,0,0,0,0,0
6,CZ,7099037303330442501,1652873428,"Holky přiznejme si, že tohle děláme🤣#tomaemi #fyp #fy #protebe #czech_comedy #vtipnevideo #czechcouple #czech #relationshipgoals",141350780611174400,Tom & Emi,"Dáme do 3.7. 100K?😜
IG: @tomasbizek / @emily.hassmannova
tomaemi.biz@gmail.com",0,False,https://m.tiktok.com/v/7099037303330442501.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099037303330442501&source=h5_m,489244,341,755,1160,70604,6999894365447391234,6999894365447391234,10033,6999894365447391234,Monkeyshine-JP,Lt FitzGibbons Men,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3c2b16b99d77407f8c7cff1d1c477b2b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/329dfb15f1c74bdbaa52616c98d6480e,False,True,,,,,[],0,0,Czech Republic,#tomaemi #fyp #fy #protebe #czech_comedy #vtipnevideo #czechcouple #czech #relationshipgoals,0,0,0,1,1,0,0,1,0,0
7,CZ,7093544882865720582,1651594622,Klasika 😂 Sleduj ig HonziMichalek❤️ @youronlygod,61712284686753792,Honza Michálek,"SLEDUJ IG @honzimichalek♥️ máš follow
📩Honza.michalek22@seznam.cz📩
  NEW VIDEO",0,False,https://m.tiktok.com/v/7093544882865720582.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093544882865720582&source=h5_m,397448,56,84,189,49924,6984852652693670662,6984852652693670662,72,6984852652693670662,original sound - pepano78,Pepe Lopez,6.809981175794517e+18,Pepe Lopez,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6984852719014185733.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/91fa1e859aa25e87e14253d13288fd62.json,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
0,US,7102228053421477166,1653616329,CAN @michaelbuble FINISH THE LYRICS ?! 🤣 #finishthelyric #finishthelyrics #ftttl,6555150313047725071,Josette pimenta,MY NEW SINGLE “TROUBLE MAKER” IS OUT NOW 💗 LINK BELOW!!,0,False,https://m.tiktok.com/v/7102228053421477166.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102228053421477166&source=h5_m,1435980,180,280,207,87286,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,Czech Republic,#finishthelyric #finishthelyrics #ftttl,0,0,0,0,0,0,0,0,0,0
1,CA,7103304695652945158,1653867008,Someone stop this lady,6641344766221123590,mikayla 🤨,😀bestie vibez only😀,0,False,https://m.tiktok.com/v/7103304695652945158.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103304695652945158&source=h5_m,2599779,2668,3849,4,499079,6839852689929571077,6839852689929571077,72,6839852689929571077,i am fckin crazy,tan,6.628323937871069e+18,tan,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6839852634053036805.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3d8b65a25205550fc6375337a9acebdc.json,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
2,GB,7098303355306413318,1652702543,Pulling Jimmy’s back into action. He’s getting more movement and less pain every day. #spinalsurgeryrecovery #loveandpositivity #sharinghappiness #spreadingjoy #husbandandwifedance #perfectlove #asmileaday #kindnessfirst,6812507408481453061,Joan O'Shaughnessy,Joan & Jimmy. Happily married for 48 years.We enjoy dancing. 2twojays2@gmail.com,0,False,https://m.tiktok.com/v/7098303355306413318.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098303355306413318&source=h5_m,17020312,51669,47085,90306,3679641,7076819615875173121,7076819615875173121,24,7076819615875173121,Somebody That I Used to Know (Remix) (Contains music from: Time - Leiner),"Contains music from: ""Time""",7.039728171708761e+18,♬,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7076819594492545793.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cb532bf3d2e69ce0ffb54c5f19ca87bd.json,False,False,Leiner,Time,Somebody That I Used to Know (Remix) (Contains music from: Time - Leiner),"Contains music from: ""Time""",[],0,0,Czech Republic,#spinalsurgeryrecovery #loveandpositivity #sharinghappiness #spreadingjoy #husbandandwifedance #perfectlove #asmileaday #kindnessfirst,0,0,0,0,0,0,0,0,0,0
3,ME,7101404933097819397,1653424684,#shangelnyc #foru #foryou #pourtoi #parati #foru #foryou #blinddate  #couples #foryou #foru #foryoupage #couples #foryoupage  #shangelnyc  #neiperte #blinddate #foryou #foryou  #foryou #blinddate #blowthisup #foryou #nyc #viral #couples #foru #foryou #pourtoi #parati #paratii #page,6958947317794997254,_netflix_lovee,Like and follow for more video☝🏻🤍,0,False,https://m.tiktok.com/v/7101404933097819397.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101404933097819397&source=h5_m,14386724,364,1463,4025,191738,6662299805999500037,6662299805999500037,10036,6662299805999500037,Into Your Arms (feat. Ava Max),Witt Lowry,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b5d3abfa345541429fc9233724ffd7d1,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/cd6bc16b4a674899b260f4f1c87cb8c6,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1390134105', 'external_song_key': 'apple_song_id'}]",0,0,Czech Republic,#shangelnyc #foru #foryou #pourtoi #parati #foru #foryou #blinddate #couples #foryou #foru #foryoupage #couples #foryoupage #shangelnyc #neiperte #blinddate #foryou #foryou #foryou #blinddate #blowthisup #foryou #nyc #viral #couples #foru #foryou #pourtoi #parati #paratii #page,8,2,0,0,0,0,0,0,0,1
