,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_ad,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_satisfying,hash_tiktok,hash_viral
4,KR,7097040921816042753,1652408610,#샤카보,6918414589655106562,연서,"2002 🇰🇷
피아이코퍼레이션
business@picorp.co.kr
옷 정보 답장 없으면 빈티지, 보세 제품이에요 ◡̈",0,False,https://www.tiktok.com/@10382aaaabc/video/7097040921816042753?_r=1&u_code=0&region=US&mid=7074912610465975067&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097040921816042753&source=h5_t,13274656,5795,9053,27120,2352211,7074912610465975067,7074912610465975067,10036,7074912610465975067,Se Acabo (feat. Method Man) (Remix),The Beatnuts,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/83967713a929434f8e9e7f3d45d7abc1,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/90a3d2fbdde743b1ad7a58b5ba95f3d9,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '322754275', 'external_song_key': 'apple_song_id'}]",0,0,Cambodia,#샤카보,0,0,0,0,0,0,0,0,0,0
5,KR,7100881850104663297,1653302896,@dyb7gkj2w2tq 님에게 회신 ✔️ 신청 thank you 💖 #먹어달라는거먹어드려요 #먹어달라는거먹어드려요😁 #신청받아요,7095261705052472321,🎀,출처:closer_food,0,False,https://www.tiktok.com/@hichingu05/video/7100881850104663297?_r=1&u_code=0&region=US&mid=7084161805307726594&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100881850104663297&source=h5_t,8962252,6287,837,5188,361031,7084161805307726594,7084161805307726594,24,7084161805307726594,original sound - 조닭발,조닭발,6.506430944089276e+18,조닭발,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7084164711289309953.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cdec0480bd0cc817e7103152f5f2cf84.json,False,False,,,,,[],0,0,Cambodia,#먹어달라는거먹어드려요 #먹어달라는거먹어드려요😁 #신청받아요,0,0,0,0,0,0,0,0,0,0
6,KH,7102394916529098010,1653655180,Nae,6743910874286818305,LeMoN🍋,"👑
18🇰🇭
Artist At Funentertainment
Contact for work ( +855 96821 6377) Manager",0,False,https://www.tiktok.com/@_alice_prince/video/7102394916529098010?_r=1&u_code=0&region=US&mid=7075198041669618475&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102394916529098010&source=h5_t,107466,84,176,383,20149,7075198041669618475,7075198041669618475,72,7075198041669618475,original sound - I edit🤠👍🏾 (Contains music from: Ice On My Baby (feat. Kevin Gates) (Remix) - Yung Bleu),"Contains music from: ""Ice On My Baby (feat. Kevin Gates) (Remix)""",7.053902617515132e+18,I edit🤠👍🏾,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075190002661083946.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6af91e75dbf9646b55d8ef7a2a24828b.json,False,False,Yung Bleu,Ice On My Baby (feat. Kevin Gates) (Remix),original sound - I edit🤠👍🏾 (Contains music from: Ice On My Baby (feat. Kevin Gates) (Remix) - Yung Bleu),"Contains music from: ""Ice On My Baby (feat. Kevin Gates) (Remix)""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
0,KH,7103080700558970138,1653814852,#ពូហេពូអែងអង្គុុយញ៉េញ៉ៃមេះ🤣🤣🤣😜😜@bongpnsrabea,6852574292967326722,pich,បុត្រីទី1😘ចា៎អាយុ20ឆ្នាំកម្ពស់1;57ចង្គេះសាយ💗S🤘sI💗 អត់❤️My Love 💝 10 3 2001❤,0,False,https://t.tiktok.com/i18n/share/video/7103080700558970138/?region=US&mid=6612955704720362242&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103080700558970138&source=h5_t,71041,47,25,0,14310,6612955704720362242,6612955704720362242,24,6612955704720362242,original sound - Nak Qboy zin,Nak Qboy zin,6.595655689841721e+18,Nak Qboy zin,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/1614491139816450,,False,False,,,,,[],0,0,Cambodia,#ពូហេពូអែងអង្គុុយញ៉េញ៉ៃមេះ🤣🤣🤣😜😜@bongpnsrabea,0,0,0,0,0,0,0,0,0,0
1,KH,7098222611561188634,1652683740,mention idolណាមួយអោយគាត់រាំបទនេះអោយឆាប់🥲❤️🥹មិនចឹងទៅចាប់ថើបដល់ផ្ទះ🤣🤤,6631922379046944770,Vi za📍,IG: vi_za1999❤️ fb: Vi Za ❤️page: Viza official🙏🏻,0,False,https://t.tiktok.com/i18n/share/video/7098222611561188634/?region=US&mid=7095264836614900506&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098222611561188634&source=h5_t,72838,302,32,48,10605,7095264836614900506,7095264836614900506,24,7095264836614900506,original sound - Calimpitan Twins (Contains music from: Double Tech - Leiner),"Contains music from: ""Double Tech""",6.683291463969474e+18,Calimpitan Twins,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7095264842327657242.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/16106a96dd976561503807f063cf4bdb.json,False,False,Leiner,Double Tech,original sound - Calimpitan Twins (Contains music from: Double Tech - Leiner),"Contains music from: ""Double Tech""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
2,KR,7095772815290371329,1652113353,@1004__me 님에게 회신  #먹어달라는거먹어드려요 youtube closer food,7094034573889569794,큐티표쨕,,0,False,https://t.tiktok.com/i18n/share/video/7095772815290371329/?region=US&mid=7095772808256490241&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095772815290371329&source=h5_t,16051120,5720,2074,2965,795361,7095772808256490241,7095772808256490241,24,7095772808256490241,original sound - 큐티표쨕,큐티표쨕,7.09403457388957e+18,큐티표쨕,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7095772741169466114.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/241f9dc00c88c6af8c67467326256694.json,False,False,,,,,[],0,0,Cambodia,#먹어달라는거먹어드려요,0,0,0,0,0,0,0,0,0,0
3,PE,7099619154528914714,1653008898,🥺💜 #truebeauty #hwanginyeop #moongayoung #chaeunwoo #seojun #kdrama #kdramas #dorama #doramas #cdrama #cdramas #fyp #foryou #klis #parati #fypシ,7063645955282797573,✨KLIS✨,"cuenta principal: @klis_lis
👇RESUMEN DEL NUEVO DRAMA DE HWANG IN YEOP👇",0,False,https://t.tiktok.com/i18n/share/video/7099619154528914714/?region=US&mid=7082084766517824261&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099619154528914714&source=h5_t,8803124,8508,13462,1447,1459364,7082084766517824261,7082084766517824261,72,7082084766517824261,Nn (Contains music from: Love Story - Indila),"Contains music from: ""Love Story""",6.954453706083534e+18,.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082084769500039942.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ad06f468364f6873b81bb545d33de4e4.json,False,False,Indila,Love Story,Nn (Contains music from: Love Story - Indila),"Contains music from: ""Love Story""",[],0,0,Cambodia,#truebeauty #hwanginyeop #moongayoung #chaeunwoo #seojun #kdrama #kdramas #dorama #doramas #cdrama #cdramas #fyp #foryou #klis #parati #fypシ,0,0,1,0,0,1,1,0,0,0
4,US,7089988068471524651,1650766486,Wow respect 🥶🥶🥶😱😱😈😈#respect #respect👑 #respectmoments #viral #foryou #fyp,7080808063126635566,respect movie,Welcome to respect 🔥🔥🔥🔥🔥,0,False,https://t.tiktok.com/i18n/share/video/7089988068471524651/?region=US&mid=7089988052419873579&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089988068471524651&source=h5_t,10888467,386,1019,9825,498245,7089988052419873579,7089988052419873579,72,7089988052419873579,original sound - respect movie,respect movie,7.080808063126636e+18,respect movie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7089988064189254446.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ca09f0c3b3b7f1afd37d9ad7c61a02e3.json,False,False,,,,,[],0,0,Cambodia,#respect #respect👑 #respectmoments #viral #foryou #fyp,0,0,1,0,0,1,0,0,0,1
5,KR,7099805378208124161,1653052257,그거 그렇게 하는거 아니야 🤣. @cherixi (insta : noah_evel),6657795475196837889,노아,"Dancer 
SOONENT _contact : soonent@soon-ent.co.kr
My youtube ❤️",0,False,https://t.tiktok.com/i18n/share/video/7099805378208124161/?region=US&mid=6986129078378105627&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099805378208124161&source=h5_t,4670913,7378,6374,37672,627131,6986129078378105627,6986129078378105627,24,6986129078378105627,RIVER KALDAGAN CHALLENGE (Contains music from: Si Te Sabes El TikTok Baila 17 - La Tiktoker),"Contains music from: ""Si Te Sabes El TikTok Baila 17""",1.0053169946945536e+17,Jeremiah Custodio,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/6986129047478668059.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2d8c9ae51fad4d3f2887ed34702d91ed.json,False,False,La Tiktoker,Si Te Sabes El TikTok Baila 17,RIVER KALDAGAN CHALLENGE (Contains music from: Si Te Sabes El TikTok Baila 17 - La Tiktoker),"Contains music from: ""Si Te Sabes El TikTok Baila 17""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
6,KH,7102724574562749723,1653731935,Papa kboyzin 🐉ជ្រោយចង្វារ🦅ក្លេបចេប😜អាចធ្វើបាន👈🏼មានបន្តទាត💋,7045146775431382017,PâPä kboyzin❤️2,Nh papa kboy ជ្រោយចង្វារ/010926493/086/489191/070970223/,0,False,https://t.tiktok.com/i18n/share/video/7102724574562749723/?region=US&mid=6922635832042015489&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102724574562749723&source=h5_t,440102,328,567,591,31216,6922635832042015489,6922635832042015489,24,6922635832042015489,I WANNA FFFF YOU DANCE CHALLENGE (Contains music from: Going Slow - Girano),"Contains music from: ""Going Slow""",6.755046113500333e+18,𝕸𝖆𝖘𝖙𝖊𝖗 𝕮𝖍𝖗𝖎𝖘𝖘𝖊𝖗,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6922635741252111106.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bef848a31e6f2863bd04213585347cc5.json,False,False,Girano,Going Slow,I WANNA FFFF YOU DANCE CHALLENGE (Contains music from: Going Slow - Girano),"Contains music from: ""Going Slow""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
7,KH,7098203553168248090,1652679302,Chob khoch jit tv,7054845899641783298,Chy chhinglin♥️,"Fb :lin lin
Ig  : chy chhinglin",0,False,https://t.tiktok.com/i18n/share/video/7098203553168248090/?region=US&mid=7086722822915083034&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098203553168248090&source=h5_t,142916,70,49,61,21271,7086722822915083034,7086722822915083034,24,7086722822915083034,original sound - Jeffery || Theary,Jeffery || Theary,6.585118223510241e+18,Jeffery || Theary,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7086722835665783578.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2ea8b24f09968d3bde2c34b2c049ce1c.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
0,KH,7102978249898134811,1653790998,#tik_tok #តាមគេតាមឯងទេ😆🤣 @💁ប្រុស កែវ_k doy💁 😅😅😅🙏🙏🙏❤️❤️❤️,7100783401473311771,Kêø ŠîñgÎê 🙈,,0,False,https://www.tiktok.com/@keok159/video/7102978249898134811?_r=1&u_code=0&region=US&mid=7062272304281078554&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102978249898134811&source=h5_t,483394,197,260,710,82046,7062272304281078554,7062272304281078554,24,7062272304281078554,original sound - 𝕿𝖍𝖆𝖓🇰🇭,𝕿𝖍𝖆𝖓🇰🇭,6.907591582053778e+18,𝕿𝖍𝖆𝖓🇰🇭,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7062272299025697563.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3609e2f9fb40296e65c2bb3afee1931f.json,False,False,,,,,[],0,0,Cambodia,#tik_tok #តាមគេតាមឯងទេ😆🤣,0,0,0,0,0,0,0,0,0,0
1,KH,7103116756922748186,1653823247,អោយតែរាំបទហ្នឹងlike កប់😂❤️#nnp @Mr-Zz Seng,6536446268951216130,Kim Yaya🇰🇭❤️,"ទទួលផ្សព្វផ្សាយគ្រប់ផលិតផល❤️✌🏻Telegram: 069949451
Page : Kim YAYA gaming",0,False,https://www.tiktok.com/@kimyaya.77/video/7103116756922748186?_r=1&u_code=0&region=US&mid=7067044401180085019&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103116756922748186&source=h5_t,119392,19,17,20,10685,7067044401180085019,7067044401180085019,24,7067044401180085019,Pante Ting Ting (Contains music from: Dj Burung Puyuh Dimakan Biawak - DJ Sodar),"Contains music from: ""Dj Burung Puyuh Dimakan Biawak""",6.886412844737857e+18,ZERZ`SOFTBOY🤺,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7067044394980870939.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a1760bec77f4d79c3c3c0b02e16384b9.json,False,False,DJ Sodar,Dj Burung Puyuh Dimakan Biawak,Pante Ting Ting (Contains music from: Dj Burung Puyuh Dimakan Biawak - DJ Sodar),"Contains music from: ""Dj Burung Puyuh Dimakan Biawak""",[],0,0,Cambodia,#nnp,0,0,0,0,0,0,0,0,0,0
2,US,7092412910349192491,1651331064,New YT video up now (link in bio),6556639404252233733,Nick Smithyman 😎,"More on my IG & YT⤴️
Biz: NickSmithyMgmt@outlook.com
⬇️ NEW YOUTUBE VIDEO ⬇️",0,False,https://www.tiktok.com/@itsmenicksmithy2/video/7092412910349192491?_r=1&u_code=0&region=US&mid=246423207128506368&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092412910349192491&source=h5_t,6774118,7125,7827,9896,550385,246423207128506368,246423207128506368,71,246423207128506368,Vacation,Dirty Heads,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a54a5d22778f4c02b85e25b48e7dd982,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/8cd3d3ce988f4f3398d34a848b1810d1,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1252617120', 'external_song_key': 'apple_song_id'}]",0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
3,CA,7097194257827548422,1652444310,#nosepainting #foryou #fypシ #age,6810601516833326086,Vos Class-girl,"Fam Follow me on my IG:princesse.Voss🥺🔥
👻dcephora😜🔥
  450K????
📍Toronto",0,False,https://www.tiktok.com/@vos.girl/video/7097194257827548422?_r=1&u_code=0&region=US&mid=6788817948099234566&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097194257827548422&source=h5_t,1401472,1555,83,236,106350,6788817948099234566,6788817948099234566,72,6788817948099234566,The Future Kingz - 3 Vets (Contains music from: 3 Vets - The Future Kingz),"Contains music from: ""3 Vets""",6.671224653384319e+18,7k,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1657438785464374.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5b964a26675d0e9684e7405454ad79ae.json,False,False,The Future Kingz,3 Vets,The Future Kingz - 3 Vets (Contains music from: 3 Vets - The Future Kingz),"Contains music from: ""3 Vets""",[],0,0,Cambodia,#nosepainting #foryou #fypシ #age,0,0,1,0,0,0,1,0,0,0
4,KH,7101169040898444571,1653369759,អូនឆ្មាមែន តែចង់ស្អាត🐱🤣#កូនពៅ,6694219885826540545,កូនពៅ🇰🇭Kon Pov,"កូនពៅ ឡាយផ្ទាល់👉FB: កូនពៅ Kon Pov
CEO
ស្តេចសាប៊ូសក់វែង មានឈុត 19$/33$/49$",0,False,https://www.tiktok.com/@konpovz/video/7101169040898444571?_r=1&u_code=0&region=US&mid=7095236876994611995&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101169040898444571&source=h5_t,204086,17,17,42,24141,7095236876994611995,7095236876994611995,24,7095236876994611995,original sound - Ratatouille🐁 🐀,Ratatouille🐁 🐀,6.774927416336205e+18,Ratatouille🐁 🐀,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7095236887875111706.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d11ae0df9876370e9792255002edd7ca.json,False,False,,,,,[],0,0,Cambodia,#កូនពៅ,0,0,0,0,0,0,0,0,0,0
5,PH,7096113924298362139,1652192773,POV: She forced him to do the dance trend in public.,84788911394131968,Yanyan De Jesus,"LYKA: yanyandejesus
For Inquiries: overdyodose@gmail.com
👇🏻 DOWNLOAD BIGO 👇🏻",0,False,https://www.tiktok.com/@yanyandejesus1/video/7096113924298362139?_r=1&u_code=0&region=US&mid=7072479175814187782&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096113924298362139&source=h5_t,37201155,9534,19373,95985,3283949,7072479175814187782,7072479175814187782,72,7072479175814187782,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",6.831674564565763e+18,Iconicfatma,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7072479167769873157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d203808dc93f54480af65167e04b08e8.json,False,False,Myriam Fares,Goumi - Sped Up Version,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
0,KH,7094900274212474138,1651910198,Mk take MV bb #ahlyna077,6571271299204923393,Ah Muy,"FB =》Ly RD 👌
មានទទួលថតMV 📽 
និងប្រមូលផលិទ្ធផល👈
+855962702904 telegrap",0,False,https://www.tiktok.com/@ahlyna077/video/7094900274212474138?_r=1&u_code=0&region=US&mid=7064044233140849434&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094900274212474138&source=h5_t,397205,79,149,336,83567,7064044233140849434,7064044233140849434,24,7064044233140849434,original sound - R 🕊️,R 🕊️,7.014813272672404e+18,R 🕊️,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7064044241042950939.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f3cd1c9e861047910913bec9bd2a53be.json,False,False,,,,,[],0,0,Cambodia,#ahlyna077,0,0,0,0,0,0,0,0,0,0
1,KH,7102545602059324698,1653690269,Reply to @ukdarakch មិនច្រេីនទេបង1200$ និង🤪វីដេអូចាស់ថតកាលធ្វេីPAនៅសុីហ៊ូ ឡូវប្តូរហេីយធ្វេីការនៅឆៃណាថោន Customer service,6620740971045240834,黑妹🥰❤️（市场部）,"I work at China 🇨🇳town(Maketing department)👸
      👉Thank for follow me👈",0,False,https://www.tiktok.com/@lik_chippy/video/7102545602059324698?_r=1&u_code=0&region=US&mid=7095626123064757018&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102545602059324698&source=h5_t,119607,84,13,11,9179,7095626123064757018,7095626123064757018,24,7095626123064757018,original sound - Lėap,Lėap,6.836275682974418e+18,Lėap,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7095626142220143387.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8eadaddd9b5989278efc6561b4b88b8d.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
2,NG,7102748658914856198,1653737551,#hopebyxxxtentacion #ripx #xxx_kutti #LLJ #ripxxxtentacion #rip,7098729142686401541,xxx_kutti,,0,False,https://www.tiktok.com/@xxx_kutti/video/7102748658914856198?_r=1&u_code=0&region=US&mid=7102748662916598533&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102748658914856198&source=h5_t,1806662,0,466,5642,64285,7102748662916598533,7102748662916598533,72,7102748662916598533,original sound - xxx_kutti (Contains music from: Hope - XXXTENTACION),"Contains music from: ""Hope""",7.098729142686402e+18,xxx_kutti,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102748672932563717.mp3,,False,False,XXXTENTACION,Hope,original sound - xxx_kutti (Contains music from: Hope - XXXTENTACION),"Contains music from: ""Hope""",[],0,0,Cambodia,#hopebyxxxtentacion #ripx #xxx_kutti #LLJ #ripxxxtentacion #rip,0,0,0,0,0,0,0,0,0,0
3,KH,7078583079249464603,1648111057,🤣🤣🤣,7064613059852436506,Kerk yock Seng,"爱玩
还是爱玩
🤣",0,False,https://www.tiktok.com/@adam94_88/video/7078583079249464603?_r=1&u_code=0&region=US&mid=7078583115128130331&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078583079249464603&source=h5_t,1225272,851,1348,3758,147241,7078583115128130331,7078583115128130331,24,7078583115128130331,original sound - Kerk yock Seng,Kerk yock Seng,7.064613059852436e+18,Kerk yock Seng,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7078583110233115419.mp3,,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
4,CH,7076410137396727046,1647605129,😍🔥,6794490886933988357,TP,📩 thispronto@madaly.de,0,False,https://www.tiktok.com/@thispronto/video/7076410137396727046?_r=1&u_code=0&region=US&mid=7057270407434406661&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076410137396727046&source=h5_t,20161474,6670,13406,53789,1066543,7057270407434406661,7057270407434406661,10036,7057270407434406661,Ela Já Tá Louca,Anderson Neiff & John Johnis,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/731d965d34c8427eb02320385fa6e841,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/b4f6974d31d04c6ab4d92d9cb87c8bee,False,True,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
5,KH,7073034350001917210,1646819141,#ad #cook #typ,7035994076831695873,Holy__𒊹︎,♡´･ᴗ･`♡,0,False,https://www.tiktok.com/@holy___4/video/7073034350001917210?_r=1&u_code=0&region=US&mid=7065014354940349210&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073034350001917210&source=h5_t,1024632,0,1082,9,115943,7065014354940349210,7065014354940349210,24,7065014354940349210,DARARI (Contains music from: DARARI - TREASURE),"Contains music from: ""DARARI""",6.773156617460467e+18,︎ ondu,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7065014354248207131.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/54993f426030b0f06eb012e26aba5c96.json,False,False,TREASURE,DARARI,DARARI (Contains music from: DARARI - TREASURE),"Contains music from: ""DARARI""",[],0,0,Cambodia,#ad #cook #typ,1,0,0,0,0,0,0,0,0,0
6,KH,7103098835261705498,1653819074,Failed🥲,6581407314363564037,🇨🇦Neath Jenniz🇰🇭,Owner of NJ Brand🤍Page: Neath Jenniz Online Shop//FB:Neath Jenniz,0,False,https://www.tiktok.com/@neathjenniz/video/7103098835261705498?_r=1&u_code=0&region=US&mid=7089765461021281051&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103098835261705498&source=h5_t,45165,18,4,15,6364,7089765461021281051,7089765461021281051,24,7089765461021281051,ZOOM DUCKTWERK (Contains music from: Time - HUBBA),"Contains music from: ""Time""",6.508494589473112e+18,Duckhead Dj Kasur,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7089765474770193178.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7c53f2cf26e2ddd3dc8fca66986b42f8.json,False,False,HUBBA,Time,ZOOM DUCKTWERK (Contains music from: Time - HUBBA),"Contains music from: ""Time""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
0,KH,7083347744986811675,1649220415,#fyp sloy tt🥲,6912743272280654849,Su jin♈︎,New acc,0,False,https://t.tiktok.com/i18n/share/video/7083347744986811675/?region=US&mid=6980318260369558298&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083347744986811675&source=h5_t,517745,222,470,411,116734,6980318260369558298,6980318260369558298,24,6980318260369558298,original sound - PrOmJEm♥️,PrOmJEm♥️,6.579965590822535e+18,PrOmJEm♥️,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/6980318225972218651.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1fb9c5d82759de977bf12336c8024bb1.json,False,False,,,,,[],0,0,Cambodia,#fyp,0,0,0,0,0,1,0,0,0,0
1,KH,7089388787012275483,1650626955,@skin7_cambodia @monnyhang_vee @jasminehang07,7038969084780921882,Pu Nith E Ka - ពូនិត អុីកា,"IG: la_phanith_skin7
FB: La Phanith
ពូនិត អុីកា ជាម្ចាស់ប្រេនSkin7 Cambodia",0,False,https://t.tiktok.com/i18n/share/video/7089388787012275483/?region=US&mid=6841595375351122689&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089388787012275483&source=h5_t,682218,104,139,147,71912,6841595375351122689,6841595375351122689,10036,6841595375351122689,Make A Lover,SS501,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ff10eb4d504f4f2caf8290c60146e2a3,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/841f388036d149bc8fdda7aebd5f951e,False,True,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
2,KH,7103073424062287131,1653813157,😒,6840713978428195842,BL សង្ខេបរឿង,,0,False,https://t.tiktok.com/i18n/share/video/7103073424062287131/?region=US&mid=7103073434363628314&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103073424062287131&source=h5_t,295291,387,137,89,60795,7103073434363628314,7103073434363628314,24,7103073434363628314,original sound - BL សង្ខេបរឿង,BL សង្ខេបរឿង,6.840713978428196e+18,BL សង្ខេបរឿង,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7103073459730713371.mp3,,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
