,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_humour,hash_pourtoi,hash_satisfying,hash_tiktok,hash_viral
6,US,7081807759297056046,1648861859,Ice #mikeyshamrocks #ice,6793743011932898309,Mike Shannon,Follow me on YouTube,0,False,https://www.tiktok.com/@mikeyshamrocks/video/7081807759297056046?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081807759297056046&source=h5_m,18751725,347,501,512,268512,7081807751227263786,7081807751227263786,72,7081807751227263786,original sound - mikeyshamrocks,Mike Shannon,6.793743011932898e+18,Mike Shannon,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7081807762723818286.mp3,,False,False,,,,,[],0,0,French Guiana,#mikeyshamrocks #ice,0,0,0,0,0,0,0,0,0,0
7,NG,7074847211753868549,1647241233,She got the moves #goviral #viral #prank #pranks #discover #trend #trending #fyp #tiktoknaija #tiktokindia #fypage #foryou #fypシ #foryoupage #teamsam🔥 #fypシ゚viral #tiktok #foryourpage #explore #foru,6823417428316832774,DANIEL MACHI GOLD,"Tap on Instagram 2 follow me👆
PRANKSTER⭐️🇳🇬🇺🇸⭐️
3 Million soon????",0,False,https://www.tiktok.com/@machigoldpranks_/video/7074847211753868549?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074847211753868549&source=h5_m,1245052,338,2178,12571,44982,7074847149405539077,7074847149405539077,72,7074847149405539077,"original sound - machigoldpranks_ (Contains music from: New Marwadi Funny Comedy 2021, Pt. 1 - Sumer Sisodiya & Kishore Rajpurohit & Jai Shree Parihar & Ravi Parihar)","Contains music from: ""New Marwadi Funny Comedy 2021, Pt. 1""",6.823417428316833e+18,DANIEL MACHI GOLD,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074847156997262086.mp3,,False,False,Sumer Sisodiya & Kishore Rajpurohit & Jai Shree Parihar & Ravi Parihar,"New Marwadi Funny Comedy 2021, Pt. 1","original sound - machigoldpranks_ (Contains music from: New Marwadi Funny Comedy 2021, Pt. 1 - Sumer Sisodiya & Kishore Rajpurohit & Jai Shree Parihar & Ravi Parihar)","Contains music from: ""New Marwadi Funny Comedy 2021, Pt. 1""",[],0,0,French Guiana,#goviral #viral #prank #pranks #discover #trend #trending #fyp #tiktoknaija #tiktokindia #fypage #foryou #fypシ #foryoupage #teamsam🔥 #fypシ゚viral #tiktok #foryourpage #explore #foru,1,1,0,1,2,0,0,0,1,2
0,CA,7091207597503581486,1651050435,#foryou #fyb #funny #toys #baby #cactustoy,6956157820132721670,Testworldyang,"2M please👆👆👆👆
If you want to buy a toy, click on the link below 👇",0,False,https://m.tiktok.com/v/7091207597503581486.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091207597503581486&source=h5_m,14314007,1771,12426,48503,466374,7091207433481407278,7091207433481407278,72,7091207433481407278,original sound - testworldyang01,Testworldyang,6.956157820132722e+18,Testworldyang,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7091207547213990698.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/ec8e806d4900e3330cd02e9c2fe9ec58.json,False,False,,,,,[],0,0,French Guiana,#foryou #fyb #funny #toys #baby #cactustoy,1,0,1,0,0,0,0,0,0,0
1,US,7070514350448037163,1646232409,Reply to @lilkaterino  what is this? #asmr #venom #symbiote,6733255177765209094,Kyle Istook,"CEO of hot dogs and homemade from scratch. 👨‍🍳
✉️:kyle@grail-talent.com",0,False,https://m.tiktok.com/v/7070514350448037163.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070514350448037163&source=h5_m,24907557,65110,11525,29239,1678044,6962312076635278086,6962312076635278086,72,6962312076635278086,Follow AndrewsVisual (Contains music from: Venom - Music From The Motion Picture - Eminem),"Contains music from: ""Venom - Music From The Motion Picture""",6.800704015384626e+18,Andrew Thomson 🔥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6962312213071743750.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/165a884de1d520628dc24e111c59cc3e.json,False,False,Eminem,Venom - Music From The Motion Picture,Follow AndrewsVisual (Contains music from: Venom - Music From The Motion Picture - Eminem),"Contains music from: ""Venom - Music From The Motion Picture""",[],0,0,French Guiana,#asmr #venom #symbiote,0,0,0,0,0,0,0,0,0,0
2,US,7072963547621313835,1646802657,#coffee,6701382841828574213,FATHA,"🤴❤️ 4 Mill+
444 💋
the only REAL jayllnn 
📤• Jayllnn@studio71creator.co",0,False,https://m.tiktok.com/v/7072963547621313835.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072963547621313835&source=h5_m,21931503,14925,7202,13753,2655309,7072963514561841962,7072963514561841962,72,7072963514561841962,original sound - realjayllnn,FATHA,6.701382841828574e+18,FATHA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072963538851072814.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/814e53276e73542704fb1108677650ab.json,False,False,,,,,[],0,0,French Guiana,#coffee,0,0,0,0,0,0,0,0,0,0
3,US,7078792008046824746,1648159700,Reply to @letscleanbaby  💜💙🌳🧽👚part1/2#LizzosBigGrrrls #OscarsAtHome #AEMembersAlways #toilet I’ve#WomenOwnedBusiness #DeserveADrPepperDuet #fypシ゚viral #foryoupage #goviral,6920965061743232005,CrumblesQueen👸,"Whatever is good for your soul do that💝
IG👉Crumblesqueen 
request on pin video",0,False,https://m.tiktok.com/v/7078792008046824746.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078792008046824746&source=h5_m,13552434,19747,3584,6746,930980,7078792008747256619,7078792008747256619,72,7078792008747256619,original sound - crumblesqueen,CrumblesQueen👸,6.920965061743232e+18,CrumblesQueen👸,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7078792009774877482.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a351ceab4dd777be1f381556445a316a.json,False,False,,,,,[],0,0,French Guiana,#LizzosBigGrrrls #OscarsAtHome #AEMembersAlways #toilet #WomenOwnedBusiness #DeserveADrPepperDuet #fypシ゚viral #foryoupage #goviral,0,1,0,0,1,0,0,0,0,1
4,US,7093568599238970667,1651600144,He better not make my mom mad 💪🏽🤣 #fypシ #punchallenge #ShowYourJOWO,6616696462497939462,Ezee,"Follow my YOUTUBE for longer content 🔥 



👇🏽 *EPIC VIDEO* 👇🏽",0,False,https://m.tiktok.com/v/7093568599238970667.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093568599238970667&source=h5_m,2536056,367,262,2062,341176,7035733410035370757,7035733410035370757,72,7035733410035370757,original sound - serenah21 (Contains music from: Copy That - BadKidMacei),"Contains music from: ""Copy That""",6.79684650210812e+18,Pretty_Serena,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7035733515258055429.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/40e59a6528c6f9661d26a053bb5d4bf9.json,False,False,BadKidMacei,Copy That,original sound - serenah21 (Contains music from: Copy That - BadKidMacei),"Contains music from: ""Copy That""",[],0,0,French Guiana,#fypシ #punchallenge #ShowYourJOWO,0,0,0,0,1,0,0,0,0,0
5,GB,7093322698608135430,1651542892, ,7022913605965595653,💪 Rock Respect 🔥,"💪 The Rock Fan Club 🤩
🔥 ofc: @therock 💯",0,False,https://m.tiktok.com/v/7093322698608135430.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093322698608135430&source=h5_m,621199,35,41,610,9512,7093322677683374854,7093322677683374854,72,7093322677683374854,original sound - rockrespect (Contains music from: Hope - Twista & Faith Evans),"Contains music from: ""Hope""",7.022913605965596e+18,💪 Rock Respect 🔥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093322677263371013.mp3,,False,False,Twista & Faith Evans,Hope,original sound - rockrespect (Contains music from: Hope - Twista & Faith Evans),"Contains music from: ""Hope""",[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
6,FR,7089849119128227078,1650734136,#makeup#makeupillusion#illusionmakeup,6620618450627641349,Amendje,"Follow mon IG🤪 ↗️
💌: amendjebeauty@gmail.com
⬇️Dernière vidéo beauté/cheveux⬇️",0,False,https://m.tiktok.com/v/7089849119128227078.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089849119128227078&source=h5_m,14654674,4308,12099,3773,246095,7004789853875424006,7004789853875424006,72,7004789853875424006,ding dong (Contains music from: 过年了 - 创作灵感),"Contains music from: ""过年了""",6.910557154878178e+18,deedeemariecomedy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7004797247317953286.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4de0aa0092337e7e318bd60258d069c2.json,False,False,创作灵感,过年了,ding dong (Contains music from: 过年了 - 创作灵感),"Contains music from: ""过年了""",[],0,0,French Guiana,#makeup#makeupillusion#illusionmakeup,0,0,0,0,0,0,0,0,0,0
7,FR,7101841771902094598,1653557401,#movie #behindthescenes #specialeffects #camera #disney,6823980570604471301,Logan_movie,"🎬🍿🎥
Behind the scene 
FOLLOW MY INSTA 😉⬆️

go the 100 million subscribers 😂",0,False,https://m.tiktok.com/v/7101841771902094598.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101841771902094598&source=h5_m,311283,25,12,67,5056,7101974899887672070,7101974899887672070,72,7101974899887672070,"original sound - logan_movie (Contains music from: Beat Oh no, oh no - Techno Music)","Contains music from: ""Beat Oh no, oh no""",6.823980570604471e+18,Logan_movie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101974895940160262.mp3,,False,False,Techno Music,"Beat Oh no, oh no","original sound - logan_movie (Contains music from: Beat Oh no, oh no - Techno Music)","Contains music from: ""Beat Oh no, oh no""",[],0,0,French Guiana,#movie #behindthescenes #specialeffects #camera #disney,0,0,0,0,0,0,0,0,0,0
0,FR,7103536111926004997,1653920888,#pourtoi#blacklighting#fyp#foryoupage#series #video,7087720649409692678,Cinéfan,Découvrez tout les séries et films incroyables que vous pouvez aller regarder,0,False,https://www.tiktok.com/@cinefan_tiktok05/video/7103536111926004997?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103536111926004997&source=h5_m,103796,89,193,78,8451,6932861391976007682,6932861391976007682,10033,6932861391976007682,Arcade,Duncan Laurence,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/bf35396affb343e598d8126f11e1070a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/7d600a548ad14424a47a3eaae27a90d0,False,True,,,,,[],0,0,French Guiana,#pourtoi#blacklighting#fyp#foryoupage#series #video,0,1,0,1,0,0,1,0,0,0
1,NG,7096596115578981637,1652305043,she have gift but she  don't like it 🥰🥰,6997892140064031750,gift gold 💞💞👸👸👸🎉,thank you guys for following me 💞💞 I love you guys 👸👸 🎉🎉,0,False,https://www.tiktok.com/@giftgold224/video/7096596115578981637?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096596115578981637&source=h5_m,2638553,1321,155,1693,212496,7087687131858062085,7087687131858062085,72,7087687131858062085,Love of My Life (Marry Me),d_puzzles,6.777888538614875e+18,d_puzzles,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087687136060656389.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fbeaa35201b2294f27917a14f16eebeb.json,False,False,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
2,GB,7102672206685048069,1653719748, ,7096740152450008070,lxx960530,"💕Same movie different interpretation 
follow me to tell you☝️",0,False,https://www.tiktok.com/@lxx960530/video/7102672206685048069?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102672206685048069&source=h5_m,4431849,918,1080,16379,268787,7102672169313897221,7102672169313897221,72,7102672169313897221,original sound - lxx960530,lxx960530,7.096740152450008e+18,lxx960530,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102672162443561734.mp3,,False,False,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
3,FR,7102723983270857990,1653731801,Elles draguent toutes !--Le 1er juin sur YouTube : « 30 minutes de blagues avant mon prochain spectacle » #standup #humour #fary #comedy,7101977798964675589,Fary,1er juin : 30 min de blagues sur youtube avant mon prochain spectacle,0,False,https://www.tiktok.com/@farylopes/video/7102723983270857990?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102723983270857990&source=h5_m,2262682,2015,9946,130,258324,7102723975335250694,7102723975335250694,72,7102723975335250694,original sound - farylopes,Fary,7.101977798964676e+18,Fary,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102723962546752262.mp3,,False,False,,,,,[],0,0,French Guiana,#standup #humour #fary #comedy,0,0,0,0,0,1,0,0,0,0
4,DE,7079374480363048198,1648295321,Let's clean up the ocean! 💙😊 #plasticpollution #climatechange #oceancleanup #sealover #foryou #fypシ,7060874556852683781,Planet Matters 🌍,"Each small step matters! 🌍
Follow to spread awareness on the environment.❤️➕",0,False,https://www.tiktok.com/@planetmatters/video/7079374480363048198?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079374480363048198&source=h5_m,95932381,44847,21243,14196,10557985,7079374443570678533,7079374443570678533,72,7079374443570678533,original sound - planetmatters,Planet Matters 🌍,7.060874556852684e+18,Planet Matters 🌍,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079374479381515014.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/75ed4e868c5a4297e5e1b36dde32a42a.json,False,False,,,,,[],0,0,French Guiana,#plasticpollution #climatechange #oceancleanup #sealover #foryou #fypシ,1,0,0,0,1,0,0,0,0,0
5,ZA,7076116848357494022,1647536841,💆🏾‍♂️ how you gotta move lately. #fyp,6776490604396643333,iNdoda,"🇿🇦
and I smell good.",0,False,https://www.tiktok.com/@dezz.mf/video/7076116848357494022?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076116848357494022&source=h5_m,12341674,16739,66130,65054,2660340,6834322610956897030,6834322610956897030,72,6834322610956897030,original sound - w.harris28 (Contains music from: Pimpin Ain't Eazy - Kodak Black),"Contains music from: ""Pimpin Ain't Eazy""",6.721929917254911e+18,Warren🖤,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6834322530006829830.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/0712b701731ff70273156192cb0b9d16.json,False,False,Kodak Black,Pimpin Ain't Eazy,original sound - w.harris28 (Contains music from: Pimpin Ain't Eazy - Kodak Black),"Contains music from: ""Pimpin Ain't Eazy""",[],0,0,French Guiana,#fyp,0,0,0,1,0,0,0,0,0,0
6,FR,7102967265745800453,1653788443, ,6841474102084011013,🇭🇹KIS🇭🇹,Tu veux un tuto ¿,0,False,https://www.tiktok.com/@clxssygyxl/video/7102967265745800453?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102967265745800453&source=h5_m,498766,168,44,1,66565,7070859916549966597,7070859916549966597,72,7070859916549966597,original sound - oviekanofficiel,OVIÉ KAN Officiel,6.924799435054515e+18,OVIÉ KAN Officiel,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070859920480209670.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/23ae2a80390fb0872f3fd3d58f3b0cd7.json,False,False,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
7,US,7078449496782294314,1648079953, ,6817462078488675333,Menecis & Brody,"Our insta Menecisss_cx and Brodyusa4 
WE ADORE U❤️
BLM
💌: menecisjgarriga@gmail",0,False,https://www.tiktok.com/@menecisandbrody/video/7078449496782294314?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078449496782294314&source=h5_m,9142891,970,1291,4628,223539,7027116381661367045,7027116381661367045,72,7027116381661367045,original sound - chikn.nuggit,Chikn Nuggit,6.873881512447215e+18,Chikn Nuggit,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7027116497135471365.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/64ea253573b9c80d18cff04e71e09d65.json,False,False,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
0,FR,7101666697936964870,1653485631,😅😅,6777530470805554181,Gracekitoko,"I AM COOKIES VRAIS SUKALI🇨🇩🇧🇪
 Snap:Gracekitoko.rdc",0,False,https://m.tiktok.com/v/7101666697936964870.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101666697936964870&source=h5_m,243633,183,202,12,47891,7096326363023559430,7096326363023559430,72,7096326363023559430,original sound - s26so,soso☺️,7.010823629005293e+18,soso☺️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096326347517201157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7fdbe43d8a3028f011a61ec7888cf131.json,False,False,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
1,FR,7103236868883385606,1653851214,Faut jamais négliger ! 🤴🏾 restée concentré #king_willys #viral #fyp #pourtoi #foryou,6947301354848322565,king_willys,"I am prototype🤴🏾
All eyes on me 👀
Let’s go on my instagrams 👆🏾",0,False,https://m.tiktok.com/v/7103236868883385606.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103236868883385606&source=h5_m,279921,218,305,2,42803,7095426292899662597,7095426292899662597,72,7095426292899662597,original sound - uchiwatv2.0 (Contains music from: Si j'savais - Tiakola),"Contains music from: ""Si j'savais""",6.979234828110562e+18,Uchiwa TV,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095426300491467526.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/575041fb4ba01f7fc4066b5f95490ddd.json,False,False,Tiakola,Si j'savais,original sound - uchiwatv2.0 (Contains music from: Si j'savais - Tiakola),"Contains music from: ""Si j'savais""",[],0,0,French Guiana,#king_willys #viral #fyp #pourtoi #foryou,1,0,0,1,0,0,1,0,0,1
2,FR,7084289661186690310,1649439722,(#HUMOUR signalé pas svp 😭) Et c’est du THÉ Tik Tok 😵‍💫 #tiktokshortfilm,6900212226783773697,sharl,"Va sur mon instagram ça fait plaisir ❤️🏝
Insta: sharl.crb",0,False,https://m.tiktok.com/v/7084289661186690310.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084289661186690310&source=h5_m,2868301,2254,1208,46,472742,7084289665322257157,7084289665322257157,72,7084289665322257157,original sound - sharl_crb,sharl,6.900212226783774e+18,sharl,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084289660960262917.mp3,,False,False,,,,,[],0,0,French Guiana,#HUMOUR #tiktokshortfilm,0,0,0,0,0,1,0,0,0,0
3,FR,7101992449509182725,1653561477,#poutoi,7018700129109214213,Kellyjlngomes.ddf,DDF LA FAMILLE 💚,0,False,https://m.tiktok.com/v/7101992449509182725.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101992449509182725&source=h5_m,808728,384,535,5,84052,6939580518874843909,6939580518874843909,10036,6939580518874843909,Ça va bien se passer,Nahir,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f1f345176b084270b3f62ff74657c52d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ceeb3ead53064ee996bc3eb1214887b2,False,True,,,,,[],0,0,French Guiana,#poutoi,0,0,0,0,0,0,0,0,0,0
4,US,7075117353335344426,1647304128,Comment your choice‼️ #cardib #megantheestallion #queen #music #rapper #rap #icon #celeb #celebrity #cardi #macyray,6705047715833627653,Macy Ray,"IG/YT/twich/snap: macyraydearing
Rap TV Host
Mr.Gucci Babys mom🐇
🇭🇳🇺🇸🇨🇦🦂",0,False,https://m.tiktok.com/v/7075117353335344426.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075117353335344426&source=h5_m,2478344,2589,220,3484,222599,6615878050540161794,6615878050540161794,141,6615878050540161794,Money（PT.2）,Cardi B,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a02f92a647264a598417df9168b042ec,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/c5212ef612994533a333082a6d106ccf,True,True,,,,,[],0,0,French Guiana,#cardib #megantheestallion #queen #music #rapper #rap #icon #celeb #celebrity #cardi #macyray,0,0,0,0,0,0,0,0,0,0
5,FR,7096152469637467397,1652201749,Vous être d’accord ? #citationtriste #couplebrisé #malheureux,7082070488395006981,Kiboun,"Je m’appelle Kiboun et c’est mon compte citation 💔
Abonnez-vous !",0,False,https://m.tiktok.com/v/7096152469637467397.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096152469637467397&source=h5_m,218023,92,2278,378,10221,6970012175616576262,6970012175616576262,72,6970012175616576262,original sound - judeesprit,Jude amour,6.594169268794196e+18,Jude amour,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6970012238480542469.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/328cde18c00b7c9f39d65036dc9eb8a1.json,False,False,,,,,[],0,0,French Guiana,#citationtriste #couplebrisé #malheureux,0,0,0,0,0,0,0,0,0,0
6,DE,7102811417916607749,1653752156,ALL STAR EDITION🏃🏿‍♂️💨 @YoofiandJane @noelgoescrazy @KOOLKIDNELLY⚡️ @isaacmik @Kenn @I AM AZONTO,6790738042664829958,DENNISMIK💫,"📍Berlin | London
📧 Mgmt@dennismik.com",0,False,https://m.tiktok.com/v/7102811417916607749.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102811417916607749&source=h5_m,1067102,336,439,168,94733,6834048679016434438,6834048679016434438,72,6834048679016434438,original sound - quinzhauz (Contains music from: Why Are U Running - Dj EddyBeatz),"Contains music from: ""Why Are U Running""",6.581829250466071e+18,quinzhauz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6834048646531533574.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/d9b1b047f984c570d71d9259619a035f.json,False,False,Dj EddyBeatz,Why Are U Running,original sound - quinzhauz (Contains music from: Why Are U Running - Dj EddyBeatz),"Contains music from: ""Why Are U Running""",[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
7,IT,7102004795514391813,1653564352,Super gel -1° #tattoo #tattolovers #madeinitaly,6758897039154856966,gabrielepellerone,Tattoo Artist 🇮🇹 ROAD to 1M ✨,0,False,https://m.tiktok.com/v/7102004795514391813.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102004795514391813&source=h5_m,9828519,1582,14626,23002,366397,6740248251825391617,6740248251825391617,10033,6740248251825391617,Forever,Labrinth,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/76620b22fa6148fc8a0f236baff8f4b8,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/304fcf7798304e4b80402c83784c0348,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1481092680', 'external_song_key': 'apple_song_id'}]",0,0,French Guiana,#tattoo #tattolovers #madeinitaly,0,0,0,0,0,0,0,0,0,0
0,US,7077790952135380266,1647926624,The one friend who always has your back 😂,7050360436883571759,Stokestwins,,0,False,https://www.tiktok.com/@stokestwin0/video/7077790952135380266?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077790952135380266&source=h5_m,10494439,4807,4603,38899,892219,7077790882866645806,7077790882866645806,72,7077790882866645806,original sound - stokestwin0,Stokestwins,7.050360436883572e+18,Stokestwins,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7077790952294746926.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b992a5fbf7da132ad2902b571975931c.json,False,False,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
1,FR,7077251820074110213,1647801097,J’aime trop danser avec eux 😍,6612638554596769798,Jimseuh 🇭🇹,"Instagram : Jimseuh
📩 : Jimseuh@soeuretteproductions.com",0,False,https://www.tiktok.com/@jimseuh/video/7077251820074110213?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077251820074110213&source=h5_m,2316936,804,2168,1627,208886,6990766058684664581,6990766058684664581,10036,6990766058684664581,Armadilha,Guélcio Smith,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/35440ce1dd0a4ab4a203a68152c5fe9d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/81545c4a0de84d91b3886b25cdf4aa2b,False,True,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
2,FR,7079505409945406725,1648325802,👩🏾‍🦯👩🏾‍🦯#pourtoi #fypシ,7050860921526567941,tamereconmillefois,"4 comptes banni💀
Vosmeresconmillefois!",0,False,https://www.tiktok.com/@tamerecon____/video/7079505409945406725?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079505409945406725&source=h5_m,1066315,1482,620,200,121191,7077318103139093253,7077318103139093253,72,7077318103139093253,original sound - ya_madoo (Contains music from: 500 - Speed Up - Gaz Mawete),"Contains music from: ""500 - Speed Up""",6.897245371539932e+18,Domaze,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7077318121472543494.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2f5f8796d06dff4af40cd6e38ef4e77f.json,False,False,Gaz Mawete,500 - Speed Up,original sound - ya_madoo (Contains music from: 500 - Speed Up - Gaz Mawete),"Contains music from: ""500 - Speed Up""",[],0,0,French Guiana,#pourtoi #fypシ,0,0,0,0,1,0,1,0,0,0
