,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_balkan,hash_croatia,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_hrvatska,hash_srbija,hash_viral
7,IT,7101723803545341189,1653498927,#antonioapa05,6955502881114833926,Antonio,"🔥🔥
Cs,Italy 🇮🇹
50k?",0,False,https://www.tiktok.com/@antonioapa05/video/7101723803545341189?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101723803545341189&source=h5_m,12279025,13659,30700,37367,1182731,7101723800231807749,7101723800231807749,72,7101723800231807749,original sound - antonioapa05,Antonio,6.955502881114834e+18,Antonio,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101723802245106438.mp3,,False,False,,,,,[],0,0,Croatia,#antonioapa05,0,0,0,0,0,0,0,0,0,0
0,GB,7099095523591720198,1652886982,Sketchers 💯🔥 #fyp #trending #tiktok #trap #blowthisup #banger #rapzzedixtz_ #like #rap #🔥 #viral #makemeviral #hiphop,7011976778621404165,Rap_edxtzz,"Thank you for 170K🐐
I don’t crop edits 
🎯200K🎯",0,False,https://www.tiktok.com/@rapzzedixtz_/video/7099095523591720198?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099095523591720198&source=h5_m,12172202,4539,14041,80774,1400055,7099095506701290245,7099095506701290245,72,7099095506701290245,original sound - rapzzedixtz_,Rap_edxtzz,7.011976778621404e+18,Rap_edxtzz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099095504704801542.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/819ff8db435d276aeb8a640c1a31a5c3.json,False,False,,,,,[],0,0,Croatia,#fyp #trending #tiktok #trap #blowthisup #banger #rapzzedixtz_ #like #rap #🔥 #viral #makemeviral #hiphop,0,0,0,0,0,1,0,0,0,1
1,RS,7096583095717072134,1652302012,#survivor #foryoupage #survivorbalkan #survivorserbia #nadjaeric #survivorsrbija #srbija #hrvatska #fyp #foryou #croatia #survivor2022 #balkan,159755148418801664,Nadja Eric Official,"Jack of all trades🤩
SURVIVOR 2022
 za vreme Survivora nalog vodi Nađin PR tim",0,False,https://www.tiktok.com/@eric_nadja/video/7096583095717072134?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096583095717072134&source=h5_m,1185946,116,74,125,41629,6962126101195786241,6962126101195786241,10033,6962126101195786241,Bongo Cha Cha Cha,Goodboys,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/46b20bd3cea54e44828a4dbc787a285c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/1eb07dce34204a9a81e39cbee5cbb38f,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1567402166', 'external_song_key': 'apple_song_id'}]",0,0,Croatia,#survivor #foryoupage #survivorbalkan #survivorserbia #nadjaeric #survivorsrbija #srbija #hrvatska #fyp #foryou #croatia #survivor2022 #balkan,1,1,1,1,0,1,0,1,1,0
2,US,7088373383934627115,1650390539,Please wait til the end 😂,6740781056423166982,Angela,"My bf is my only personality trait
✉️ angela@palettemgmt.com",0,False,https://www.tiktok.com/@angelac0123/video/7088373383934627115?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088373383934627115&source=h5_m,36455395,29743,24781,46429,6081602,7088373345963526954,7088373345963526954,72,7088373345963526954,original sound - angelac0123,Angela,6.740781056423167e+18,Angela,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7088373384446364459.mp3,,False,False,,,,,[],0,0,Croatia,,0,0,0,0,0,0,0,0,0,0
3,US,7096727263978212654,1652335579,HOW DID THIS WORK TWICE?😳,6668025465947799557,Tayo Ricci,"Best artist in the world 💋❄️
I basically live shirtless 
All SOCIALS on IG😳",0,False,https://www.tiktok.com/@tayoricci/video/7096727263978212654?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096727263978212654&source=h5_m,3745638,908,654,2731,246258,6985139368969111553,6985139368969111553,10033,6985139368969111553,Want Me Too,Oli Harper & Tayo Ricci,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2396ceec3bd04a78b2990259900327a9,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/329e4c8d6f864e208946dc4f66eaabda,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1576511234', 'external_song_key': 'apple_song_id'}]",0,0,Croatia,,0,0,0,0,0,0,0,0,0,0
4,FR,7085373201068346630,1649692004,they really thought she wasn’t gonna notice anything 💀#oceans8,6957206025368601605,𝘀𝗵𝗲𝗺𝘀𝘆,"my account is dt @svbriqa
wanda apologist",0,False,https://www.tiktok.com/@itstvdtime/video/7085373201068346630?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085373201068346630&source=h5_m,15832746,2580,1204,169,1856303,7085373183502732038,7085373183502732038,72,7085373183502732038,original sound - itstvdtime,𝘀𝗵𝗲𝗺𝘀𝘆,6.957206025368602e+18,𝘀𝗵𝗲𝗺𝘀𝘆,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085373192134462213.mp3,,False,False,,,,,[],0,0,Croatia,#oceans8,0,0,0,0,0,0,0,0,0,0
5,HR,7099468469908901126,1652973816,Puca mi kurac 🤣🤣🤣#viral #fy #fyp #foryoupage #goviral #foryou #viralvideo,7056108754995594246,Nix06,"🤗 Ovdje sam cisto da vas zabavim 🤗
🔥 BACI FOLLOW 🔥",0,False,https://www.tiktok.com/@nikola_nix/video/7099468469908901126?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099468469908901126&source=h5_m,823099,968,1730,4127,78544,7099468434144070406,7099468434144070406,72,7099468434144070406,original sound - nikola_nix,Nix06,7.056108754995594e+18,Nix06,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099468463458044678.mp3,,False,False,,,,,[],0,0,Croatia,#viral #fy #fyp #foryoupage #goviral #foryou #viralvideo,0,0,1,1,1,1,0,0,0,1
6,HR,7092858473544797445,1651434805,"Još jedna nedjelja je gotova! Ovako slavimo @helenajanjusevic , @Albina 🥳 Kako vam se svidio naš ples? 😍 #fyp #foryou #foryoupage #family #dance",6732592902088098821,SANDI PEGO,"PLES SA ZVIJEZDAMA 
👇👇👇
GLASANJE : 061 55 10 ili preko aplikacije dnevnik.hr",0,False,https://www.tiktok.com/@sandipego/video/7092858473544797445?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092858473544797445&source=h5_m,527395,232,64,185,34312,7031625290082175749,7031625290082175749,72,7031625290082175749,Love nwantiti x Habibi DJ Gimi O Albanian remix,Sxsryion21 ❧,6.932941622967682e+18,Sxsryion21 ❧,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7031625346186054405.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/639dba12b5386d33239ae6ed06e2babe.json,False,False,,,,,[],0,0,Croatia,#fyp #foryou #foryoupage #family #dance,0,0,1,1,0,1,0,0,0,0
7,GB,7102400985552719110,1653656595,sports day #fypシ,7092919701835777030,bella,💟💟💟,0,False,https://www.tiktok.com/@belllarowe/video/7102400985552719110?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102400985552719110&source=h5_m,2346001,648,520,1999,206583,7024538204531493637,7024538204531493637,72,7024538204531493637,Ludacris x Kylie (Contains music from: What's Your Fantasy (Featuring Shawna) - Ludacris),"Contains music from: ""What's Your Fantasy (Featuring Shawna)""",6.725426610625709e+18,kate murphy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7033013298463492869.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/339cb5fba3c09c408d9f74b49af69e1e.json,False,False,Ludacris,What's Your Fantasy (Featuring Shawna),Ludacris x Kylie (Contains music from: What's Your Fantasy (Featuring Shawna) - Ludacris),"Contains music from: ""What's Your Fantasy (Featuring Shawna)""",[],0,0,Croatia,#fypシ,0,0,0,0,0,0,1,0,0,0
0,US,7102097507970272514,1653585935,she was shocked hahha #fyp #fakebody @kristinakitsosrn,6724715071983354886,Natalie Reynolds,"Link in ig bio 💗🌶
18",0,False,https://m.tiktok.com/v/7102097507970272514.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102097507970272514&source=h5_m,2301704,462,136,17,83566,7018543928358062853,7018543928358062853,72,7018543928358062853,original sound - carolinaabreu98 (Contains music from: ICE - MORGENSHTERN),"Contains music from: ""ICE""",6.800586233208735e+18,Carolina Abreu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7018543987636095749.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/df44688ffc3b8ee0ca5f09ecbd7d3b0a.json,False,False,MORGENSHTERN,ICE,original sound - carolinaabreu98 (Contains music from: ICE - MORGENSHTERN),"Contains music from: ""ICE""",[],0,0,Croatia,#fyp #fakebody,0,0,0,0,0,1,0,0,0,0
1,GB,7097862825065860358,1652599974,"Your worth it, everyone’s worth it I am here right in the comments some of your struggles and I will helpxxxx I love you all #fy #fat #skinny?☕️ #fypageviral #couples #fypage",7097476683012621318,lovehubxx,"I do kissing my best friend vids 
Couple facts 
And loads more stuff 
Tag ur bf",0,False,https://m.tiktok.com/v/7097862825065860358.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097862825065860358&source=h5_m,10517883,6450,19763,16309,1402974,7097862801829464837,7097862801829464837,72,7097862801829464837,original sound - lovehubxx0,lovehubxx,7.097476683012621e+18,lovehubxx,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097862821882415878.mp3,,False,False,,,,,[],0,0,Croatia,#fy #fat #skinny?☕️ #fypageviral #couples #fypage,0,0,0,0,1,0,0,0,0,0
2,US,7075049654974500142,1647288365,#electriccar #drivingtest #driving #drivingschool #drivinglessons #drivingtraining #driverslicense #drivingtips #xsilence,7052789713623974918,Driving school,"driving school
Xsilence super bright led bulbs for cars",0,False,https://m.tiktok.com/v/7075049654974500142.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075049654974500142&source=h5_m,9709591,504,511,319,218229,7075049621860518699,7075049621860518699,72,7075049621860518699,original sound - _drivingschool,Driving school,7.052789713623975e+18,Driving school,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075049652378159915.mp3,,False,False,,,,,[],0,0,Croatia,#electriccar #drivingtest #driving #drivingschool #drivinglessons #drivingtraining #driverslicense #drivingtips #xsilence,0,0,0,0,0,0,0,0,0,0
3,RS,7089171781973544198,1650576431,Tvrdim da je nepobediv i to je to #fyp #foryou #foryoupage #viral #ubićenasovi #životinje,6776765113505432582,Matija Jakovljević,"17 godina, nevin.",0,False,https://m.tiktok.com/v/7089171781973544198.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089171781973544198&source=h5_m,4681155,2348,49279,35,266628,6945112948473858050,6945112948473858050,10033,6945112948473858050,Alal Vera,Beogradski Sindikat,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/218d2f29a03d4aedb9155fe6881ecb22,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0f9aede2ae174f31b48b5abf609131ba,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1560808804', 'external_song_key': 'apple_song_id'}]",0,0,Croatia,#fyp #foryou #foryoupage #viral #ubićenasovi #životinje,0,0,1,1,0,1,0,0,0,1
4,US,7071269232079637803,1646408168,Guy try’s to get girls with me Bugatti! #freshpanda #cars #fyp,6714552786174821382,Fresh Panda,"I’m here to have some fun!
Atmorepanda777@gmail.com",0,False,https://m.tiktok.com/v/7071269232079637803.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071269232079637803&source=h5_m,9495195,17712,1420,7001,1081988,7071269171752864554,7071269171752864554,72,7071269171752864554,original sound - realfreshpanda,Fresh Panda,6.714552786174821e+18,Fresh Panda,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7071269194070903594.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/075fee0aedc03dc69877749ab1095ca6.json,False,False,,,,,[],0,0,Croatia,#freshpanda #cars #fyp,0,0,0,0,0,1,0,0,0,0
5,HR,7099818917761223942,1653055411,Don’t care what anyone says this slaps 🔥 #foryou #balkan,137617795881508864,ADRIAN,"19 🇦🇺/🇭🇷/🇺🇸
Business - adrian.krajcar21@gmail.com
ALL OF MY SOCIALS 👇",0,False,https://m.tiktok.com/v/7099818917761223942.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099818917761223942&source=h5_m,196566,112,23,159,34431,7086201843973621762,7086201843973621762,10033,7086201843973621762,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2e6ee9db9c1440ec88118a965e786985,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/aec693bde8934a379590f77837e0bb52,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0,Croatia,#foryou #balkan,1,0,1,0,0,0,0,0,0,0
6,HR,7092366818932706565,1651320334,@Ante Vrankić izbacilo me iz stana posli ovog🥲 @Nina N  #tiktokbalkan #viral #fyp #foryou,7003366548648952837,nucciibebo,"📥nucciibebo.business@gmail.com
👶@andelicantonio_👶
👶1.6.2022👶
📍Split/Zagreb",0,False,https://m.tiktok.com/v/7092366818932706565.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092366818932706565&source=h5_m,1219487,439,821,2114,102838,7092366762109061894,7092366762109061894,72,7092366762109061894,original sound - nucciibebo,nucciibebo,7.003366548648953e+18,nucciibebo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092366796807834374.mp3,,False,False,,,,,[],0,0,Croatia,#tiktokbalkan #viral #fyp #foryou,0,0,1,0,0,1,0,0,0,1
7,BA,7102724892251917573,1653732011,Legenda😂😂😂 #srbija #memes #smesno #smehdosuza #zabava #hrvatska #vicevi #smijesno #smesneslike #bosna #smehom #protiv #stresa #smijeh #mim #citati #meme #humor #serbia #zezanje #croatia #crnagora #solidnememare #exyu #memare #zabavno  #ludilo #beograd #sa #zajebancija #smesniklipovi #srpskimimovi #balkancitati #bosnia #no #smijehdosuza #prostora #balkans #vic #sprdnja #balkanmeme #zagreb #funny #smejanje #sarajevo #balkanquotes #serbianmemes #haha #balkanskimimovi #mimovibalkan #montenegro,6934076425944187909,Zadruga Killer,"INSTAGRAM👉 @zadruga_killer ✔️♥️
TWITTER👉 @zadruga_killer ✅️👑",0,False,https://m.tiktok.com/v/7102724892251917573.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102724892251917573&source=h5_m,1179641,300,6651,7542,71602,7102724875822844678,7102724875822844678,72,7102724875822844678,original sound - zadruga_killer,Zadruga Killer,6.934076425944188e+18,Zadruga Killer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102724872119356165.mp3,,False,False,,,,,[],0,0,Croatia,#srbija #memes #smesno #smehdosuza #zabava #hrvatska #vicevi #smijesno #smesneslike #bosna #smehom #protiv #stresa #smijeh #mim #citati #meme #humor #serbia #zezanje #croatia #crnagora #solidnememare #exyu #memare #zabavno #ludilo #beograd #sa #zajebancija #smesniklipovi #srpskimimovi #balkancitati #bosnia #no #smijehdosuza #prostora #balkans #vic #sprdnja #balkanmeme #zagreb #funny #smejanje #sarajevo #balkanquotes #serbianmemes #haha #balkanskimimovi #mimovibalkan #montenegro,0,1,0,0,0,0,0,1,1,0
0,MK,7076912587056631046,1647722113,jel vam se ovo nekad desilo!💓#foryou #foryoupage #zyxcba #nikolaadamovic #nikoladamovic12,7014835268634199045,Nikola Adamovic❤️‍🔥,"nikola adamovic 
Serbia 💓",0,False,https://www.tiktok.com/@.nikola.adamovic/video/7076912587056631046?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076912587056631046&source=h5_m,897246,416,901,15,79913,7076912578827406086,7076912578827406086,72,7076912578827406086,original sound - .nikola.adamovic,Nikola Adamovic❤️‍🔥,7.014835268634199e+18,Nikola Adamovic❤️‍🔥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076912567397927685.mp3,,False,False,,,,,[],0,0,Croatia,#foryou #foryoupage #zyxcba #nikolaadamovic #nikoladamovic12,0,0,1,1,0,0,0,0,0,0
1,RS,7102097426978295045,1653585918, ,7009905108324140038,tijanajovanovic,Eto i ja😬,0,False,https://www.tiktok.com/@t.jovanovic_/video/7102097426978295045?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102097426978295045&source=h5_m,131937,132,193,603,11604,7090447570719263515,7090447570719263515,24,7090447570719263515,oscar isaac is dilf,m🦙,6.812395131418117e+18,m🦙,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7090447586225654555.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7e3ddceb4fed50e104c99743c7a34fcc.json,False,False,,,,,[],0,0,Croatia,,0,0,0,0,0,0,0,0,0,0
2,UA,7088094878143483142,1650325694,#baby #fyp,7046890847991923718,ua0033,,0,False,https://www.tiktok.com/@ua0033/video/7088094878143483142?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088094878143483142&source=h5_m,52503351,48199,263774,337707,4732896,7088094858392423174,7088094858392423174,72,7088094858392423174,original sound - ua0033,ua0033,7.046890847991924e+18,ua0033,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088094863962426118.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ceee3fc8ee8e1a81a61c47617cf07abe.json,False,False,,,,,[],0,0,Croatia,#baby #fyp,0,0,0,0,0,1,0,0,0,0
3,US,7074004299851795754,1647044975,#greenscreen this is the best father ever😂😂 #tiktokcomedy #funny #laugh #dad #foryou,6809884998796592134,Chandler Tuten,"Jokes | Skits😜
Facial Expressions Master👑
Biz: chandlertuten2019@gmail.com",0,False,https://www.tiktok.com/@chanslaw/video/7074004299851795754?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074004299851795754&source=h5_m,14536492,4798,4508,20442,2001209,6929559673020418822,6929559673020418822,72,6929559673020418822,"original sound - bobbymoore44 (Contains music from: Eine Kleine Nachtmusik, Serenade in G Major, K. 525: I. Allegro - Barrymoore Chamber Orchestra)","Contains music from: ""Eine Kleine Nachtmusik, Serenade in G Major, K. 525: I. Allegro""",6.750751329449625e+18,Bobby Moore,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6929559685066787589.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5de94ce3637fff78db6b4c18fdb026f4.json,False,False,Barrymoore Chamber Orchestra,"Eine Kleine Nachtmusik, Serenade in G Major, K. 525: I. Allegro","original sound - bobbymoore44 (Contains music from: Eine Kleine Nachtmusik, Serenade in G Major, K. 525: I. Allegro - Barrymoore Chamber Orchestra)","Contains music from: ""Eine Kleine Nachtmusik, Serenade in G Major, K. 525: I. Allegro""",[],0,0,Croatia,#greenscreen #tiktokcomedy #funny #laugh #dad #foryou,0,0,1,0,0,0,0,0,0,0
4,US,7073271657451785515,1646874393,Why did she make that noise? #viral #satisfying #sister,7071003210311353390,Chiro Body’s,"“Instant Back Pain Relief”
The Chiro Board 2.0 🔥
⬇️ Shop Spine Boards ⬇️",0,False,https://www.tiktok.com/@chiro.bodys/video/7073271657451785515?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073271657451785515&source=h5_m,22370883,50334,31958,45940,2218393,6777695911364528129,6777695911364528129,10033,6777695911364528129,Mozart Eine Kleine Nachtmusik,Violin,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3c471361ff4943e6a7333c8a626f2ab4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/92d28c8584f843c9b3f11fed26a0c5ca,False,True,,,,,[],0,0,Croatia,#viral #satisfying #sister,0,0,0,0,0,0,0,0,0,1
5,HR,7086526806781676805,1649960599,#fypシ,6717996887306486789,leonarda,"ne zaboravi da mogu vidjet ako mi gledas profil lp
👸🏽",0,False,https://www.tiktok.com/@cbkova/video/7086526806781676805?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086526806781676805&source=h5_m,226629,243,38,54,9731,7079430339088681733,7079430339088681733,72,7079430339088681733,original sound - stasaam,stasaam,6.73051676836289e+18,stasaam,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079430344130956037.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/576425063c616e18e888e68013d93084.json,False,False,,,,,[],0,0,Croatia,#fypシ,0,0,0,0,0,0,1,0,0,0
6,HR,7086792391591546117,1650022436,@iris.spaam 🔞 #foryou #foryoupage #fyp #anteletica #croatia #bosnia #serbia,6562070650599931910,iva,sc- icagalj123 ;),0,False,https://www.tiktok.com/@ivacagalj/video/7086792391591546117?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086792391591546117&source=h5_m,546153,299,110,192,36902,7076278610289543978,7076278610289543978,72,7076278610289543978,I WANNA RIDE (Contains music from: Vegas (I Wanna Ride) - Joseline Hernandez),"Contains music from: ""Vegas (I Wanna Ride)""",6.971310566104417e+18,♡︎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076278638555056942.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/199e1472b8ac1256a43e0bb853b41ad9.json,False,False,Joseline Hernandez,Vegas (I Wanna Ride),I WANNA RIDE (Contains music from: Vegas (I Wanna Ride) - Joseline Hernandez),"Contains music from: ""Vegas (I Wanna Ride)""",[],0,0,Croatia,#foryou #foryoupage #fyp #anteletica #croatia #bosnia #serbia,0,1,1,1,0,1,0,0,0,0
7,RS,7076362804034391302,1647594109,😕😕#foryou #fyp #balkan #srbija,7076045237315388421,💀,,0,False,https://www.tiktok.com/@jebemamu/video/7076362804034391302?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076362804034391302&source=h5_m,2239009,1145,11597,10317,97876,7076362747214170886,7076362747214170886,72,7076362747214170886,original sound - jebemamu,💀,7.076045237315388e+18,💀,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076362751089593094.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/86a24b179e0e9f10850989525441fb75.json,False,False,,,,,[],0,0,Croatia,#foryou #fyp #balkan #srbija,1,0,1,0,0,1,0,0,1,0
0,US,7074428322951810346,1647143701,Reply to @tylerjmortimer  Simple lighter 🔥 Drawing Hope u guys enjoyed if so make sure to follow for part 11 #artistsoftiktok #fyp #drawing #lighter,6802769694434968581,inthehandsoflando,"Artist!
⬇️ Business Email ⬇️
📩 Landosartbiz@gmail.com 📩
⬇️ Socials ⬇️",0,False,https://www.tiktok.com/@inthehandsoflando/video/7074428322951810346?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074428322951810346&source=h5_m,27891925,6754,8152,158510,4276648,6802985597507013381,6802985597507013381,10036,6802985597507013381,Mount Everest,Labrinth,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/c88b5019d6d048e99348c70f64e16f46,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a64fc15eb02e4e2abc09d9ff9a16a694,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1469025771', 'external_song_key': 'apple_song_id'}]",0,0,Croatia,#artistsoftiktok #fyp #drawing #lighter,0,0,0,0,0,1,0,0,0,0
1,RS,7103208420702031109,1653844590,#wajwai #foryou,6724883847392281605,wajwai,"Ja sam sarkasticni mf
Imam instagram?",0,False,https://www.tiktok.com/@wajwai/video/7103208420702031109?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103208420702031109&source=h5_m,218894,191,116,160,22417,6763665569725024257,6763665569725024257,10033,6763665569725024257,Mi balkanci,Beko,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/c681f5e4f8664ec1860d114fd9af34bf,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/8316f9dc377a445f8adb4c8c7fb6c58d,False,True,,,,,[],0,0,Croatia,#wajwai #foryou,0,0,1,0,0,0,0,0,0,0
2,RS,7078710931093589254,1648140823,Test poverenja. 😱 pt.1,6780396165990859781,GAGI,"insta @gagi_vujadinovic 
youtube: Gagi",0,False,https://www.tiktok.com/@gagii26/video/7078710931093589254?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078710931093589254&source=h5_m,4148116,311,3351,3071,228961,7078710948181723909,7078710948181723909,72,7078710948181723909,original sound - gagii26,GAGI,6.78039616599086e+18,GAGI,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078710953155644166.mp3,,False,False,,,,,[],0,0,Croatia,,0,0,0,0,0,0,0,0,0,0
3,RS,7086449969544088837,1649942709,#fyp #foryoupage #foruyou #goviral #dydamobile #viralsrbija,7029298221080708102,Dyda Mobile,Tips&Tricks Za Telefone,0,False,https://www.tiktok.com/@dimitrije.saric/video/7086449969544088837?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086449969544088837&source=h5_m,2257213,787,6761,14269,81037,7079416951528901382,7079416951528901382,72,7079416951528901382,original sound - voyage.808 (Contains music from: Detinjstvo - Voyage),"Contains music from: ""Detinjstvo""",1.8849063355952333e+17,Voyage,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079416965542300422.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9aa09d444199191da38fff8f62f0ea72.json,False,False,Voyage,Detinjstvo,original sound - voyage.808 (Contains music from: Detinjstvo - Voyage),"Contains music from: ""Detinjstvo""",[],0,0,Croatia,#fyp #foryoupage #foruyou #goviral #dydamobile #viralsrbija,0,0,0,1,0,1,0,0,0,0
