,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_comedy,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_pov,hash_trending,hash_viral,hash_xyzbca
5,ES,7094654940500561158,1651853078,benji and benjamin,54086091175112704,Benji Krol,"hi :D
insta: @benjikrol
business email - biz@krolbenji.com",0,False,https://www.tiktok.com/@benjikrol/video/7094654940500561158?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094654940500561158&source=h5_m,1434879,1402,311,934,189275,17443837,17443837,73,17443837,Original Sound (Contains music from: What I Was Born To Do - Bring It On: The Musical - Original Broadway Cast),"Contains music from: ""What I Was Born To Do""",,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6877007460595501830.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/e86bcc2c30e695ced4719de71559d56f.json,False,False,Bring It On: The Musical - Original Broadway Cast,What I Was Born To Do,Original Sound (Contains music from: What I Was Born To Do - Bring It On: The Musical - Original Broadway Cast),"Contains music from: ""What I Was Born To Do""",[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
6,GB,7103531087678246150,1653919718,Night or day#tools #fpy,7077442560835634182,KK-QUEEN,"To be an Independent and Beautiful Girl💅
Happy every day follow us
👆👆👆❤",0,False,https://www.tiktok.com/@kk1queen/video/7103531087678246150?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103531087678246150&source=h5_m,179,2,0,0,6,7030018565059169029,7030018565059169029,72,7030018565059169029,TikTokLooks (Contains music from: Dans le vide - funzfbk),"Contains music from: ""Dans le vide""",6.961627133996058e+18,Данила,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7030018672731147013.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a3ce4fb388f6cb16a7f5993b7c5fcce3.json,False,False,funzfbk,Dans le vide,TikTokLooks (Contains music from: Dans le vide - funzfbk),"Contains music from: ""Dans le vide""",[],0,0,Jersey,#tools #fpy,0,0,0,0,0,0,0,0,0,0
7,US,7101043693314018606,1653340574,s/o to my bestfriend🤞,6830997616958145542,bakirfloyd🫥,"50k?🥲❤️
NJ📍
📥: floydbakir111@gmail.com 
If you wanna hear me sing👇🏽",0,False,https://www.tiktok.com/@bakirfloyd/video/7101043693314018606?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101043693314018606&source=h5_m,3105352,10792,21080,9978,634891,7092938238754622250,7092938238754622250,72,7092938238754622250,TAG ME FOR DANCE CREDS (Contains music from: Foolish Chances Freestyle (Not Foolish) - Sway Burr),"Contains music from: ""Foolish Chances Freestyle (Not Foolish)""",7.009732940213241e+18,BarieSmackathotひ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7092953250474871598.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/292ae3740cc99891172a125b93a8ab4b.json,False,False,Sway Burr,Foolish Chances Freestyle (Not Foolish),TAG ME FOR DANCE CREDS (Contains music from: Foolish Chances Freestyle (Not Foolish) - Sway Burr),"Contains music from: ""Foolish Chances Freestyle (Not Foolish)""",[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
0,US,7072586586315115818,1646714888,Reply to @rvn.phnx106uvu,6615815604245823493,Rashad_shinwari,"Daily Crypto, NFT and investing Content 🚨 Not a financial advisor.
❤️🏆🇺🇸 🍀",0,False,https://www.tiktok.com/@resh.eth/video/7072586586315115818?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072586586315115818&source=h5_m,54371838,92232,41473,4406,2160021,6936143790793296642,6936143790793296642,72,6936143790793296642,original sound - _marvel.crash_ (Contains music from: Ritmo Vocal Zocoleo - DJ Beatbox),"Contains music from: ""Ritmo Vocal Zocoleo""",6.557238859020304e+18,I'm the god Loki,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6985831062383414017.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a331f76114625acd49dcd2d82a59303d.json,False,False,DJ Beatbox,Ritmo Vocal Zocoleo,original sound - _marvel.crash_ (Contains music from: Ritmo Vocal Zocoleo - DJ Beatbox),"Contains music from: ""Ritmo Vocal Zocoleo""",[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
1,GB,7093957032205749509,1651690584, ,6624975712279904261,joeleggettx,"You’ve clicked on the profile you might aswell follow…
Insta - joeleggettx📸",0,False,https://www.tiktok.com/@joeleggett/video/7093957032205749509?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093957032205749509&source=h5_m,554418,2465,449,1368,105141,7093957035724704518,7093957035724704518,72,7093957035724704518,original sound - joeleggett,joeleggettx,6.624975712279904e+18,joeleggettx,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093957043958319878.mp3,,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
2,DE,7103531460530916613,1653919805,Are you 2012 or 2022? 🧖‍♀️ #skincare   #skincareroutine #beauty #crueltyfree,6771163732103529477,Anja,"Badass with a soft core 🧚🏻
Makeup I Skincare | Self-Love 
I have rosacea",0,False,https://www.tiktok.com/@anja.lary/video/7103531460530916613?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103531460530916613&source=h5_m,792482,48,13,4,55554,6839757506265237505,6839757506265237505,10036,6839757506265237505,Radetsky March Classic Classic(829541),Yuumi Iida,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8b72898d77d7438cb015fbe997796d8e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ff44b8fcb75a4742870d06b3690bf19c,False,True,,,,,[],0,0,Jersey,#skincare #skincareroutine #beauty #crueltyfree,0,0,0,0,0,0,0,0,0,0
3,AE,7101392476954512645,1653421783,Did you get them all? #generalknowledge #quiz #trivia,6778793738603283461,Mahan Lankarani,"Quizzes | Brain Teasers | Riddles
⬇️ organize everything better ⬇️",0,False,https://www.tiktok.com/@mahanlankarani/video/7101392476954512645?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101392476954512645&source=h5_m,839675,1806,229,212,94743,6777600386590050306,6777600386590050306,10036,6777600386590050306,Reflections on 52nd,Psyched on Sound,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/403ad980d4e3426fbf33aaeb38794d84,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/1e790685d768431da9ee269e8957248f,False,True,,,,,[],0,0,Jersey,#generalknowledge #quiz #trivia,0,0,0,0,0,0,0,0,0,0
4,GB,7103645515899751686,1653946360,As much as u like tall guys we like 🍑😍,6758752925398582277,Kingjunior,"E-MAIL sara@grail-talent.com
👻 Snapchat👇🏾👇🏾👇🏾",0,False,https://www.tiktok.com/@iamkingjunior/video/7103645515899751686?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103645515899751686&source=h5_m,190067,100,97,114,15778,7099602966893595434,7099602966893595434,72,7099602966893595434,Heaven cant wait,Fryfer,7.019050863387198e+18,Fryfer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7099602996635634478.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/c6d91d553a5ec5f2981d08aa1f125e60.json,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
5,US,7103592921982569774,1653934113,Mixed berries🍭 #asmr #asmrsounds #oddlysatisfying #satisfying #sugarscrub #sugarskin #bodyscrub #bellamourbody,7022721965967279110,bellamourbody,NEXT RESTOCK 5/27 @ 12PM PST🍭🍭,0,False,https://www.tiktok.com/@bellamourbody/video/7103592921982569774?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103592921982569774&source=h5_m,143968,127,81,36,16290,7103592896942623530,7103592896942623530,72,7103592896942623530,original sound - bellamourbody,bellamourbody,7.022721965967279e+18,bellamourbody,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103592919650749230.mp3,,False,False,,,,,[],0,0,Jersey,#asmr #asmrsounds #oddlysatisfying #satisfying #sugarscrub #sugarskin #bodyscrub #bellamourbody,0,0,0,0,0,0,0,0,0,0
6,US,7101411556092808494,1653426224,"#POV: Because I’m famous now, you act like we were besties in HS to impress your girl…#fypシ #fyp #funny #acting #fake",6615617349247352838,Noah Jay Wood,"ATL 📍| ACTOR 🎬
P.O. 📦: 767395 Roswell, GA, 30076
GET TO KNOW ME ON TWITCH! 👇",0,False,https://www.tiktok.com/@noahjaywood/video/7101411556092808494?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101411556092808494&source=h5_m,399664,204,38,266,67904,6737557695282416385,6737557695282416385,24,6737557695282416385,#顔だけどあっぷ - TikTokStampトレンド,TikTokEffectトレンド,6.66224021663341e+18,TikTokEffectトレンド,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/1644913674422289.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/f87c335983bd14fdba093b27384fd04c.json,False,False,,,,,[],0,0,Jersey,#POV: #fypシ #fyp #funny #acting #fake,0,0,0,1,1,1,1,0,0,0
7,US,7079444272587623723,1648311567,Reply to @(null)  Here’s the amateur edit! 🤷🏼‍♂️ #rocketleague #rl #uuest,6883379690888201222,uuest,"➖
☁️ Check out the YouTube! ☁️
➖
❕⬇️ MERCH BELOW:) ⬇️❕",0,False,https://www.tiktok.com/@uuest/video/7079444272587623723?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079444272587623723&source=h5_m,21663623,3024,629,2712,1787837,6969162731500980997,6969162731500980997,72,6969162731500980997,Lovely HOPEX remix (Contains music from: Lovely - AXCS),"Contains music from: ""Lovely""",6.913219121392862e+18,InfinityBob,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6969162824689928966.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cd06ffdd95210e23c2471e57b2e18eaa.json,False,False,AXCS,Lovely,Lovely HOPEX remix (Contains music from: Lovely - AXCS),"Contains music from: ""Lovely""",[],0,0,Jersey,#rocketleague #rl #uuest,0,0,0,0,0,0,0,0,0,0
0,CA,7103302249186626822,1653866437,"Girl you sure you okay? That’s no laugh girl that sounds like exorcism, you sure nobody cursed you? You want me to come with you to the emergency department girl you need to vacuum that. #nurse #nursesoftiktok #nurselife #nurses #nursehumor #nursing #nursingstudent #nursingschool #nursetiktok #nurseproblems #medicalhumor #medicaltiktok #hospitallife #hospitaltiktoks #healthcareworker #healthcarehumor #cna #cnalife #cnahumor #travelnurse #ernurse #fyp #fypシ #foryou #vape",1311438,Jc Dela Cruz,"No real patient/work scenario
Ads/Collab DM me
📩: nurse.johnnbiz@outlook.com",0,False,https://www.tiktok.com/@nurse.johnn/video/7103302249186626822?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103302249186626822&source=h5_m,2894714,2744,7101,5561,535586,6977767439102724869,6977767439102724869,72,6977767439102724869,original sound - 338jay,338Jay,6.748153561773114e+18,338Jay,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6977767548863482629.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/731d583cb3be7f27f1549fd13b6cc6b1.json,False,False,,,,,[],0,0,Jersey,#nurse #nursesoftiktok #nurselife #nurses #nursehumor #nursing #nursingstudent #nursingschool #nursetiktok #nurseproblems #medicalhumor #medicaltiktok #hospitallife #hospitaltiktoks #healthcareworker #healthcarehumor #cna #cnalife #cnahumor #travelnurse #ernurse #fyp #fypシ #foryou #vape,0,1,0,0,1,1,0,0,0,0
1,GB,7103487049998552325,1653909465,Very hard pill to swallow #foryoupage #fyp #monacogp #monaco #Summer #scouse,6724048209767416838,Liam Dolan,"SINCOS
I’m weird don’t speak to me
Instagram: liam8dolan
Info@liamdolan.co.uk",0,False,https://www.tiktok.com/@liam7dolan/video/7103487049998552325?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103487049998552325&source=h5_m,635359,109,124,79,42929,7103487029715012357,7103487029715012357,72,7103487029715012357,original sound - liam7dolan,Liam Dolan,6.724048209767417e+18,Liam Dolan,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103487041458998021.mp3,,False,False,,,,,[],0,0,Jersey,#foryoupage #fyp #monacogp #monaco #Summer #scouse,0,0,1,0,1,0,0,0,0,0
2,GB,7092830845190376710,1651428373,I still don’t understand why Americans think these things??? #fyp #foryou #americans #british #britishpeople #usa #americanpeople #uk #thequeen #calthedragon #popworld #pryzm,6624975712279904261,joeleggettx,"You’ve clicked on the profile you might aswell follow…
Insta - joeleggettx📸",0,False,https://www.tiktok.com/@joeleggett/video/7092830845190376710?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092830845190376710&source=h5_m,472177,1729,434,1261,103368,7092830846729734917,7092830846729734917,72,7092830846729734917,original sound - joeleggett,joeleggettx,6.624975712279904e+18,joeleggettx,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092830871471835909.mp3,,False,False,,,,,[],0,0,Jersey,#fyp #foryou #americans #british #britishpeople #usa #americanpeople #uk #thequeen #calthedragon #popworld #pryzm,0,1,0,0,1,0,0,0,0,0
3,US,7092862009573641518,1651435627,Who has a secret they’re taking to the grave? 👀 #greenwoodcemetery #tombofsecrets #sophiecalle #cemeterywalks #cemetery #darktourism #atlasobscura #takeittothegrave #spookytravel #spookytravels #cemeteriesinNYC #cemeterywandering,6805407626894935046,Ghoul Please 👻,"Here to take you on all the spooky adventures 👻
IG: @ghoul_please",0,False,https://www.tiktok.com/@ghoulplease_/video/7092862009573641518?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092862009573641518&source=h5_m,3075381,1308,1006,17,452798,6726877848537139202,6726877848537139202,10033,6726877848537139202,Secret,The Pierces,,,False,False,,https://sf19-music-sign.tiktokcdn.com/obj/tos-useast2a-v-2774/a68fd9f6486b4c8b98929591513db408?x-expires=1653982714&x-signature=b0OJ1plUsG4x7pqQiuueffSX98k%3D,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '291003666', 'external_song_key': 'apple_song_id'}]",0,0,Jersey,#greenwoodcemetery #tombofsecrets #sophiecalle #cemeterywalks #cemetery #darktourism #atlasobscura #takeittothegrave #spookytravel #spookytravels #cemeteriesinNYC #cemeterywandering,0,0,0,0,0,0,0,0,0,0
4,GB,7103575463171345670,1653930050,I don’t think they get it😂🤦‍♂️ #smarshyyy #relatable  #america #england,6736667757461554181,Sethmarshyyy,"Check the insta for more ⬆️
millie@edhopkinspr.co.uk 📧",0,False,https://www.tiktok.com/@sethmarshyyy/video/7103575463171345670?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103575463171345670&source=h5_m,208979,195,80,219,41085,7103575458100349702,7103575458100349702,72,7103575458100349702,original sound - sethmarshyyy,Sethmarshyyy,6.736667757461554e+18,Sethmarshyyy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103575477151140614.mp3,,False,False,,,,,[],0,0,Jersey,#smarshyyy #relatable #america #england,0,0,0,0,0,0,0,0,0,0
5,DE,7102420772479585541,1653661202,Who feels me 😂 #fyp #fürdich #funny #comedy #style,6888677831006782469,𝙹 𝙾 𝚈 𝙲 𝙴,Just a girl taking pictures and making videos 🧡,0,False,https://www.tiktok.com/@joycevermeer/video/7102420772479585541?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102420772479585541&source=h5_m,3344151,3783,11646,34,594754,6991742622083713797,6991742622083713797,72,6991742622083713797,original sound - michellejolly007,Michelle Jolly 😊,6.947986708261701e+18,Michelle Jolly 😊,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6991742810445728517.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd048fca5f932b662ccd951b38ededd0.json,False,False,,,,,[],0,0,Jersey,#fyp #fürdich #funny #comedy #style,1,0,0,1,1,0,0,0,0,0
6,ZA,7099913752438410501,1653077493,always have and always will be my favorite,6996920930661286913,definitelynotjezelle.x,yes I am that pov girl @jezelle.x,0,False,https://www.tiktok.com/@definitelynotjezelle.x/video/7099913752438410501?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099913752438410501&source=h5_m,226100,677,174,927,41309,7073036425435843354,7073036425435843354,24,7073036425435843354,taehyun is so bf (Contains music from: I Love You - Kwixou),"Contains music from: ""I Love You""",7.060505385828124e+18,amber ✘,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073036415197793050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e274011ed7003c4e9c00460babdda416.json,False,False,Kwixou,I Love You,taehyun is so bf (Contains music from: I Love You - Kwixou),"Contains music from: ""I Love You""",[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
7,GB,7103576531431066886,1653930298,This really how boys be moving these days! 😅 #funny #nature #funnyvideos #fyp #foryou #tag #fypシ #fypage #fypシ゚viral #viralpost #monkey #animal #animals #gorilla #gorillas #funnyvideo #share #sharethis #foryourpage #foryoupageofficiall #for #foryouu #zoo #pets #viralvideo #fy #fypp #outdoor,6952570561449018373,RichyRich_viralclips/Music,🔥 I also make music! (Check it out) 🔥,0,False,https://www.tiktok.com/@richyrich_viralclips/video/7103576531431066886?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103576531431066886&source=h5_m,287255,437,2768,897,7676,7103576514159037190,7103576514159037190,72,7103576514159037190,original sound - richyrich_viralclips (Contains music from: Let's Get It On - Marvin Gaye),"Contains music from: ""Let's Get It On""",6.952570561449018e+18,RichyRich_viralclips/Music,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103576519716391685.mp3,,False,False,Marvin Gaye,Let's Get It On,original sound - richyrich_viralclips (Contains music from: Let's Get It On - Marvin Gaye),"Contains music from: ""Let's Get It On""",[],0,0,Jersey,#funny #nature #funnyvideos #fyp #foryou #tag #fypシ #fypage #fypシ゚viral #viralpost #monkey #animal #animals #gorilla #gorillas #funnyvideo #share #sharethis #foryourpage #foryoupageofficiall #for #foryouu #zoo #pets #viralvideo #fy #fypp #outdoor,0,1,0,1,1,2,0,0,1,0
0,US,7073758165736770859,1646987672,This was one of the funniest videos I ever took. 2017 on the tram,7038672675565290502,Liana Maria,Instagram- lianamariaofficial,0,False,https://www.tiktok.com/@lianamariaofficial/video/7073758165736770859?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073758165736770859&source=h5_m,3262719,12481,5922,14780,493101,7073757999818476331,7073757999818476331,72,7073757999818476331,original sound - lianamariaofficial,Liana Maria,7.03867267556529e+18,Liana Maria,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073758136884005678.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/4b91160834f8e1713301c63fc15cc1bb.json,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
1,GB,7103625583485062406,1653941719,Found another sound 😭🤣 #fyp #foryoupage,6888467181131351041,Fay🐐,"Email: fayisthegoat@gmail.com 
43
Follow my Instagram ❤️",0,False,https://www.tiktok.com/@thegoatfay/video/7103625583485062406?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103625583485062406&source=h5_m,129287,455,161,207,21972,7099172676278700806,7099172676278700806,72,7099172676278700806,Dont click the sound,Kai Liu,6.880290892848596e+18,Kai Liu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099177132454841094.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/773bcb524257cd7f6cc98096bd0878b6.json,False,False,,,,,[],0,0,Jersey,#fyp #foryoupage,0,0,1,0,1,0,0,0,0,0
2,AU,7092277582342704386,1651299557,Taking song requests from children #djing #djlife #requests #songrequest,6922001611578065922,Andrew Levins,DJ/WRITER/DAD/WEEB,0,False,https://www.tiktok.com/@levinsonline/video/7092277582342704386?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092277582342704386&source=h5_m,2533931,4657,1994,789,432228,7092277577364015874,7092277577364015874,72,7092277577364015874,original sound - levinsonline,Andrew Levins,6.922001611578066e+18,Andrew Levins,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7092277582397393666.mp3,,False,False,,,,,[],0,0,Jersey,#djing #djlife #requests #songrequest,0,0,0,0,0,0,0,0,0,0
3,GB,7102440583091768582,1653665815,The ending ☠️,6653120673727168518,joshryanx,"📧 :  joshryan@connectmgt.com

👇INSTAGRAM CONTROLS MY LIFE FOR 24 HOURS👇",0,False,https://www.tiktok.com/@joshryanx/video/7102440583091768582?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102440583091768582&source=h5_m,108666,81,25,45,17328,7102440580726147845,7102440580726147845,72,7102440580726147845,original sound - joshryanx,joshryanx,6.653120673727169e+18,joshryanx,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102440573554002694.mp3,,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
4,GB,7103220335402618117,1653847364,#pov you didn’t realise the kid you were making fun of was the teachers daughter …,6693123383091659782,Car🧚‍♀️🪐,"your sister of POV’s💗
and some other random stuff <3",0,False,https://www.tiktok.com/@carastewartx/video/7103220335402618117?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103220335402618117&source=h5_m,118678,21,3,36,15833,6811320461402688261,6811320461402688261,72,6811320461402688261,Sry miss Jackson,lexi,6.787966350209811e+18,lexi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6842149203838601989.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8f1288d058b0eafffe4d2098c40f158c.json,False,False,,,,,[],0,0,Jersey,#pov,0,0,0,0,0,0,1,0,0,0
5,US,7093898713407606062,1651677006,SO EMBARRASSING 😭,93284399906959360,Vy Qwaint,I’m a Spicy Spy Ninja 🌶🕵🏻‍♀️,0,False,https://www.tiktok.com/@vyqwaint/video/7093898713407606062?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093898713407606062&source=h5_m,737978,3167,415,449,59210,7059988234704521217,7059988234704521217,10033,7059988234704521217,emo girl,Machine Gun Kelly & WILLOW,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6c2bab70ba744ac29edb95bd5420e34c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/59e19c93076c47299d625a4ba644847a,True,True,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
6,US,7102895155681889582,1653771652, ,8616719,Caleb Coffee,"cant believe we’ve made it this far. luv u all❣️
email: business@jasoncoffee.com",0,False,https://www.tiktok.com/@calebcoffee/video/7102895155681889582?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102895155681889582&source=h5_m,397423,404,34,53,59961,7097163556914776838,7097163556914776838,72,7097163556914776838,original sound - vayec,vayec,6.990374421439301e+18,vayec,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097163590410488581.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a75576e16c186f4e57dd4270cad2ac7a.json,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
7,IT,7103500169286536453,1653912519,Don’t say you don’t do this😂✋🏻 #recommendations #4you #fyp #trend,280483223279755264,your anime girl👑,"IG: @fesch6 
Cooperation: feschenko090@gmail.com
YELLOW MUKBANG🤤🍜👇🏻",0,False,https://www.tiktok.com/@fesch6/video/7103500169286536453?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103500169286536453&source=h5_m,289525,499,84,306,46721,7050909110963555078,7050909110963555078,72,7050909110963555078,original sound - speedmusicnightcore,🤍,7.040704802774631e+18,🤍,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7050909142915058438.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/01236627bb7ffd9f894dafbfd734593a.json,False,False,,,,,[],0,0,Jersey,#recommendations #4you #fyp #trend,0,0,0,0,1,0,0,0,0,0
0,CA,7088034575087078662,1650311653, ,6617655923106447366,Kimberly,"Relationship & Fragrance Expert
Teaching the Art of Attraction
New music soon🎵",0,False,https://www.tiktok.com/@ask_kimberly/video/7088034575087078662?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088034575087078662&source=h5_m,1056091,805,678,1615,94326,7088034581983365893,7088034581983365893,72,7088034581983365893,original sound - ask_kimberly,Kimberly,6.617655923106447e+18,Kimberly,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088034595244870405.mp3,,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
1,GB,7080985831082577157,1648670490,"Day 142 of feeding my pet seagull to gain his trust - Steven got caught in some hail today, his little pinkies were soo chilly 🥺 #fyp #foryou #birds #seagull #hailstorm",6729549479285933062,arrynskelly,"Daily feedings to gain trust
📬 feedingsteven@digitalstreamers.com
New Merch! ⬇️",0,False,https://www.tiktok.com/@arrynskelly/video/7080985831082577157?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080985831082577157&source=h5_m,10251552,3000,2209,3849,1576989,7080985838842055430,7080985838842055430,72,7080985838842055430,original sound - arrynskelly,arrynskelly,6.729549479285933e+18,arrynskelly,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080985830700960517.mp3,,False,False,,,,,[],0,0,Jersey,#fyp #foryou #birds #seagull #hailstorm,0,1,0,0,1,0,0,0,0,0
