,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_duet,hash_explore,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_tiktok,hash_trending,hash_viral,hash_اكسبلور
6,EG,7102944349188656389,1653783108,😅😅😅#mm__nn__ll #mm__nn__ll2 #msib❤❤❤,7034896684287230982,♥️ Manal ismail ♥️,"فرق كبير
بين امرأة لها قيمة وامرأة لها ثمن
فكوني امرأة لها قيمة لا تقدر بثمن",0,False,https://www.tiktok.com/@mm__nn__ll/video/7102944349188656389?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102944349188656389&source=h5_m,982634,0,2041,16257,24671,7102944320897960709,7102944320897960709,72,7102944320897960709,original sound - mm__nn__ll,♥️ Manal ismail ♥️,7.034896684287231e+18,♥️ Manal ismail ♥️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102944318802201350.mp3,,False,False,,,,,[],0,0,Egypt,#mm__nn__ll #mm__nn__ll2 #msib❤❤❤,0,0,0,0,0,0,0,0,0,0
7,EG,7091338427970424070,1651080892,سوووووووووف,6538322144374297615,khaled jwad,شخص عفوى عنفوانى,0,False,https://www.tiktok.com/@khaled.jwad/video/7091338427970424070?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091338427970424070&source=h5_m,3752298,4571,19575,1182,231464,7091338414372539142,7091338414372539142,72,7091338414372539142,original sound - khaled.jwad,khaled jwad,6.538322144374298e+18,khaled jwad,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091338422899444486.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/09d0db1ab12a416d2346d4185b18467c.json,False,False,,,,,[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
0,EG,7094711139551988997,1651866163,😂😂,250028711528275968,Mohamed Farag,1,0,False,https://www.tiktok.com/@mohamedfarag20/video/7094711139551988997?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094711139551988997&source=h5_m,6864525,1478,3896,18325,354481,7073109627914734342,7073109627914734342,72,7073109627914734342,original sound - aboelsidproduction (Contains music from: Play - Blazy),"Contains music from: ""Play""",7.067948637422913e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073109636060121861.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1031314a1847df10f8c90d8b30fe633d.json,False,False,Blazy,Play,original sound - aboelsidproduction (Contains music from: Play - Blazy),"Contains music from: ""Play""",[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
1,EG,7099471365668900102,1652974490,زعلت اوي ان الفيديو التاني اتمسح معرفش ليه هل ده هيطلع تريند زي التاني🥺@samayasser601 @tamerhosny #السمراهـ #اسوان #التوينز,6813683501638190086,Salma Yasser,"السمراهـ🤎
🇪🇬🤎
اعملولي فولو انستا فوق اهو😍☝🏽",0,False,https://www.tiktok.com/@salma_yasserrr/video/7099471365668900102?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099471365668900102&source=h5_m,4248943,1399,2311,11505,254488,7094825566976609029,7094825566976609029,24,7094825566976609029,original sound - wesal_temo (Contains music from: Departure - Quoxx),"Contains music from: ""Departure""",7.06010315451628e+18,Wesal temo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094825594738756357.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/294743dd4a6b4fcabae5846c2413a552.json,False,False,Quoxx,Departure,original sound - wesal_temo (Contains music from: Departure - Quoxx),"Contains music from: ""Departure""",[],0,0,Egypt,#السمراهـ #اسوان #التوينز,0,0,0,0,0,0,0,0,0,0
2,US,7091852431763475758,1651200567,SOMETHING GOT STUCK😱 #wax #waxvideos #waxing #fypシ゚viral #viral #fypage,6673136191677776902,Young Beauty Glow,"Mgmt.yalda@gmail.com
LA🌴 
CEO OF MAKEUP-HACKS & 15 SECS MAKEUP REVIEW",0,False,https://www.tiktok.com/@youngbeautyglow/video/7091852431763475758?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091852431763475758&source=h5_m,27343316,4309,2748,4304,845454,7085867286266940206,7085867286266940206,72,7085867286266940206,original sound - theofficialkristylee (Contains music from: Tom's Diner - AnnenMayKantereit & Giant Rooks),"Contains music from: ""Tom's Diner""",2.2647016308748698e+17,KristyLee,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7085867319150267178.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/7e558274794c01a3086d68c0a83821cd.json,False,False,AnnenMayKantereit & Giant Rooks,Tom's Diner,original sound - theofficialkristylee (Contains music from: Tom's Diner - AnnenMayKantereit & Giant Rooks),"Contains music from: ""Tom's Diner""",[],0,0,Egypt,#wax #waxvideos #waxing #fypシ゚viral #viral #fypage,0,0,0,0,0,1,0,0,2,0
3,US,7102779243913825582,1653744664,Gril vs Boy part1 fallow for more #foryou #tik_tok #trend #trending,6975129970542085125,USA_VS_France,"🇺🇸 VS 🇫🇷
Follow me ✔️
Like All Videos😉
Goal：1.5m",0,False,https://www.tiktok.com/@odeue0/video/7102779243913825582?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102779243913825582&source=h5_m,2769433,27,34,258,7878,7102779169263684398,7102779169263684398,72,7102779169263684398,original sound - odeue0,USA_VS_France,6.975129970542085e+18,USA_VS_France,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102779224649567022.mp3,,False,False,,,,,[],0,0,Egypt,#foryou #tik_tok #trend #trending,0,0,1,0,0,0,0,1,0,0
4,ES,7076467152164834565,1647618403,asi es como se hace,26509601,Anto Garcia,"📩| Contact: mranto@bushidotalent.com
Anywhere , España",0,False,https://www.tiktok.com/@mranto/video/7076467152164834565?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076467152164834565&source=h5_m,12715511,2356,2991,12590,435545,7069398030901988101,7069398030901988101,72,7069398030901988101,Old Town Road (Contains music from: Old Town Road (feat. Billy Ray Cyrus) (Remix) - Lil Nas X),"Contains music from: ""Old Town Road (feat. Billy Ray Cyrus) (Remix)""",6.824587076743955e+18,Тот самый Вовка🥕,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069398014171695877.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e1085100e5a58395101adad489490072.json,False,False,Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) (Remix),Old Town Road (Contains music from: Old Town Road (feat. Billy Ray Cyrus) (Remix) - Lil Nas X),"Contains music from: ""Old Town Road (feat. Billy Ray Cyrus) (Remix)""",[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
5,EG,7100268754508025094,1653160146,🍉🍉🍉 #fyp #foryoupage #grumpyface #خس_و_خلى_الكرش_يفس,6808942753378206726,Ramez Andrea,"I like to travel and cook
I love my family except my sister
Check my instagram",0,False,https://www.tiktok.com/@ramezandrea/video/7100268754508025094?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100268754508025094&source=h5_m,3422886,690,2236,4314,164746,6839746950938494977,6839746950938494977,10036,6839746950938494977,Mozart Minuet with violin(815356),松本一策,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/cea961e17e7e477d9da865f8739edb52,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/259e925877124940aab1fd5f609c72f7,False,True,,,,,[],0,0,Egypt,#fyp #foryoupage #grumpyface #خس_و_خلى_الكرش_يفس,0,0,0,1,1,0,0,0,0,0
6,EG,7101020627301190918,1653335205,Reply to @jumana_22_2  #ميمز #تيك_توك #كوكو_الضعيف_🐣,6772630960971711493,Radwa Mohamed,✨ trying my best to be good human ✨,0,False,https://www.tiktok.com/@radwa_clown/video/7101020627301190918?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101020627301190918&source=h5_m,358753,126,208,1515,16340,7101020623639415557,7101020623639415557,72,7101020623639415557,original sound - radwa_clown,Radwa Mohamed,6.772630960971711e+18,Radwa Mohamed,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101020615200770822.mp3,,False,False,,,,,[],0,0,Egypt,#ميمز #تيك_توك #كوكو_الضعيف_🐣,0,0,0,0,0,0,0,0,0,0
7,BR,7101843310863518982,1653526753,minha afilhadinha kkkk tenho ciúmes mesmo kkkk #fy #fyp,6806430016650675205,Geovana Vieira,"me sigam no insta 🥰
pooxa_geovanna 🎊",0,False,https://www.tiktok.com/@geovanavieira929/video/7101843310863518982?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101843310863518982&source=h5_m,389832,62,71,456,7888,7101843289980029701,7101843289980029701,72,7101843289980029701,original sound - geovanavieira929 (Contains music from: Ozmo - Caribbean Snake),"Contains music from: ""Ozmo""",6.806430016650675e+18,Geovana Vieira,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101843298159577862.mp3,,False,False,Caribbean Snake,Ozmo,original sound - geovanavieira929 (Contains music from: Ozmo - Caribbean Snake),"Contains music from: ""Ozmo""",[],0,0,Egypt,#fy #fyp,0,0,0,0,1,0,0,0,0,0
0,EG,7099894794096332038,1653073077,مش عايز تتعرف عليا خالص مع بيج ياسمين 😂 #الصحفي_اشرف_العمدة,6716489938734760966,Ashraf Elomda,"الصحفي أشرف العمدة 📷✌️
تعالوا علي إنستجرام  للتواصل 👇",0,False,https://www.tiktok.com/@ashraf_elomda_74/video/7099894794096332038?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099894794096332038&source=h5_m,847029,160,65,344,17422,7096711796757318406,7096711796757318406,72,7096711796757318406,original sound - userokx9f7uwfo,1000-7 ?,7.069681750491055e+18,1000-7 ?,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096711767694330629.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/92e5cba0f0f82b7c77e53bca46431036.json,False,False,,,,,[],0,0,Egypt,#الصحفي_اشرف_العمدة,0,0,0,0,0,0,0,0,0,0
1,JO,7099517669073751298,1652985269,🤍. #طنقع_الجنوبي #فاطمه_الجنوبي,7092162730803971073,فاطمه💗🙊,فطوم,0,False,https://www.tiktok.com/@fatema__tiktok/video/7099517669073751298?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099517669073751298&source=h5_m,7445595,3647,2632,10563,203683,7099517674812214017,7099517674812214017,72,7099517674812214017,original sound - fatema__tiktok (Contains music from: Wasi - BigSam),"Contains music from: ""Wasi""",7.092162730803971e+18,فاطمه💗🙊,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099517657698814721.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/882590186db6534c67839be769e6bf98.json,False,False,BigSam,Wasi,original sound - fatema__tiktok (Contains music from: Wasi - BigSam),"Contains music from: ""Wasi""",[],0,0,Egypt,#طنقع_الجنوبي #فاطمه_الجنوبي,0,0,0,0,0,0,0,0,0,0
2,LB,7099483011279817986,1652977200,😂😂😂#hadihassan,6864718546292589570,Hadi hassan,"CEO Of : قوم يلعن😂
Follow my Instagram 👆",0,False,https://www.tiktok.com/@hadi_hasann1/video/7099483011279817986?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099483011279817986&source=h5_m,3014342,2315,3279,9013,193731,7099483037183822594,7099483037183822594,72,7099483037183822594,original sound - hadi_hasann1,Hadi hassan,6.86471854629259e+18,Hadi hassan,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099483033736071938.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/17f2f91dd7c7bca9570105b870cc165b.json,False,False,,,,,[],0,0,Egypt,#hadihassan,0,0,0,0,0,0,0,0,0,0
3,JO,7076090883937946882,1647530796,#شيف_سند #alseka5 #السيكا #fypシ #fyp #meatmoot #مصر_العراق_السعودية_تونس_المغرب_الجزائر #تركيا🇹🇷اسطنبول #لحمه_بالعسل #🍖 #لحم #الاردن🇯🇴_فلسطين_🇵🇸 #تركيا #عسل #اكسبلورexplore,6799764546400863237,Chef sanad,"متواجد اكثر حبايبي❤️شيف سند يومياتي👇👌
انستا ☝️اضافه 
سناب👇ادخل ع الرابط👇",0,False,https://www.tiktok.com/@sanadfararja/video/7076090883937946882?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076090883937946882&source=h5_m,10082053,3259,6822,12562,273995,7064216917724236550,7064216917724236550,72,7064216917724236550,original sound - sarah_samir1 (Contains music from: Sayrena Ya Donia - Ahmed Saad),"Contains music from: ""Sayrena Ya Donia""",6.673923489114277e+18,sarah_samir,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7064216918592621317.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fae4f79ae70ff6d33f1b31bb9e23adc1.json,False,False,Ahmed Saad,Sayrena Ya Donia,original sound - sarah_samir1 (Contains music from: Sayrena Ya Donia - Ahmed Saad),"Contains music from: ""Sayrena Ya Donia""",[],0,0,Egypt,#شيف_سند #alseka5 #السيكا #fypシ #fyp #meatmoot #مصر_العراق_السعودية_تونس_المغرب_الجزائر #تركيا🇹🇷اسطنبول #لحمه_بالعسل #🍖 #لحم #الاردن🇯🇴_فلسطين_🇵🇸 #تركيا #عسل #اكسبلورexplore,0,0,0,0,1,1,0,0,0,0
4,BE,7081952200523599110,1648895490, ,7081951226057180166,bealena0ja,"M Y
B 🍒 🍒 B S
H E R E
💋👇",0,False,https://www.tiktok.com/@bealena0ja/video/7081952200523599110?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081952200523599110&source=h5_m,5958603,54,108,2300,55929,7081220183792159493,7081220183792159493,72,7081220183792159493,ḨỔŢ mẏ ҎRỔŊỜ VįĐĘỜ mẏ ᏰįỔ,bealenazvuk29,7.08121930022976e+18,bealenazvuk29,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7081220188063517446.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8b6630e7032fdf19dd636dd6dfe9cb73.json,False,False,,,,,[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
5,MX,7092531722306276614,1651358728,2 años de buena suerte en el amor copiandø el enläce 🤍,7005260988703687686,𝐋𝐀𝐔𝐌𝐄𝐒𝐒𝐈,"🇲🇽
Sigueme en insta y platiquemos👆🏻",0,False,https://www.tiktok.com/@lau.messi/video/7092531722306276614?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092531722306276614&source=h5_m,1473683,48,980,2754,44242,6989938088650869509,6989938088650869509,72,6989938088650869509,original sound - crazu5 (Contains music from: Pluck - Paul Flexx),"Contains music from: ""Pluck""",6.554638075216101e+18,🦋XENA🦋,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6989957249179323141.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2a58878b2a2fa426eadee9fb05d1b2f4.json,False,False,Paul Flexx,Pluck,original sound - crazu5 (Contains music from: Pluck - Paul Flexx),"Contains music from: ""Pluck""",[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
6,AL,7084735262940581126,1649543472,@pinebabyasmr YouTube 🫗 #sponge #spongesqueezingasmr #spongesqueezing #spongesqueeze #cleantok #cleaning #squeeze #pinalen,7084729499829470214,Sponge squeezing,"not my videos I always give credit
Her/she 
🧽",0,False,https://www.tiktok.com/@sp0ngesqueez1ng/video/7084735262940581126?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084735262940581126&source=h5_m,2305913,110,113,909,28813,7084735225439324933,7084735225439324933,72,7084735225439324933,original sound - sp0ngesqueez1ng,Sponge squeezing,7.08472949982947e+18,Sponge squeezing,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084735240568163078.mp3,,False,False,,,,,[],0,0,Egypt,#sponge #spongesqueezingasmr #spongesqueezing #spongesqueeze #cleantok #cleaning #squeeze #pinalen,0,0,0,0,0,0,0,0,0,0
7,EG,7102827538476584197,1653755910,شكله هيعورك .. هيعورك 😂🥰• sandbox edition 💃🏼• #je_elsayeed #enjy_elsayeed #fyp #viral #egypt #outfit #fypシ @Dina sabry,5977676,Enjy Elsayeed,"Instagram ⬆️
‘ The one & only “ JE “ ‘
Egypt 📍",0,False,https://www.tiktok.com/@enjyelsayeed/video/7102827538476584197?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102827538476584197&source=h5_m,2026736,955,896,4270,100900,7099837349416160005,7099837349416160005,72,7099837349416160005,original sound - kozbaraxmohmed._.ashraf,Toxic._.kozbara,7.0988851906715e+18,Toxic._.kozbara,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099837339786300165.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b8cbba6fd51ca0ba3564636c99164935.json,False,False,,,,,[],0,0,Egypt,#je_elsayeed #enjy_elsayeed #fyp #viral #egypt #outfit #fypシ,0,0,0,0,1,1,0,0,1,0
0,EG,7099224060990688514,1652916911,واللي يصدق يصدق بقا 😑🤍#انس_حسن_البرقي,6932222513355965446,﮼القارئ,"قارئ قران + محب للشعر 
الفيسبوك👇🏻الانستاغرام ( للاعلانات ) + يوتيوب ☝🏻",0,False,https://www.tiktok.com/@anas_h_m_b/video/7099224060990688514?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099224060990688514&source=h5_m,6194045,9271,8970,16541,838873,7099224043131325185,7099224043131325185,72,7099224043131325185,original sound - anas_h_m_b,﮼القارئ,6.932222513355965e+18,﮼القارئ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099223971002862337.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/01060a7ba3ed69d885082cc2d5205676.json,False,False,,,,,[],0,0,Egypt,#انس_حسن_البرقي,0,0,0,0,0,0,0,0,0,0
1,EG,7096223191231679750,1652218219,#foryoupage #fypシ #fyp #foryou,6872823774376772610,احمد داش,احمد داش,0,False,https://www.tiktok.com/@g_.le/video/7096223191231679750?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096223191231679750&source=h5_m,7244185,1567,7838,147042,515912,6594054734833781509,6594054734833781509,72,6594054734833781509,تعيش وتشوف (Contains music from: قالك تعيش هتشوف - عمر ميمى & عصام صاصا),"Contains music from: ""قالك تعيش هتشوف""",6.57809923165066e+18,NoOr EL-DiN🖤,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1609876644110341.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f4177802ca320f514dbbd3e50d6a176f.json,False,False,عمر ميمى & عصام صاصا,قالك تعيش هتشوف,تعيش وتشوف (Contains music from: قالك تعيش هتشوف - عمر ميمى & عصام صاصا),"Contains music from: ""قالك تعيش هتشوف""",[],0,0,Egypt,#foryoupage #fypシ #fyp #foryou,0,0,1,1,1,1,0,0,0,0
2,TR,7097604627964759297,1652539856,😜,6893911148362990597,Aziza,sh.aziza97@gmail.com,0,False,https://www.tiktok.com/@mynameisaziza/video/7097604627964759297?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097604627964759297&source=h5_m,6064565,1881,5050,1141,251957,6940204276304071429,6940204276304071429,72,6940204276304071429,original sound - weddings_worldwide (Contains music from: Darbouka With Sagaat - Wael El-Mahallawy),"Contains music from: ""Darbouka With Sagaat""",6.930206110020634e+18,Weddings/dress,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6940204569909529350.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dcc24795ec966026dec62b744a3d7712.json,False,False,Wael El-Mahallawy,Darbouka With Sagaat,original sound - weddings_worldwide (Contains music from: Darbouka With Sagaat - Wael El-Mahallawy),"Contains music from: ""Darbouka With Sagaat""",[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
3,TR,7101303054896598273,1653400963,Kamera arkası çekeyim derken haber çıkıyordu bana… Düşen arkadaşa üzülemedim gülmekten 😂,6615625122731278341,erkanbasyigit,"Show Tv Haber Kameramanı
Akhisar / Manisa
İnstagram/erkanbasyigit",0,False,https://www.tiktok.com/@erkanbasyigit/video/7101303054896598273?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101303054896598273&source=h5_m,8905775,3741,9802,12854,121273,7101303052719639297,7101303052719639297,72,7101303052719639297,original sound - erkanbasyigit,erkanbasyigit,6.615625122731278e+18,erkanbasyigit,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101303047711640321.mp3,,False,False,,,,,[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
4,GB,7099425787614350597,1652963878,Okay 💀#fypシ゚viral #pourtoi #reaction #foryoupage #fyp #viral #mrkebs24 #funny #viral,6646050010156105733,Itsyourboymrkebs,"Say nothin 
Vid/creator 
Youtb:istyourboymrkebs
IG: Keliank24 
🤴🏽",0,False,https://www.tiktok.com/@officialmrkebs24/video/7099425787614350597?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099425787614350597&source=h5_m,4003893,1082,1017,1764,150168,7085901918052174598,7085901918052174598,72,7085901918052174598,Lifehack (Contains music from: HOME ALONE SHITTY FLUTE - Harold Flute),"Contains music from: ""HOME ALONE SHITTY FLUTE""",6.646050010156106e+18,Itsyourboymrkebs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085901918744234758.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f7a328244accfcdc9c571b108253ff71.json,False,False,Harold Flute,HOME ALONE SHITTY FLUTE,Lifehack (Contains music from: HOME ALONE SHITTY FLUTE - Harold Flute),"Contains music from: ""HOME ALONE SHITTY FLUTE""",[],0,0,Egypt,#fypシ゚viral #pourtoi #reaction #foryoupage #fyp #viral #mrkebs24 #funny #viral,0,0,0,1,1,1,0,0,3,0
5,EG,7102153462141553925,1653598964,#دنيا_سامي @engykamal55,6793066475105731590,donia samii🥁,تابعوني على انستجرام❤️,0,False,https://www.tiktok.com/@doniasamii/video/7102153462141553925?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102153462141553925&source=h5_m,1978640,244,347,1488,88017,7102153450875587333,7102153450875587333,72,7102153450875587333,original sound - doniasamii,donia samii🥁,6.793066475105732e+18,donia samii🥁,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102153463684926214.mp3,,False,False,,,,,[],0,0,Egypt,#دنيا_سامي,0,0,0,0,0,0,0,0,0,0
6,AE,7096453901460851969,1652271931,#duet with @robesonzimmermanxdq9697 😍#ramroomfatooh,6762178823754793990,Reema🇦🇪ريما,"📍Abu Dhabi 🇦🇪
reema.sarhan92@gmail.com
تعالوا انستجرام 🔥 برد عالخاص 😍",0,False,https://www.tiktok.com/@ramroomfatooh/video/7096453901460851969?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096453901460851969&source=h5_m,5167606,412,369,978,99361,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,Egypt,#duet #ramroomfatooh,1,0,0,0,0,0,0,0,0,0
7,AU,7102033244131986690,1653570972,🇺🇸 MONEY LOL >:))))) ib: @Katusha,6896067169823654913,Beccy,Hello… it is I,0,False,https://www.tiktok.com/@kandiesz/video/7102033244131986690?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102033244131986690&source=h5_m,12687432,19497,15807,910,1891665,7092395731911215878,7092395731911215878,72,7092395731911215878,i wanna i wanna ridee,quentin’,7.091964324415948e+18,quentin’,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092395735131360006.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/51c18e4eedd89224941c3d0f95076293.json,False,False,,,,,[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
0,EG,7101094670708542725,1653352445,😂😂#الام_المصرية 😂😂❤️❤️#emyebied  #foryoupage,6805182428711388166,Emy Ebied,"Be Nice Or Go Away👋Stay Classy⭐
Play🎬🎭Laugh😂& Learn👩‍🏫
Mom&Wife👨‍👩‍👧‍👧",0,False,https://m.tiktok.com/v/7101094670708542725.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101094670708542725&source=h5_m,782224,176,243,604,32987,7099505227410328325,7099505227410328325,72,7099505227410328325,original sound - gunzzi,Gunz Zzi,3.197382439423181e+17,Gunz Zzi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099505218030799622.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6006da87ef00b98c7fb7d83bf3e8c546.json,False,False,,,,,[],0,0,Egypt,#الام_المصرية #emyebied #foryoupage,0,0,0,1,0,0,0,0,0,0
