,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_satisfying,hash_trending,hash_viral,hash_xyzbca
7,GB,7101852134215322886,1653528807,Really freaked me out🥺 #kitten #catsoftiktok #kittensoftiktok #foryoupagethis #fyp,7084170450393957382,mryaho,"I will invest the money I make into the cat I rescued
Thank you all🥺
⬇️⬇️⬇️",0,False,https://www.tiktok.com/@mryaho/video/7101852134215322886?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101852134215322886&source=h5_m,19899255,28837,45840,74862,4011716,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,"Bonaire, Sint Eustatius and Saba",#kitten #catsoftiktok #kittensoftiktok #foryoupagethis #fyp,0,0,0,0,1,0,0,0,0,0
0,JP,7102735642353814786,1653734512,撮った映像は次アップします♫#映像で遊ぼう #tiktok教室 #コンラッド東京 #鉄板,6628843158476455937,ぞのさんっ,"スマホと360カメラの人
インスタもフォローしてね♫
↓",0,False,https://www.tiktok.com/@zono.sann/video/7102735642353814786?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102735642353814786&source=h5_m,4409965,579,166,767,331332,7080380129284754218,7080380129284754218,72,7080380129284754218,Worlds Smallest Violin by AJR,c!tubbo apologist,6.888078385390994e+18,c!tubbo apologist,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7080380136289340203.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/bfb04e89ca29ef15664476984c5e6494.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#映像で遊ぼう #tiktok教室 #コンラッド東京 #鉄板,0,0,0,0,0,0,0,0,0,0
1,US,7074026421345062186,1647050125,Help me find Maura!  #mauramurray #mauratok #unsolvedmysteries #truecrime #missingperson #fyp #boston #crimetiktok #coldcase www.mauramurraymissing.org,6961891271338689542,Julie Murray,"Sister, advocate for Maura missing since 2/9/04.",0,False,https://www.tiktok.com/@mauramurraymissing/video/7074026421345062186?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074026421345062186&source=h5_m,2480119,1692,1448,711,158726,7029374973764520710,7029374973764520710,10036,7029374973764520710,Sail,AWOLNATION,,,False,False,,https://sf16-music-sign.tiktokcdn.com/obj/tos-useast2a-v-2774/1127240ad66a462893b9432750ac7865?x-expires=1653914281&x-signature=KyyEYXNaaRllFIdj12iyMC2%2Bz%2Fw%3D,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1555208311', 'external_song_key': 'apple_song_id'}]",0,0,"Bonaire, Sint Eustatius and Saba",#mauramurray #mauratok #unsolvedmysteries #truecrime #missingperson #fyp #boston #crimetiktok #coldcase,0,0,0,0,1,0,0,0,0,0
2,US,7070251795003493678,1646171277,Reply to @scottkress_  the end result omg 😳😱 #makeup #contour #fyp,6846113334393521157,Sydney Morgan,"Actor/Model/Makeup Artist
Snap: Sydney.m0rgan
sydmorganmgmt@gmail.com",0,False,https://www.tiktok.com/@sydney_art/video/7070251795003493678?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070251795003493678&source=h5_m,11784933,4990,1929,4443,1605656,6708008838341135110,6708008838341135110,72,6708008838341135110,sailorj contouring 101 on youtube,skeet,17427948.0,skeet,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1637702278328341.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b692ed657b29d024a9ffafa90d55bc18.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#makeup #contour #fyp,0,0,0,0,1,0,0,0,0,0
3,GB,7101390872431824134,1653421409,Reply to @bills.bussy now you know! #zipworld #ziptok #zipline #Wales #welshtiktok #themepark #uk #fyp,6577053250028961797,Zip World | Adventures,"Official Zip World account
#ZipTok
18 adventures, 4 locations 
📍Wales UK",2,False,https://www.tiktok.com/@zipworld/video/7101390872431824134?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101390872431824134&source=h5_m,3261088,751,483,638,211131,7082463782336858886,7082463782336858886,72,7082463782336858886,original sound - lanascinnamongirls,<3,1.634818430136238e+17,<3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082463806730930950.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/440961b3551c85b095764ade8342fe67.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#zipworld #ziptok #zipline #Wales #welshtiktok #themepark #uk #fyp,0,0,0,0,1,0,0,0,0,0
4,GB,7080560071582682374,1648571359,Playing Montero by ear @lil nas x #montero #callmebyyourname #fyp #perfectpitchinpublic,6920597676569560065,giannicanettimusic,"Enquiries: contact@giannicanetti.com
Check out my music
⤵️⤵️⤵️⤵️⤵️",0,False,https://www.tiktok.com/@giannicanettimusic/video/7080560071582682374?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080560071582682374&source=h5_m,1625834,907,539,2656,289304,6942551356402042881,6942551356402042881,10033,6942551356402042881,MONTERO (Call Me By Your Name),Lil Nas X,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/16de9eceafd84427ba9a7daffdf43622,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9d353aeb05f440db8e833f8dac74773,False,True,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#montero #callmebyyourname #fyp #perfectpitchinpublic,0,0,0,0,1,0,0,0,0,0
5,GB,7100244415825874182,1653154479,A few people recommended this so I gave it a go 🥰 loving these little experiments on my journey !!! #stammer#girlwithstammer#starbucksdrivethru#mimidarlingbeauty,6984773804435178501,mimidarlingbeauty,"🦋 That Welsh girl Jessie with a STAMMER 🦋
.
Management 💗 Kath@wearesn.com",0,False,https://www.tiktok.com/@mimidarlingbeauty/video/7100244415825874182?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100244415825874182&source=h5_m,23088319,28833,3540,160,4187079,7019714357059881733,7019714357059881733,10036,7019714357059881733,Cornfield Chase,Dorian Marko,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ef06dadaafdf4ebda4ff453f6f400696,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/b4e216688fcf45cb85d82adf0e19ee54,True,True,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#stammer#girlwithstammer#starbucksdrivethru#mimidarlingbeauty,0,0,0,0,0,0,0,0,0,0
6,PH,7103049480135527706,1653807583,Double sided tape #doublesidedtape #fyp #foryourpage #tiktokshopbudol #ph,6683850908991210497,Terpe Shop,All item onhand !,0,False,https://www.tiktok.com/@terpeshop/video/7103049480135527706?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103049480135527706&source=h5_m,629,0,0,0,10,6693354155173481218,6693354155173481218,141,6693354155173481218,Future,Official Sound Studio,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8e3a772c9d09405ebaa35e0ac4a0dfbc,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/364be0ac028a45a384d2e402795942dc,False,True,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#doublesidedtape #fyp #foryourpage #tiktokshopbudol #ph,0,0,0,0,1,0,0,0,0,0
7,US,7081147622848859438,1648708162,Our bedtime routine 🌙 Nothing is more comforting than settling down for the night and puppy cuddles after a long day. They just make everything better ❤️,6804576160547292165,weslythecorgi,"Corgi brothers + their mama
Scottsdale, Arizona
Weslythecorgi@yahoo.com",0,False,https://www.tiktok.com/@weslyandbrady/video/7081147622848859438?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081147622848859438&source=h5_m,23633767,41424,62128,75011,5102909,6982540981925054466,6982540981925054466,10033,6982540981925054466,Ontario - Slowed,Novo Amor & Ed Tullett & Lowswimmer,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2515f677a41840c9a43c50e912d9484f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f96e23f840f64a3c8f8bd02c6641da06,False,True,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
0,US,7073903764536659246,1647021567,Another 🅿️ool ready to go! Who’s next?! #fypシ゚viral #LearnOnTikTok #poolcleaning #oddlysatisfying #asmr #pooltok,6779731137817936902,LoskiDaBroski,"Get Ya 🅿️ool Proper w ThePoolDr
Owner of Oak City Pools & Spas
Father of 2🫶🏾",0,False,https://www.tiktok.com/@thepooldr/video/7073903764536659246?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073903764536659246&source=h5_m,8039190,1290,391,1169,738333,7073903727660387118,7073903727660387118,72,7073903727660387118,original sound - thepooldr,LoskiDaBroski,6.779731137817937e+18,LoskiDaBroski,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073903767711730478.mp3,,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#fypシ゚viral #LearnOnTikTok #poolcleaning #oddlysatisfying #asmr #pooltok,1,0,0,0,0,1,0,0,1,0
1,DE,7097597528337681669,1652538203,#groxmc #tb_donotlaugh #trydonotlaugh #thenewxp,6980329610278847493,tb_offical13,Bin einfach so 😏,0,False,https://www.tiktok.com/@tb_offical13/video/7097597528337681669?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097597528337681669&source=h5_m,4230890,6739,10922,303,450250,7097597515612048134,7097597515612048134,72,7097597515612048134,original sound - tb_offical13,tb_offical13,6.980329610278847e+18,tb_offical13,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097597507470936838.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d434b498f9f88135d76c4ff58b5784e0.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#groxmc #tb_donotlaugh #trydonotlaugh #thenewxp,0,0,0,0,0,0,0,0,0,0
2,US,7101963192028368171,1653554667,#flowerarrangement #flowerdesign #foryoupage #fypシ,7015112153229673477,arrangeflowers,"with flowers,life is more interesting ❤️",0,False,https://www.tiktok.com/@arrangeflowers/video/7101963192028368171?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101963192028368171&source=h5_m,9918810,825,2856,4753,1540802,7081404214387148802,7081404214387148802,10033,7081404214387148802,As It Was,Harry Styles,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e699783897654046896f169cb2309b7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/616d44d29c8948ee81c935f5ad1ae371,False,True,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#flowerarrangement #flowerdesign #foryoupage #fypシ,0,0,1,0,0,1,0,0,0,0
3,US,7086454184735821102,1649943691,Lava vs Glass! Suggest stuff for me to react to in my Twitter DMs! #foryoupage #reacts #lava #cool #relayts #fy #fypage,7085173301392180270,RelayReacts,"RelayTS on Twitch 💜
✉️ info@relaystudios.com
36k/50k legends 👑
⬇️Dice Dreams⬇️",0,False,https://www.tiktok.com/@relayreacts/video/7086454184735821102?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086454184735821102&source=h5_m,19976029,1470,1967,2309,1557172,7086454123607984939,7086454123607984939,72,7086454123607984939,original sound - relayreacts,RelayReacts,7.08517330139218e+18,RelayReacts,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7086454179371174698.mp3,,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#foryoupage #reacts #lava #cool #relayts #fy #fypage,0,0,1,0,0,0,0,0,0,0
4,US,7101018373735173422,1653334679,Must watch haircut transformation 🥶 #fyp #fypシ,6738841287141032965,sami2fresh,"🇮🇶
Celebrity barber💈
SEATTLE
IG & SC @sami2fresh
Book me for a haircut 👇🏼",0,False,https://www.tiktok.com/@barber2fresh/video/7101018373735173422?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101018373735173422&source=h5_m,6477505,1174,2146,3770,364374,6705026487168272386,6705026487168272386,10033,6705026487168272386,Tuesday (feat. Danelle Sandoval),Burak Yeter,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/be8143500c0748fe86dc4e9e59713fb0,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/1e6087dcf2474b3faaecc241f69c3cec,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1145639638', 'external_song_key': 'apple_song_id'}]",0,0,"Bonaire, Sint Eustatius and Saba",#fyp #fypシ,0,0,0,0,1,1,0,0,0,0
5,VN,7103199901776956698,1653842606,Ngon đấy nhể 🌚 #realworld #animefan #anime #animetiktok #animeedit #📚gotoubun_no_hanayome📚 #🔮Aryya_team👑 #xuhuong #xhuongtiktok #spyxfamily #cosplay #flop,6967660103986136066,𝐆𝐥𝐢𝐦𝐏𝐬𝐞❦,"Làm cho vui, chả ham hố 🌚🌚",0,False,https://www.tiktok.com/@glimpsevel/video/7103199901776956698?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103199901776956698&source=h5_m,156545,94,48,70,6521,7103199884815420186,7103199884815420186,24,7103199884815420186,original sound - glimpsevel,𝐆𝐥𝐢𝐦𝐏𝐬𝐞❦,6.967660103986136e+18,𝐆𝐥𝐢𝐦𝐏𝐬𝐞❦,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7103199907938388762.mp3,,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#realworld #animefan #anime #animetiktok #animeedit #📚gotoubun_no_hanayome📚 #🔮Aryya_team👑 #xuhuong #xhuongtiktok #spyxfamily #cosplay #flop,0,0,0,0,0,0,0,0,0,0
6,US,7102884162389986602,1653769094,Reply to @cardblackjazz.worldmaker Still trying to find it. #foryou,6620558772857323526,Maddzak,"🚨 I go live every hour 🚨
MaddzakBusiness@gmail.com",0,False,https://www.tiktok.com/@maddzak/video/7102884162389986602?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102884162389986602&source=h5_m,1005259,1988,41,59,74179,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,"Bonaire, Sint Eustatius and Saba",#foryou,0,1,0,0,0,0,0,0,0,0
7,SE,7097369141660634373,1652485028,My grandparents draw my next tattoo!  #fyp #foryou #sverige #tattoo #grandparents #drawtattoo #surprise #family,6805975329577337862,Liljegren,😝,0,False,https://www.tiktok.com/@linaliljegrenn/video/7097369141660634373?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097369141660634373&source=h5_m,9254200,845,1451,2388,949618,7063137559592831016,7063137559592831016,10033,7063137559592831016,"Happy Positive Ukulele - 3 Minutes (Upbeat, Background, Corporate)",MPmedia,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1dd79d17bb534852958fce4fea95213f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/6eca385a512a4ded9ed8ad0323b75f1f,False,True,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#fyp #foryou #sverige #tattoo #grandparents #drawtattoo #surprise #family,0,1,0,0,1,0,0,0,0,0
0,US,7100653220980182318,1653249660,Men like spa days too ladies😌 @austinmichaelus #katespadenycabana #FrunktheBeat #couple,6677003960706597893,JaneaElizabeth,"Janea 
✨but forest gump style✨
JaneaLarriviere77@gmail.com",0,False,https://www.tiktok.com/@janeaelizabethh/video/7100653220980182318?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100653220980182318&source=h5_m,450614,198,568,178,22320,6796126109965502465,6796126109965502465,10033,6796126109965502465,You Got It,Vedo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f0157c7a77084f1397e175b9aeea6df6,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/5620058804534fb380b8f0ff2b0f7349,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1501268772', 'external_song_key': 'apple_song_id'}]",0,0,"Bonaire, Sint Eustatius and Saba",#katespadenycabana #FrunktheBeat #couple,0,0,0,0,0,0,0,0,0,0
1,FR,7093764714328640773,1651645810, ,6915503796451116037,Boss Dmh GTAV,follow ma intagramme ❤,0,False,https://www.tiktok.com/@gtav_funny17/video/7093764714328640773?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093764714328640773&source=h5_m,19580438,5515,1609,417,912250,7093764641779747590,7093764641779747590,72,7093764641779747590,original sound - gtav_funny17,Boss Dmh GTAV,6.915503796451116e+18,Boss Dmh GTAV,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093764643184790278.mp3,,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
2,US,7100564400805039406,1653228981,Part 1#finefood #satisfying #storytime #foryou,7088894513088103466,ehwtfi,Us,0,False,https://www.tiktok.com/@ehwtfi/video/7100564400805039406?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100564400805039406&source=h5_m,870750,302,151,221,51692,7063889331760515887,7063889331760515887,72,7063889331760515887,original sound - llove_lola,llove_lola,6.794903756750554e+18,llove_lola,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7063889338966215470.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/8a38c0738a1c4d54e4a491c8576fa49d.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#finefood #satisfying #storytime #foryou,0,1,0,0,0,0,1,0,0,0
3,DE,7074604286600105217,1647184671,funny😂#fouyou #relax #shoes,6748086027107795973,dk940,"hhhhh
wish everyone has a great life
and be happy everyday",0,False,https://www.tiktok.com/@dl940/video/7074604286600105217?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074604286600105217&source=h5_m,11772192,5918,2895,759,1523440,7074604304971139842,7074604304971139842,72,7074604304971139842,original sound - dl940,dk940,6.748086027107796e+18,dk940,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7074604290739931905.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f63f830be29026a25534341913e2de8c.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#fouyou #relax #shoes,0,0,0,0,0,0,0,0,0,0
4,US,7102923672100408618,1653778291,I got your back bestie,1033212,Davante Wilson,"PO Box 811278
Los Angeles, CA
90081
Biz: hello@thegoldstudios.com
👇🏽 Merch👇🏽",0,False,https://www.tiktok.com/@iamdavante/video/7102923672100408618?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102923672100408618&source=h5_m,537500,3322,2646,2136,107674,7102923627594615595,7102923627594615595,72,7102923627594615595,original sound - iamdavante,Davante Wilson,1033212.0,Davante Wilson,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102923664303213358.mp3,,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
5,US,7093620870467407150,1651612315,Okaaayy🤣 #fyp #foryou #funnyvideos #trendingvideos,6767858577681679365,Gabrielle Nevaeh,"Catch me on Nickelodeon & Netflix🤩
CLICK THE LINK TO STREAM “IM ON IT”🔥
⬇️",0,False,https://www.tiktok.com/@gabriellenevaeh/video/7093620870467407150?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093620870467407150&source=h5_m,77126,362,20,55,9345,6949564316492368646,6949564316492368646,72,6949564316492368646,original sound - deecheree_,Dee Cheree,6.916941598774183e+18,Dee Cheree,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6949564406611544838.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/627a0ee7a64a57960bb63a00d16c18eb.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#fyp #foryou #funnyvideos #trendingvideos,0,1,0,0,1,0,0,0,0,0
6,US,7078513946625379627,1648094959,@Micaela Gil 😂😂😂#fyp #foryou,6570487460932681734,Girl That’s Eli 🥴,"Girl I’m Eli😏 With the faces 
IG is @eli_unique_ 📸 
Yt channel below⬇️",0,False,https://www.tiktok.com/@eli_unique_/video/7078513946625379627?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078513946625379627&source=h5_m,536885,203,96,92,55769,7054385364341263150,7054385364341263150,72,7054385364341263150,_itskristina X Shoddy X Robb (Contains music from: Enemy - from the series Arcane League of Legends - Imagine Dragons & JID & Arcane & League Of Legends),"Contains music from: ""Enemy - from the series Arcane League of Legends""",6.808449898884531e+18,Iamshoddyshod,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7054385390538656559.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cf8ed6ca34e04e837349b8cb4ce92023.json,False,False,Imagine Dragons & JID & Arcane & League Of Legends,Enemy - from the series Arcane League of Legends,_itskristina X Shoddy X Robb (Contains music from: Enemy - from the series Arcane League of Legends - Imagine Dragons & JID & Arcane & League Of Legends),"Contains music from: ""Enemy - from the series Arcane League of Legends""",[],0,0,"Bonaire, Sint Eustatius and Saba",#fyp #foryou,0,1,0,0,1,0,0,0,0,0
7,DE,7101256196618718469,1653390053,Good morning ❤️‍🔥 | In sta: @casuphil,6807385568914457605,phil,"Hola ❤️‍🔥 Insta: @casuphil
philipp@enkime.de",0,False,https://www.tiktok.com/@casuphil/video/7101256196618718469?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101256196618718469&source=h5_m,7229715,8391,2409,150,891921,7075033522712464134,7075033522712464134,72,7075033522712464134,original sound - lanasmonkeys,Liveforlana_,6.983311437565855e+18,Liveforlana_,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7075033531298122502.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7eee79b2dcf4720ae2d4758bbc6ac9d0.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
0,US,7073272152736386350,1646874508,How To Win The Claw Machine Everytime 😧 #clawmachine #arcade #clawmachinehack #viral,6748299094689645574,TYE ARCADE,"#1 Claw Machine Player On TikTok 🕹
📧 tyearcade@tyemedia.co
Click The Link ⬇️",0,False,https://www.tiktok.com/@tye_arcade/video/7073272152736386350?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073272152736386350&source=h5_m,12142498,2010,54817,84898,454961,7073272121639750446,7073272121639750446,72,7073272121639750446,original sound - tye_arcade,TYE ARCADE,6.748299094689646e+18,TYE ARCADE,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073272147653036843.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/979dc589737365c1d5e421215bae8f9a.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#clawmachine #arcade #clawmachinehack #viral,0,0,0,0,0,0,0,0,1,0
1,GB,7099173126717721861,1652905051, ,6590987071854526470,A1234,Hooman to - @nalathemalamutex,0,False,https://www.tiktok.com/@abbiemcg95xx/video/7099173126717721861?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099173126717721861&source=h5_m,27930649,45181,247848,102072,6637260,7099173118517840645,7099173118517840645,72,7099173118517840645,original sound - abbiemcg95xx,A1234,6.590987071854526e+18,A1234,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099173123224079109.mp3,,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
2,US,7072511623855869227,1646697434,Guess where he’s sleeping tonight 😤 #couplecomedy #fyp #couple,93160285879824384,Andy & Michelle,"Follow us on IG 
🇰🇷🇨🇳

Twitter:RealAndyy",0,False,https://www.tiktok.com/@andy.and.michelle/video/7072511623855869227?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072511623855869227&source=h5_m,15263336,8893,18836,15048,2047983,7072511616872434478,7072511616872434478,72,7072511616872434478,original sound - andy.and.michelle,Andy & Michelle,9.316028587982438e+16,Andy & Michelle,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072511630713604907.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/76781e9b094de38894a2f93da15e5295.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#couplecomedy #fyp #couple,0,0,0,0,1,0,0,0,0,0
