,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_goviral,hash_tiktok,hash_trending,hash_viral
2,NG,7093781766787337478,1651649780,A quick conversation with My husband’s Sidechick #MadamGold,6694878425385583622,StevenChuks,"Actor, Content creator|| Follow me on Instagram 
IG/Twitter : @Stevechuks_",0,False,https://www.tiktok.com/@stevenchuks/video/7093781766787337478?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093781766787337478&source=h5_m,239853,711,1667,3320,16830,7093781795493219077,7093781795493219077,72,7093781795493219077,original sound - stevenchuks,StevenChuks,6.694878425385584e+18,StevenChuks,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093781765881350917.mp3,,False,False,,,,,[],0,0,Equatorial Guinea,#MadamGold,0,0,0,0,0,0,0,0,0,0
3,DE,7100129627871530246,1653127755, ,6914663297137411074,Flashboy911,House of comedy 🎭,0,False,https://www.tiktok.com/@flashboy911/video/7100129627871530246?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100129627871530246&source=h5_m,623412,445,1645,800,38898,7100129609005550341,7100129609005550341,72,7100129609005550341,original sound - flashboy911,Flashboy911,6.914663297137411e+18,Flashboy911,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100129644485069574.mp3,,False,False,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
4,US,7101413191120604462,1653426605,Tenia que hacerlo con mi esposo @mariohbouza,6520534329431430144,Pollito Tropical,Sígueme en Instagram ⬆️ 🐤,0,False,https://www.tiktok.com/@pollitotropical/video/7101413191120604462?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101413191120604462&source=h5_m,2178765,434,469,830,84954,7087744357444471557,7087744357444471557,10036,7087744357444471557,Gogo Dance,El Alfa & Chael Produciendo,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6877039427674a0699970fc9520959ab,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/81ec85a194e74eb28259e0335a98b13f,False,True,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
5,NG,7085720566476344582,1649772881,#war #dontbeaboringwife #girlfriend,6707711898941473797,I_am_tjan,"🇳🇬 
GOD first 🤍
African
Very DYNAMIC 
Follow my Instagram @i_am_tjan",0,False,https://www.tiktok.com/@i_am_tjan/video/7085720566476344582?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085720566476344582&source=h5_m,2701266,9009,16015,69033,336985,7080812797919054598,7080812797919054598,72,7080812797919054598,Amapiano Beat 2K (Contains music from: Mamas Love - TheologyHD),"Contains music from: ""Mamas Love""",6.85834940781016e+18,Theology HD,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080812806185945862.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2b79cdc06b88524df68e29869ab337a2.json,False,False,TheologyHD,Mamas Love,Amapiano Beat 2K (Contains music from: Mamas Love - TheologyHD),"Contains music from: ""Mamas Love""",[],0,0,Equatorial Guinea,#war #dontbeaboringwife #girlfriend,0,0,0,0,0,0,0,0,0,0
6,DE,7097243240327433477,1652455714,Another one 😂🔥#fyp #fürdich #fy,6770280819560711174,noelgoescrazy,"Dancer🇳🇬🇩🇪
God first
Instagram: noelmoves 
📩: noel@labs.management",0,False,https://www.tiktok.com/@noelgoescrazy/video/7097243240327433477?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097243240327433477&source=h5_m,370122,87,33,11,24263,7063109333492140806,7063109333492140806,72,7063109333492140806,Iskaba,Yahooze😕,7.043863493116265e+18,Yahooze😕,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7063109367993780997.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d8280708a0ddcc3b9fbd3409d2d663bc.json,False,False,,,,,[],0,0,Equatorial Guinea,#fyp #fürdich #fy,0,0,0,1,1,0,0,0,0,0
7,KE,7103111014371118341,1653821912,Love 💖,6563469076047200262,@u_994245,,0,False,https://www.tiktok.com/@essywangari5/video/7103111014371118341?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103111014371118341&source=h5_m,1047434,13,240,3158,35528,7103110980896312070,7103110980896312070,72,7103110980896312070,original sound - essywangari5,@u_994245,6.5634690760472e+18,@u_994245,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103110974927833861.mp3,,False,False,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
0,US,7075168398568607018,1647316013, ,7049904382394516486,Speed,,0,False,https://m.tiktok.com/v/7075168398568607018.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075168398568607018&source=h5_m,13092356,31415,107640,114589,2175032,7075168371200756522,7075168371200756522,72,7075168371200756522,original sound - usa.tops,Speed,7.049904382394516e+18,Speed,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075168392466189102.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/48ac944704eed359fc2229e718d3e7a6.json,False,False,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
1,FR,7094666087115033862,1651855673,Reply to @akpos29  #bring #back #memories #freeboik3 #verifymetitiktok #😂😂😂😂 #nigeria #movie #tiktok,6531783002609947663,Freeboik3,"Guys join our WhatsApp group to gain followers, likes DM me directly pawpaw fans",0,False,https://m.tiktok.com/v/7094666087115033862.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094666087115033862&source=h5_m,2182730,1401,16500,6644,150073,7094666091691019014,7094666091691019014,72,7094666091691019014,original sound - freeboik3,Freeboik3,6.531783002609948e+18,Freeboik3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094666100117408518.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6ed18c99d014b7b6a3758d43e4848038.json,False,False,,,,,[],0,0,Equatorial Guinea,#bring #back #memories #freeboik3 #verifymetitiktok #😂😂😂😂 #nigeria #movie #tiktok,0,0,0,0,0,0,0,1,0,0
2,NG,7097685577801190661,1652558703,We global now 😭🌎🇳🇬🔥! Congrats @ebukadikeh & @realspecialnedu . Thank you everyone for the tags. Thank you @WWE,6667993033420226565,Dikeh,"Goal 3M🤩

New Video Out On Our YouTube 👇🏼👇🏼👇🏼",0,False,https://m.tiktok.com/v/7097685577801190661.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097685577801190661&source=h5_m,2749362,1893,1263,20716,314363,7097685577155250950,7097685577155250950,72,7097685577155250950,original sound - iamdikeh,Dikeh,6.667993033420227e+18,Dikeh,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097685575863438085.mp3,,False,False,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
3,DE,7102890176359222534,1653770493,#duet with @emmanuelobinna_30 🥰🥰🥰🥰 #foryou #fyp,6634429422898446341,Rosemary Irubor,"Healthy and fit project 🇳🇬🇩🇪🇪🇺
Visit this link to know more about me
   👇",0,False,https://m.tiktok.com/v/7102890176359222534.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102890176359222534&source=h5_m,323172,683,1535,563,21242,7100867223081847558,7100867223081847558,72,7100867223081847558,original sound - emmanuelobinna_30 (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",6.926558579530335e+18,Emmanuel Obinna410,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100867242467920645.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1e88845ff40027f50389a0a63c32ce6f.json,False,False,Kizz Daniel & Tekno,Buga (Lo Lo Lo),original sound - emmanuelobinna_30 (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",[],0,0,Equatorial Guinea,#duet #foryou #fyp,1,0,0,0,1,0,0,0,0,0
4,US,7080575972541762862,1648575063,god I love slomo dive vids #dive #Summer #UnsealTheMeal,6619698496843694085,emilie hunter,"retired diver/dive coach

dog wish list below :)",0,False,https://m.tiktok.com/v/7080575972541762862.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080575972541762862&source=h5_m,10430876,319,5333,56026,85505,7075534292511689498,7075534292511689498,72,7075534292511689498,Cool for summer x Pony (Contains music from: Pony - Ginuwine),"Contains music from: ""Pony""",6.768412728564254e+18,Kuya Magik,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7075534269686369050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d652b7d2c3a023db6f701ec06bf98baa.json,False,False,Ginuwine,Pony,Cool for summer x Pony (Contains music from: Pony - Ginuwine),"Contains music from: ""Pony""",[],0,0,Equatorial Guinea,#dive #Summer #UnsealTheMeal,0,0,0,0,0,0,0,0,0,0
5,US,7103128354110311723,1653825951,Where’s the twins???!!!! #twins,6532002889286565889,Double Dose Twins,Your favorite twins💋💋,0,False,https://m.tiktok.com/v/7103128354110311723.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103128354110311723&source=h5_m,558965,168,139,858,42655,7087167535048936194,7087167535048936194,72,7087167535048936194,Where's Patreal? (Contains music from: Tony Hawk’s - Miracle),"Contains music from: ""Tony Hawk’s""",7.008437186422359e+18,annas..babe,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7087167528446806786.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d5c40a1cceeaba10d4fe2c5f5289e553.json,False,False,Miracle,Tony Hawk’s,Where's Patreal? (Contains music from: Tony Hawk’s - Miracle),"Contains music from: ""Tony Hawk’s""",[],0,0,Equatorial Guinea,#twins,0,0,0,0,0,0,0,0,0,0
6,GH,7087274670461897989,1650134724,Even God in Heaven knows I’m not the only one😩😂 #emmaifeanyi,6890732833414775814,Emma Ifeanyi,"Welcome to my page🥰
WE ALMOST THERE GUYS😩❤️
A follow 4rm U will make it work🙏",0,False,https://m.tiktok.com/v/7087274670461897989.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087274670461897989&source=h5_m,1684672,5197,1778,17026,198678,7087274659149892357,7087274659149892357,72,7087274659149892357,original sound - emmaifeanyi,Emma Ifeanyi,6.890732833414776e+18,Emma Ifeanyi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087274663075695365.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3b3994a328d81e7ce003540c998758c1.json,False,False,,,,,[],0,0,Equatorial Guinea,#emmaifeanyi,0,0,0,0,0,0,0,0,0,0
7,CA,7088233727293312302,1650358027,#foryou #fyb #funny #toys #baby #cactus #cactustoy,6956157820132721670,Testworldyang,"2M please👆👆👆👆
If you want to buy a toy, click on the link below 👇",0,False,https://m.tiktok.com/v/7088233727293312302.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088233727293312302&source=h5_m,36313122,10076,101285,585539,1813023,7088233528789617454,7088233528789617454,72,7088233528789617454,original sound - testworldyang01,Testworldyang,6.956157820132722e+18,Testworldyang,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7088233657768463150.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/55b0f462f05c6f7aac3c635e3f050eae.json,False,False,,,,,[],0,0,Equatorial Guinea,#foryou #fyb #funny #toys #baby #cactus #cactustoy,1,0,1,0,0,0,0,0,0,0
0,US,7079072514583907630,1648225011,"Or maybe bladder, uterine, or prostate pain, lol #StomachPain #AnatomyClass #ScienceIsCool #AnatomyIsAwesome",6747333168297722886,IOHA,Live class in the lab on June 9th!! Click link below!!,0,False,https://www.tiktok.com/@instituteofhumananatomy/video/7079072514583907630?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079072514583907630&source=h5_m,4243432,1666,5971,9306,185015,7079072451581365038,7079072451581365038,72,7079072451581365038,original sound - instituteofhumananatomy,IOHA,6.747333168297723e+18,IOHA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079072508623735595.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/0bbd1b4a4a3274cb750c7d096e6f2823.json,False,False,,,,,[],0,0,Equatorial Guinea,#StomachPain #AnatomyClass #ScienceIsCool #AnatomyIsAwesome,0,0,0,0,0,0,0,0,0,0
1,ZA,7095083988133350662,1651952973,#bujwalifestyle #southafricatiktok dala what you must do 🔥🥺👌🏽,6924326507087660038,user4835959270456,"bujwa lifestyle one way 🥺👌🏽
IG @BUJWA LYFSTYLE 98",0,False,https://www.tiktok.com/@bujwa_lyfstyle_98/video/7095083988133350662?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095083988133350662&source=h5_m,3636952,318,2442,61456,178143,7071331543641606914,7071331543641606914,72,7071331543641606914,original sound - mightyy_sa,Thandow Mightyy,7.024988693677966e+18,Thandow Mightyy,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7071331543809084161.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ed7cd881645d80033e6997c13342c713.json,False,False,,,,,[],0,0,Equatorial Guinea,#bujwalifestyle #southafricatiktok,0,0,0,0,0,0,0,0,0,0
2,DE,7086969975218457861,1650063782,why it look like THAT😭💅 #rihanna #asaprocky #asap #rumor #baby #fenty #art musicad,6816263266768733189,Julia Gisella,"Insta&YT👆🏻
💌 julia@kyra.com
Join my patreon here☺️👇",0,False,https://www.tiktok.com/@juliagisella/video/7086969975218457861?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086969975218457861&source=h5_m,6970499,4403,2942,748,502470,7057989779849431041,7057989779849431041,10033,7057989779849431041,20s,Bow Anderson,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/827afd9ed3b84c65bba0ef3c9c3ce3ea,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/7abbb09900c04797ae583faf71890cfd,False,True,,,,,[],0,0,Equatorial Guinea,#rihanna #asaprocky #asap #rumor #baby #fenty #art,0,0,0,0,0,0,0,0,0,0
3,US,7100321543724584234,1653172436,Sometimes waiting a little pays off 💍#divorcelawyerdenise #divorceattorney #husbandwife #marriagegoals #lawyersoftiktok #marriageadvice,6897046226220368901,Divorce Lawyer in Florida ⚖️🏝,"Denise Isaacs, Esq
🏝FL Divorce Lawyer
🚫Legal Advice
☎️561-361-8300 To Consult",0,False,https://www.tiktok.com/@divorcelawyerdenise/video/7100321543724584234?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100321543724584234&source=h5_m,4313321,5752,23671,56544,312832,7087744357444471557,7087744357444471557,10036,7087744357444471557,Gogo Dance,El Alfa & Chael Produciendo,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6877039427674a0699970fc9520959ab,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/81ec85a194e74eb28259e0335a98b13f,False,True,,,,,[],0,0,Equatorial Guinea,#divorcelawyerdenise #divorceattorney #husbandwife #marriagegoals #lawyersoftiktok #marriageadvice,0,0,0,0,0,0,0,0,0,0
4,SL,7089171235891940614,1650576304,Been a while I haven’t posted 🔥❤️ first try 😂 I’ll do another one 😌❣️#fyp #foryoupage #trending #viral,6856156184140448773,Jacob Evangelista,"ARTIST❤️ 
Bookings:cribsinternationalltd@gmail.com
ig:@_thetherapist__",0,False,https://www.tiktok.com/@the_therapist/video/7089171235891940614?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089171235891940614&source=h5_m,771177,848,421,5956,89301,7057260084216204037,7057260084216204037,72,7057260084216204037,Gentility sped up (Contains music from: Gentility - melvitto & Wande Coal),"Contains music from: ""Gentility""",6.786231898425738e+18,A💛,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7057260095536712453.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/50968a43ede14ebd998d4f5c3aaedd3d.json,False,False,melvitto & Wande Coal,Gentility,Gentility sped up (Contains music from: Gentility - melvitto & Wande Coal),"Contains music from: ""Gentility""",[],0,0,Equatorial Guinea,#fyp #foryoupage #trending #viral,0,1,0,0,1,0,0,0,1,1
5,US,7093888877798165766,1651674716, ,6895031792576873474,KATIA ZAKARIAN2 Tiktok Fashion,"📧KatiaZakarian@Dressmetour.com
Find me on IG👀🤫
👇🏽SHOP MY OUTFITS HERE😍👇🏽",0,False,https://www.tiktok.com/@katia_zakarian2.0/video/7093888877798165766?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093888877798165766&source=h5_m,623148,268,3458,21558,45142,7028679495838092037,7028679495838092037,72,7028679495838092037,if you hear anything about me challenge,COKEMAN🤪🥤,7.012964944225682e+18,COKEMAN🤪🥤,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7028679588133800710.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6cecda3321816f6b11a155c2137f1a38.json,False,False,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
6,GH,7095854640222326021,1652132405,What’s my name? 😂 #erkuahofficial #fyp #viral #numberone,6679886495132910597,erkuahofficial 🤪,"This is my only account!!!
I’m here to make you smile ☺️
Thank you for 2.7M 🎉",0,False,https://www.tiktok.com/@erkuahofficial/video/7095854640222326021?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095854640222326021&source=h5_m,702815,1020,315,3054,93037,7089373731226684165,7089373731226684165,10036,7089373731226684165,Number One,Dj Consequence & Dj Tarico,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3db9cfb3b37b43bdb93324d82e6c4f43,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a2dfc04f45f04000b060616cd44b2dbc,False,True,,,,,[],0,0,Equatorial Guinea,#erkuahofficial #fyp #viral #numberone,0,0,0,0,1,0,0,0,0,1
7,UG,7103173085628583173,1653836363,😅😅#camilla #fypシ,7006423916747359237,Camilla.Turinawe,Princess Camilla 👑,0,False,https://www.tiktok.com/@camilla.turinawe/video/7103173085628583173?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103173085628583173&source=h5_m,502681,763,438,1907,62396,7087687131858062085,7087687131858062085,72,7087687131858062085,Love of My Life (Marry Me),d_puzzles,6.777888538614875e+18,d_puzzles,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087687136060656389.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fbeaa35201b2294f27917a14f16eebeb.json,False,False,,,,,[],0,0,Equatorial Guinea,#camilla #fypシ,0,0,0,0,0,1,0,0,0,0
0,US,7094055983651212590,1651713621,@SUPERVERSE  @Jack Irving  @Elia Berthoud #backstage #captionthis #artfashion #tentacle #latexsuit,6713374081482507269,AsherLevine,"♾
Fashion Designer | Entrepreneur | Techno Luxe
Los Angeles | New York",0,False,https://www.tiktok.com/@asherlevine/video/7094055983651212590?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094055983651212590&source=h5_m,5366697,742,344,1497,448284,7068354872076618501,7068354872076618501,72,7068354872076618501,original sound - thefunmaster3000 (Contains music from: Beatzin Fofo - WZ Beat),"Contains music from: ""Beatzin Fofo""",6.978587718997919e+18,Meme Fanpage,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7068354884789209862.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/23a2c37145c4818630fb36fe0ebfa8b7.json,False,False,WZ Beat,Beatzin Fofo,original sound - thefunmaster3000 (Contains music from: Beatzin Fofo - WZ Beat),"Contains music from: ""Beatzin Fofo""",[],0,0,Equatorial Guinea,#backstage #captionthis #artfashion #tentacle #latexsuit,0,0,0,0,0,0,0,0,0,0
1,GB,7097995956326518021,1652630968,#police #uk #funny #long #zyxcba #wtf #foryourpage #foryoupage #fypシ #fyp #closeyourrings #new #account #comedy #levelup #viral #video,7067085947880096773,dannyJ,"............go follow my insta ^^^
wcs civils 👷‍♂️👷‍♂️
Libra ⚖️♎️",0,False,https://www.tiktok.com/@dannypukkajj/video/7097995956326518021?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097995956326518021&source=h5_m,7154704,12263,13520,10227,237769,7097995982616480518,7097995982616480518,72,7097995982616480518,original sound - dannypukkajj,dannyJ,7.067085947880097e+18,dannyJ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097995986723375878.mp3,,False,False,,,,,[],0,0,Equatorial Guinea,#police #uk #funny #long #zyxcba #wtf #foryourpage #foryoupage #fypシ #fyp #closeyourrings #new #account #comedy #levelup #viral #video,0,1,1,0,1,1,0,0,0,1
2,GH,7101405048466328837,1653424710,This kid is Crazy ❤️❤️........check her 360🤗,6972106723495347205,Akosua Pomaa655,,0,False,https://www.tiktok.com/@akosuapomaa655/video/7101405048466328837?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101405048466328837&source=h5_m,743887,496,406,2649,47760,7093949567481285381,7093949567481285381,10036,7093949567481285381,Buga (Lo Lo Lo),Kizz Daniel & Tekno,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1e5583a1ea154f6ba01499ffe3936b4a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53a160ccc5714d6c986cc822daeb6ddd,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1621384034', 'external_song_key': 'apple_song_id'}]",0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
3,CA,7085440055866690821,1649707570,This is how we do dishes in our house 😂,6579709122895642629,Anissa Saidi,"Mama of 5🇨🇮 🇮🇷 🇨🇦Mtl
3551 Boul saint-Charles P.OBox 117
Kirkland QC H9H3C4",0,False,https://www.tiktok.com/@anissa.saidi/video/7085440055866690821?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085440055866690821&source=h5_m,7679822,4788,17606,21257,409527,7080258850523269894,7080258850523269894,72,7080258850523269894,original sound - kelvin__silvaa,Kelvin__silvaaa,6.689123624332609e+18,Kelvin__silvaaa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080258849181666054.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/de6bb74bb61350e78bdcd4945eb20b9b.json,False,False,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
4,US,7094593311675026731,1651838729,That's very delicious #tiktokfood #foryou,6940811124900824070,Food maker,Food videos for you,0,False,https://www.tiktok.com/@foodmaker168/video/7094593311675026731?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094593311675026731&source=h5_m,2651568,149,1215,2272,17413,7094593228451810094,7094593228451810094,72,7094593228451810094,original sound - foodmaker168 (Contains music from: 美食配乐 - 宋智敏),"Contains music from: ""美食配乐""",6.940811124900824e+18,Food maker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7094593273926404910.mp3,,False,False,宋智敏,美食配乐,original sound - foodmaker168 (Contains music from: 美食配乐 - 宋智敏),"Contains music from: ""美食配乐""",[],0,0,Equatorial Guinea,#tiktokfood #foryou,1,0,0,0,0,0,0,0,0,0
5,NG,7093606670059785478,1651609009,#BUGA ft TEKNO OUT NOW ‼️‼️LINK IN BIO,6808546376440759301,greatvado,#Buga 🦚- Out now,0,False,https://www.tiktok.com/@greatvado/video/7093606670059785478?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093606670059785478&source=h5_m,4869979,4794,13388,98536,463748,7093606650707282694,7093606650707282694,72,7093606650707282694,original sound - greatvado,greatvado,6.808546376440759e+18,greatvado,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093606665135737605.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c43e30877b161dc5f31d1d64aeeea74b.json,False,False,,,,,[],0,0,Equatorial Guinea,#BUGA,0,0,0,0,0,0,0,0,0,0
6,US,7083291895731965226,1649207411,Let’s play together!!🤣🤣#fpy #tiktok #watersports #exciting #extremesports #cool #lake #sports,7067428698077283375,demetraylord,Nice to meet you !!!!!,0,False,https://www.tiktok.com/@paddleboard33333/video/7083291895731965226?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083291895731965226&source=h5_m,5506464,1804,5570,8735,97493,7083291880494697262,7083291880494697262,72,7083291880494697262,original sound - paddleboard33333,demetraylord,7.067428698077283e+18,demetraylord,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7083291889599777578.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b02327d19780314726518c5fd3cf3254.json,False,False,,,,,[],0,0,Equatorial Guinea,#fpy #tiktok #watersports #exciting #extremesports #cool #lake #sports,0,0,0,0,0,0,0,1,0,0
0,US,7073351118536854826,1646892895,@virginiasanhouse,7012350,KingBach,Tour Dates,0,False,https://m.tiktok.com/v/7073351118536854826.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073351118536854826&source=h5_m,14718542,5812,5693,28205,1739347,7073351062123727662,7073351062123727662,72,7073351062123727662,original sound - kingbach (Contains music from: I'm Stubby - Calicoe),"Contains music from: ""I'm Stubby""",7012350.0,KingBach,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073351102917315370.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6b89b7cf7ea51e3ff9bd83c54ed61101.json,False,False,Calicoe,I'm Stubby,original sound - kingbach (Contains music from: I'm Stubby - Calicoe),"Contains music from: ""I'm Stubby""",[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
