,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_explore,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_tiktok,hash_trending,hash_viral,hash_اكسبلور
5,IQ,7102455809908493570,1653669359,🖤#foryou #_clix_ #fyp,6991955772474868738,Nazha:),Snap.❤️‍🔥vl.kaniel,0,False,https://www.tiktok.com/@_cli.x/video/7102455809908493570?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102455809908493570&source=h5_m,809981,74,227,83,30125,7102455796641975042,7102455796641975042,72,7102455796641975042,original sound - _cli.x,Nazha:),6.991955772474869e+18,Nazha:),False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102455782591007490.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/34615ebb309f3e4a2946fd2ffdbd8849.json,False,False,,,,,[],0,0,Iraq,#foryou #_clix_ #fyp,0,1,0,0,1,0,0,0,0,0
6,IQ,7094291998038887681,1651768576,لە سناپیش لەگەڵم بن 👻 mera_mustafaa 👻,7057073785044665350,MeRan | ﮼میران,هەر پرسیارێکت هەبوو لە سناپ بیکە 👇,0,False,https://www.tiktok.com/@.merann/video/7094291998038887681?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094291998038887681&source=h5_m,551951,206,239,2073,16204,7094291997557508865,7094291997557508865,72,7094291997557508865,original sound - .merann (Contains music from: Paeez - Amin Bani),"Contains music from: ""Paeez""",7.057073785044665e+18,MeRan | ﮼میران,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7094291974009932545.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/68621e9cb2009a7d02f7211d2e2070cc.json,False,False,Amin Bani,Paeez,original sound - .merann (Contains music from: Paeez - Amin Bani),"Contains music from: ""Paeez""",[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
7,DE,7089086881731775750,1650556663,Ups 😬,6687909250595357702,Hakim,"For Collaboration: sadat4343p@hotmail.com
Hakim&Cecil‘s kennlernstory aid YT ⬇️",0,False,https://www.tiktok.com/@hakimslo/video/7089086881731775750?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089086881731775750&source=h5_m,9283695,3368,6756,1546,712618,7038982678271544069,7038982678271544069,10036,7038982678271544069,Sway (Sped Up Version),Michael Bublé,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8d38123e3caf473081c33fe9eb11d06b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f97f2b3227bb4a0eb8dd03c8e1e5c693,False,True,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
0,SA,7091313555085036801,1651075100,الصدفه والفرق 😭😂😂 #الهاشتاقات_للرخوم #expression #أكسبلورررر,6976283681572832257,🎈,لايوجد نص مَعبر.,0,False,https://m.tiktok.com/v/7091313555085036801.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091313555085036801&source=h5_m,6822733,1240,3409,740,106965,7091313539201272578,7091313539201272578,72,7091313539201272578,original sound - 01llt (Contains music from: زلزل رعدها - ناجي بن باصم),"Contains music from: ""زلزل رعدها""",6.976283681572832e+18,🎈,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7091313534134504193.mp3,,False,False,ناجي بن باصم,زلزل رعدها,original sound - 01llt (Contains music from: زلزل رعدها - ناجي بن باصم),"Contains music from: ""زلزل رعدها""",[],0,0,Iraq,#الهاشتاقات_للرخوم #expression #أكسبلورررر,0,0,0,0,0,0,0,0,0,0
1,MA,7103168359541378309,1653835264, ,6753781463176922117,كاميليا♥️,سنابي cfarid394,0,False,https://m.tiktok.com/v/7103168359541378309.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103168359541378309&source=h5_m,1102841,1043,1714,3380,59221,7103168346870270726,7103168346870270726,72,7103168346870270726,original sound - cami1998k,كاميليا♥️,6.753781463176922e+18,كاميليا♥️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103168343876291333.mp3,,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
2,NL,7090904484372598021,1650979858,@Maikel Njil لا تنسوا اللايك و الفولو للبارت تو❤️ #مايكل_نجيل  #تجارب #viral #videoviral #arabtiktok,7090901582636008454,Maikel_Njil2,"حسابي الثاني الاحتياطي❤️💪🏼
فيديو جربت طبخات التيك توك❤️🍔👇🏼",0,False,https://m.tiktok.com/v/7090904484372598021.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090904484372598021&source=h5_m,3332616,394,503,685,58030,6886912570821707777,6886912570821707777,10036,6886912570821707777,Calm LoFi song(882353),S_R,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/741e01d63e664fee9ad4b982b7e1d71d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/5336115c94e5442dab43696e8a41d1d1,True,True,,,,,[],0,0,Iraq,#مايكل_نجيل #تجارب #viral #videoviral #arabtiktok,0,0,0,0,0,0,0,0,1,0
3,CA,7102431502671072517,1653663701,La fin … 🫣😱😂 #tiktokcouple #couplecomedy #humour #couplegoals #marriagehumor,6956884920498045957,Happylifecanada,"CARO & MARTIN 💍
Humour couple ! 🇨🇦
Contact : martin.caro@dulcedo.com",0,False,https://m.tiktok.com/v/7102431502671072517.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102431502671072517&source=h5_m,7084961,4939,10314,21248,267754,7030869625311086594,7030869625311086594,10033,7030869625311086594,Sunroof,Nicky Youre & dazy,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/986dfec9a96747239819231f7dc93931,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a118c1899d5b40d1a5c6c65c307b0e2d,True,True,,,,,[],0,0,Iraq,#tiktokcouple #couplecomedy #humour #couplegoals #marriagehumor,0,0,0,0,0,0,0,0,0,0
4,GB,7083912934560173318,1649352009, ,6761037316855153670,King_Panjshiir,King panjshiir,0,False,https://m.tiktok.com/v/7083912934560173318.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083912934560173318&source=h5_m,71293856,77828,114572,309285,3671647,7083912974364117765,7083912974364117765,72,7083912974364117765,original sound - king_panjshiir,King_Panjshiir,6.761037316855154e+18,King_Panjshiir,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083912983264529157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8e0b9da8cdd20d47a56adfd7ae08fa95.json,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
5,IQ,7093832366027820290,1651661556,حلالكم بدون حقوق اجر لي ولكم + اكتب شيء تؤجر عليه محمد صديق المنشاوي #قران #quran #القران_الكريم,6912141396045775873,ALI | عـلي,"""﴿ لَا تَحۡزَنۡ إِنَّ ٱللَّهَ مَعَنَاۖ ﴾ ""
كُن بَسيطا تكُن أجمل.",0,False,https://m.tiktok.com/v/7093832366027820290.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093832366027820290&source=h5_m,619247,897,2515,6000,58204,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Iraq,#قران #quran #القران_الكريم,0,0,0,0,0,0,0,0,0,0
6,DZ,7101255748272803077,1653389950,#la_nass23,6950964246596174854,Thé Queen 👑,❤️‍🔥❤️‍🩹👑🥺💞,0,False,https://m.tiktok.com/v/7101255748272803077.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101255748272803077&source=h5_m,8278617,0,1043,1433,74006,6880570849863158530,6880570849863158530,72,6880570849863158530,original sound - policejordan911 (Contains music from: موطني - مراد السويطي),"Contains music from: ""موطني""",6.824591763225003e+18,Police _jordan911_,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6880570805034470145.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/157a574cf624e2997ba495c1deeff6d9.json,False,False,مراد السويطي,موطني,original sound - policejordan911 (Contains music from: موطني - مراد السويطي),"Contains music from: ""موطني""",[],0,0,Iraq,#la_nass23,0,0,0,0,0,0,0,0,0,0
7,US,7094664370143120682,1651855273,Reply to @king_pierson,6852884528537977862,Radar,"Welcome to doughtok 
Cutting daily weight request let’s play 😊",0,False,https://m.tiktok.com/v/7094664370143120682.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094664370143120682&source=h5_m,40346722,30094,836,2632,2068974,7094664315206191915,7094664315206191915,72,7094664315206191915,original sound - thedoughdaddy,Radar,6.852884528537978e+18,Radar,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7094664347624000302.mp3,,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
0,DE,7103218623971478789,1653846966,Nur die araber werdens verstehen😂#arabic #lebanon #ahlen,7103093596534916102,vibesandmore1,Like and Follow for more🤪,0,False,https://www.tiktok.com/@vibesandmore1/video/7103218623971478789?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103218623971478789&source=h5_m,1340696,1985,13659,278,60722,7103218624445680390,7103218624445680390,72,7103218624445680390,original sound - vibesandmore1,vibesandmore1,7.103093596534916e+18,vibesandmore1,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103218626736704261.mp3,,False,False,,,,,[],0,0,Iraq,#arabic #lebanon #ahlen,0,0,0,0,0,0,0,0,0,0
1,TR,7086518456757112066,1649958655,BEN SÖYLEDİM HAYRANLIKLA DİNLEDİ😳 #şokedenanlar #keşfetteyizzz #lorilori #قطر #السعودية #الكويت,6770086946842199045,HARUN YILMAZ,"SNAP👉harun3020
İNSTA👉harun72_officall

⬅️ كل يوم بث لايف الساعه ١٢ ليلا❤️🕊➡️",0,False,https://www.tiktok.com/@harun72_officall/video/7086518456757112066?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086518456757112066&source=h5_m,7737613,2540,2198,375,326416,7086518499627043586,7086518499627043586,72,7086518499627043586,original sound - harun72_officall,HARUN YILMAZ,6.770086946842199e+18,HARUN YILMAZ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7086518463333812994.mp3,,False,False,,,,,[],0,0,Iraq,#şokedenanlar #keşfetteyizzz #lorilori #قطر #السعودية #الكويت,0,0,0,0,0,0,0,0,0,0
2,IQ,7103099766283799809,1653819292, ,6663343514884456453,Rudaw,"سناپەکەم ئادد بکەن
✌👍👍🙏↘↙↘↙
🔻🔻🔻
زیاتر لەوێ ببینن",0,False,https://www.tiktok.com/@rudaw..net/video/7103099766283799809?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103099766283799809&source=h5_m,1569178,3,2073,168,64257,7103099772961180417,7103099772961180417,72,7103099772961180417,original sound - rudaw..net,Rudaw,6.663343514884456e+18,Rudaw,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103099752065026817.mp3,,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
3,EG,7103422636876664066,1653894467,💞,7025919639104291845,Ahmad,"الفيديوهات مو ل الي 
بس بحب استخدم
شخصية هذا الشب الهندي
قناتو الانستة 👇👇👇",0,False,https://www.tiktok.com/@a_h._m_.a_d/video/7103422636876664066?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103422636876664066&source=h5_m,2472622,0,264,438,67085,7101335321098980098,7101335321098980098,72,7101335321098980098,original sound - hassnalhamdan123,المهندس البرتغالي. 🦁❤,7.041987381305558e+18,المهندس البرتغالي. 🦁❤,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101335315486362370.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7c1750ac810b738e654c0fd41b5bfaef.json,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
4,QA,7089557563989069057,1650666252,مين أكثر واحد ضحّكم؟ 😂😂😂 #fyp #رمضان,6775167343092237314,Fares & Farouk,"فارس و فاروق 
الموسم الأول من بوليفارد المواهب 🎤❤️
نوصل 4 مليون على تيكتوك؟⬆️😝",0,False,https://www.tiktok.com/@itsdehbi/video/7089557563989069057?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089557563989069057&source=h5_m,45709561,14254,41869,93196,2015936,7089557560935582465,7089557560935582465,72,7089557560935582465,original sound - itsdehbi,Fares & Farouk,6.775167343092237e+18,Fares & Farouk,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7089557505889585922.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3b4824c9c8c2285fe6b636cdf63b5534.json,False,False,,,,,[],0,0,Iraq,#fyp #رمضان,0,0,0,0,1,0,0,0,0,0
5,DE,7090534857293450502,1650893797,بيعرف كلمتين عربي 😆 #amarodelamro #theproandme,6732850816175457286,𝕬𝖒𝖆𝖗𝖔 𝕯𝖊𝖑 𝕬𝖒𝖗𝖔,"Amaro with the professor
امارو و البروفيسور",0,False,https://www.tiktok.com/@amarodelamro/video/7090534857293450502?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090534857293450502&source=h5_m,7025493,4199,8581,720,399530,7090534830055623430,7090534830055623430,72,7090534830055623430,original sound - amarodelamro,𝕬𝖒𝖆𝖗𝖔 𝕯𝖊𝖑 𝕬𝖒𝖗𝖔,6.732850816175457e+18,𝕬𝖒𝖆𝖗𝖔 𝕯𝖊𝖑 𝕬𝖒𝖗𝖔,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7090534842219105029.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e34af94da08c61632ba7a3a0aac15063.json,False,False,,,,,[],0,0,Iraq,#amarodelamro #theproandme,0,0,0,0,0,0,0,0,0,0
6,IQ,7079141825662946561,1648241149,مردم 😂😂@arkan_jm_ براي❤️💜,7060903686646137857,محمد عيماد عبدالله,"تيك توكي فه رمي محمد عيماد عبدالله 



من ليرم 🙂",0,False,https://www.tiktok.com/@mustafa.iraqi10/video/7079141825662946561?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079141825662946561&source=h5_m,2435589,2151,13066,24067,104573,7079141812723550977,7079141812723550977,72,7079141812723550977,original sound - mustafa.iraqi10,محمد عيماد عبدالله,7.060903686646138e+18,محمد عيماد عبدالله,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7079141741382748930.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/49c6c26bfc99d2ec4e69f17650617fa6.json,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
7,LY,7102708583824936198,1653728215,منو يعرف اسم اللاعب😍🤍#team_middle_knights🇱🇾🤍,7041038768921281542,المصمم كـيـيـزا🇮🇹💞,"مشاء الله .🖤
-
FCB BARCA .❤
-
تابعوني أنستا .👆💙",0,False,https://www.tiktok.com/@md.7_xr/video/7102708583824936198?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102708583824936198&source=h5_m,1846556,878,236,1942,74228,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Iraq,#team_middle_knights🇱🇾🤍,0,0,0,0,0,0,0,0,0,0
0,FR,7086398219462216966,1649930661,Elle est grave 😂😂😂😂😂 #kouakromariclyonnais @eloise_nyame @kouakromariclyo11 #fyp #prtoiiii #viral #kouak #kouakromariclyonnais #humours #rires #drolesvideo,6814510983060554757,Romaric,"FOLLOW MY INSTAGRAM 👉 Kouakromaric 
            👻 : Roma225 
PARTENARIAT DM IG",0,False,https://www.tiktok.com/@kouakromariclyonnais/video/7086398219462216966?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086398219462216966&source=h5_m,31602534,5963,60160,26105,372862,6743450452571998982,6743450452571998982,72,6743450452571998982,original sound - mhyar._.2003 (Contains music from: Favourite Girl - Pyrelli),"Contains music from: ""Favourite Girl""",6.635984298343105e+18,Mhyar 2018,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1646485450923046.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6d981b8efcb8daa37502f91228ac192a.json,False,False,Pyrelli,Favourite Girl,original sound - mhyar._.2003 (Contains music from: Favourite Girl - Pyrelli),"Contains music from: ""Favourite Girl""",[],0,0,Iraq,#kouakromariclyonnais #fyp #prtoiiii #viral #kouak #kouakromariclyonnais #humours #rires #drolesvideo,0,0,0,0,1,0,0,0,1,0
1,TR,7095084030592371969,1651952983,Yeşim evden kaçtı ahhahahahaha يشيك هربت من بيت 😭,6576991922571722757,Selin Odabaş,"الأميرة سيلين👑
İnstagram:selinodabass",0,False,https://www.tiktok.com/@selinodabass/video/7095084030592371969?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095084030592371969&source=h5_m,12685680,6251,5964,31420,562054,7095084033574456065,7095084033574456065,72,7095084033574456065,original sound - selinodabass,Selin Odabaş,6.576991922571723e+18,Selin Odabaş,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7095083987969903362.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4b4e84582102c55482e3b7cd5a9300ce.json,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
2,GB,7077457977883512070,1647849098,"Not looking too spruce now a days, part of me worries it will never go down lmfao #doublejawsurgery #jawsurgery #womensrugby",7074919791890531333,Matthew,"MCR📍


MGMT- monica@eminencemanagement.co.uk",0,False,https://www.tiktok.com/@matthew_kenyon/video/7077457977883512070?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077457977883512070&source=h5_m,24645543,2293,1537,2860,468303,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Iraq,#doublejawsurgery #jawsurgery #womensrugby,0,0,0,0,0,0,0,0,0,0
3,TR,7090927517099429121,1650985219,Czn farkıyla yemeğimizin ismi ne olsun?❤️🙈 #cznburak #tiktok,6626035987700531205,cznburak,"En Güzel Bağ Sevgidir🤗❤️
👇NEW VİDEO 👇",0,False,https://www.tiktok.com/@cznburak/video/7090927517099429121?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090927517099429121&source=h5_m,60568277,18860,18547,61551,3014227,6912585058987919361,6912585058987919361,10033,6912585058987919361,Oriental,Arabia Pro,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/68ffeab1a61641f086a4aa28617fa223,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d39c3b47f61c4bed994dcb4226f4f26e,False,True,,,,,[],0,0,Iraq,#cznburak #tiktok,0,0,0,0,0,0,1,0,0,0
4,DZ,7072679039290313986,1646736414, ,6825721258749494278,💔💔💔زهير♥️ الأكريطي💔💔💔,👆💥شكرا لمروركم الرائع الذي زاد من روعة منشوراتنا .💓💓💓💓💓💓💓💓💓💚💛🧡💚👇,0,False,https://www.tiktok.com/@user1708575297561/video/7072679039290313986?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072679039290313986&source=h5_m,18870668,6963,15454,3208,260802,6970692933536303873,6970692933536303873,72,6970692933536303873,original sound - saiideh_saadeh (Contains music from: Ploua - Mihaita Piticu),"Contains music from: ""Ploua""",6.776378471377929e+18,𝙈𝙞𝙨𝙨 𝙎𝙖𝙖𝙙𝙚𝙝 🧸,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6970692978608638722.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ce67414628acc77b54c5f5defdf0e2d7.json,False,False,Mihaita Piticu,Ploua,original sound - saiideh_saadeh (Contains music from: Ploua - Mihaita Piticu),"Contains music from: ""Ploua""",[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
5,IQ,7102139935687216385,1653595813,#ياسر_الدوسري #اکتب_شیء_تؤجر_علية #اكتب_شي_توجر_عليه #اسلام_صبحي #سعد_الغامدي #عبدالرحمن_مسعد #ياسر_الدوسري #🎧🖤 #القارئ #صوت_جميل #القران_الكريم #محمد_صديق_المنشاوي #علي_عبدالسلام_اليوسف #duet #ماهرالمعيقلي #اکتب_شیء_تؤجر_علية #tiktok #fypシ #quran #خالدالجليل #شارك_ولك_الأجر #اكتب_شي_توجر_عليه #foryou #foryou,7073895794771854338,Listening Quran🎧,"[وَٱذْكُر رَّبَّكَ إِذَا نَسِيتَ]
-
And remember your Lord",0,False,https://www.tiktok.com/@.meorn/video/7102139935687216385?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102139935687216385&source=h5_m,439143,1142,7266,1274,81520,6594705208058579718,6594705208058579718,72,6594705208058579718,original sound - أبوعلى5,أبو على,6.57724801934277e+18,أبو على,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1610035451089925.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/889222c46661a7d8415fe2e1fde50c79.json,False,False,,,,,[],0,0,Iraq,#ياسر_الدوسري #اکتب_شیء_تؤجر_علية #اكتب_شي_توجر_عليه #اسلام_صبحي #سعد_الغامدي #عبدالرحمن_مسعد #ياسر_الدوسري #🎧🖤 #القارئ #صوت_جميل #القران_الكريم #محمد_صديق_المنشاوي #علي_عبدالسلام_اليوسف #duet #ماهرالمعيقلي #اکتب_شیء_تؤجر_علية #tiktok #fypシ #quran #خالدالجليل #شارك_ولك_الأجر #اكتب_شي_توجر_عليه #foryou #foryou,0,2,0,0,0,1,1,0,0,0
6,IQ,7082864393322548481,1649107878,#viral ⚠️⚠️⚠️,6868235670097445889,𝙨𝙝𝙚𝙭4,Thanks for 5.7k followers,0,False,https://www.tiktok.com/@x.479m/video/7082864393322548481?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082864393322548481&source=h5_m,1635351,258,1918,304,59923,7082864362616113921,7082864362616113921,72,7082864362616113921,Use This Sound if You Hate Dogs,𝙨𝙝𝙚𝙭4,6.868235670097446e+18,𝙨𝙝𝙚𝙭4,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7082864357171940098.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/07d3648b500ba6fcb8fd4f5bb9c7aa24.json,False,False,,,,,[],0,0,Iraq,#viral,0,0,0,0,0,0,0,0,1,0
7,DE,7090430293437369605,1650869454,Heirate deine Liebe#leben #heiraten #ehe #verlobung #liebe #stolz #ehre #fürimmer #love❤️ #fürdich #foryou #fürdichseite #fyp #viral,6541983355797372938,Emi19942,Schaffen wir die 1M♥️,0,False,https://www.tiktok.com/@elisa21100/video/7090430293437369605?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090430293437369605&source=h5_m,8491851,2627,5916,1017,618315,6868330512474179585,6868330512474179585,10033,6868330512474179585,Aweli,Anka,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a3ac3e303aa4569a2314805704fc717,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0c4a71fddf014603b439a1cec1794f6c,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1530342170', 'external_song_key': 'apple_song_id'}]",0,0,Iraq,#leben #heiraten #ehe #verlobung #liebe #stolz #ehre #fürimmer #love❤️ #fürdich #foryou #fürdichseite #fyp #viral,0,1,0,0,1,0,0,0,1,0
0,TR,7079704114187324673,1648372067,Taslaktan alıp size attım 😊💐 #keşfet,6581137774865383429,Sevki8mine,"Her akşam 22:00 0stabil canlı yayındayım ❤️
بسم الله الرحمن الرحيم
Ortak hesap💐",0,False,https://www.tiktok.com/@sevkidemirtass/video/7079704114187324673?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079704114187324673&source=h5_m,33899776,6321,6827,26230,782010,7073866427589036801,7073866427589036801,10036,7073866427589036801,Samsak Döveci,Elif Buse Doğan,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/af5c7288ac5c4ce4ac349fe06d43d019,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a9d499e150944d01b5a589c2f7465f6f,True,True,,,,,[],0,0,Iraq,#keşfet,0,0,0,0,0,0,0,0,0,0
1,FR,7102790256625323270,1653747229,Sorry #iloveyou #jetaime #foryou #pourtoi #foot #militantisme #chat #chien #animals #france #gouvernement #surf #swim #love,7080469256454226950,Drgame,💋 French kiss 🇫🇷,0,False,https://www.tiktok.com/@b.radmou/video/7102790256625323270?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102790256625323270&source=h5_m,2465959,1383,3318,188,116014,7102790231535487750,7102790231535487750,72,7102790231535487750,original sound - b.radmou,Drgame,7.080469256454227e+18,Drgame,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102790253249940229.mp3,,False,False,,,,,[],0,0,Iraq,#iloveyou #jetaime #foryou #pourtoi #foot #militantisme #chat #chien #animals #france #gouvernement #surf #swim #love,0,1,0,0,0,0,0,0,0,0
