,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_gaming,hash_minecraft,hash_minecraftbuilding,hash_pourtoi,hash_trend,hash_viral
6,MG,7079302577996778758,1648278579, ,6960944338738660358,vache magique Officiel,Bienvenue dans le monde incroyable de bulbul,0,False,https://www.tiktok.com/@vachemagique/video/7079302577996778758?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079302577996778758&source=h5_m,1815,1,2,6,52,7079302553158224646,7079302553158224646,72,7079302553158224646,original sound - vachemagique,vache magique Officiel,6.96094433873866e+18,vache magique Officiel,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079302557679520517.mp3,,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
7,GB,7092792584334036230,1651419465,#kyliejenner #stormi #kardashians #travisscott #bestgift,6797042176535790598,user9049948008646,"There back 
Kardashian family videos and updates 
No copyright intended",0,False,https://www.tiktok.com/@kardashians156/video/7092792584334036230?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092792584334036230&source=h5_m,2227428,173,183,498,119347,7092792558740425478,7092792558740425478,72,7092792558740425478,original sound - kardashians156,user9049948008646,6.797042176535791e+18,user9049948008646,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092792561559685893.mp3,,False,False,[],0,0,,,,,Madagascar,#kyliejenner #stormi #kardashians #travisscott #bestgift,0,0,0,0,0,0,0,0,0,0
0,GB,7095363454957079813,1652018042,Go follow my Instagram - @elliotjamesreay 🙃❤️ #fyp #duet #singing #singingchallenge #sway #michaelbublé #cover #trend @michaelbuble,6551811750432363535,Elliot James Reay,"IG - elliotjamesreay
Promo - elliotjamesreay@gmail.com",0,False,https://m.tiktok.com/v/7095363454957079813.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095363454957079813&source=h5_m,4038857,1103,1301,16045,474753,7095363435990452998,7095363435990452998,72,7095363435990452998,original sound - elliotjamesreay,Elliot James Reay,6.551811750432364e+18,Elliot James Reay,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095363426989460229.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/274a7aec2ccfae56b307d76acd89fb78.json,False,False,[],0,0,,,,,Madagascar,#fyp #duet #singing #singingchallenge #sway #michaelbublé #cover #trend,0,0,1,0,0,0,0,0,1,0
1,US,7101436383352360235,1653432005,"Ngl, had me in the first half @monnxica #couplecomedy #coupletiktok #relationshipgoals #relatable #fyp",6815756943450752005,Dr Cole,"Board certified vein blaster 💉🩸
Couple and healthcare videos",0,False,https://m.tiktok.com/v/7101436383352360235.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101436383352360235&source=h5_m,1884306,1768,7419,7469,162376,6924733501300296453,6924733501300296453,72,6924733501300296453,original sound - jenna.schom,JEN,6.736681559442966e+18,JEN,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6924733537585236742.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/3dc207f0a8653359d0f1c5dcf93cc632.json,False,False,[],0,0,,,,,Madagascar,#couplecomedy #coupletiktok #relationshipgoals #relatable #fyp,0,0,1,0,0,0,0,0,0,0
2,DE,7092758382377028870,1651411501,home #bts,7063524457050817541,m & k,𝐬𝐚𝐯𝐞 𝐩𝐥𝐚𝐜𝐞 💌,0,False,https://m.tiktok.com/v/7092758382377028870.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092758382377028870&source=h5_m,638870,2008,5075,359,266917,7092758368724536070,7092758368724536070,72,7092758368724536070,original sound - taevkookz,m & k,7.063524457050818e+18,m & k,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092758369248873221.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e6fed393f48ac1e3771864bcb8edd089.json,False,False,[],0,0,,,,,Madagascar,#bts,0,0,0,0,0,0,0,0,0,0
3,US,7096561719060925742,1652297034,cap and gown pics!! 👩🏽‍🎓,6683199291399963653,jaya vadapalli,,0,False,https://m.tiktok.com/v/7096561719060925742.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096561719060925742&source=h5_m,3004420,777,2558,111,374650,6811972943984315142,6811972943984315142,72,6811972943984315142,IMMA SHOW YOU HOW TO GRADUATE (Contains music from: Bang Bang - Jessie J & Ariana Grande & Nicki Minaj),"Contains music from: ""Bang Bang""",6.645919983343141e+18,jorge,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1663080303518774.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b1f6339a273760750aaa9c79187c8a2e.json,False,False,[],0,0,Jessie J & Ariana Grande & Nicki Minaj,Bang Bang,IMMA SHOW YOU HOW TO GRADUATE (Contains music from: Bang Bang - Jessie J & Ariana Grande & Nicki Minaj),"Contains music from: ""Bang Bang""",Madagascar,,0,0,0,0,0,0,0,0,0,0
4,PH,7099295589032152346,1652933562,Sino mas bagay kay boy Sandra or Cjay comment na❤️🙈 #mannixfam #mannixmanagement,6908693028521886721,Cjay Babista,"19/🇵🇭
My 1.3M Account was banned!
📩: cjaybabista57@gmail.com
YT: Cjay Babista",0,False,https://m.tiktok.com/v/7099295589032152346.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099295589032152346&source=h5_m,259144,372,43,696,24298,7067924841952758530,7067924841952758530,72,7067924841952758530,despacito trend (Contains music from: Despacito (Spanglish Version) - Viyolin),"Contains music from: ""Despacito (Spanglish Version)""",6.933279750501254e+18,🥂🍾,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7067924809241381633.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6468f400a579f6c101a73b5df885d8a4.json,False,False,[],0,0,Viyolin,Despacito (Spanglish Version),despacito trend (Contains music from: Despacito (Spanglish Version) - Viyolin),"Contains music from: ""Despacito (Spanglish Version)""",Madagascar,#mannixfam #mannixmanagement,0,0,0,0,0,0,0,0,0,0
5,MG,7090548647040978181,1650897008,All Of Your Minecraft Question in one video n'y Alexa Real on YT#fyp #satisfyingvideo #minecraft #curse #meme,7011799037910500358,"Minecraft pixel art,memes",Hi,0,False,https://m.tiktok.com/v/7090548647040978181.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090548647040978181&source=h5_m,53177,20,43,221,1850,6870149887674025991,6870149887674025991,10036,6870149887674025991,Wrap Me In Plastic.（抖音完整版）,歌者凌风&精彩轩迪,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b9aec7d663784cc59f777e8d450a12a7,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e55a900571c14188a30d554271176bd4,False,True,[],0,0,,,,,Madagascar,#fyp #satisfyingvideo #minecraft #curse #meme,0,0,1,0,0,1,0,0,0,0
6,MG,7101707807577115909,1653495202,#0324MYTest,7077513862358631429,arianah320,rianah❤️,0,False,https://m.tiktok.com/v/7101707807577115909.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101707807577115909&source=h5_m,2537,9,3,4,367,6712899612438465286,6712899612438465286,10036,6712899612438465286,Coño (feat. Jhorrmountain x Adje),Puri,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/174e8676789748b2ae618cb7bae1ca18,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0cb21fdace884acd80475a1aeb12e5ac,False,True,[],1662232588115974,0,,,,,Madagascar,#0324MYTest,0,0,0,0,0,0,0,0,0,0
7,ZA,7098570855063588102,1652764827,#fypシ,6696492849981096966,𝓝𝓪𝓼𝓲𝓲 シ,"BE KIND <33
IG- @its.nasii",0,False,https://m.tiktok.com/v/7098570855063588102.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098570855063588102&source=h5_m,97653,294,101,738,9896,7073036425435843354,7073036425435843354,24,7073036425435843354,taehyun is so bf (Contains music from: I Love You - Kwixou),"Contains music from: ""I Love You""",7.060505385828124e+18,amber ✘,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073036415197793050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e274011ed7003c4e9c00460babdda416.json,False,False,[],0,0,Kwixou,I Love You,taehyun is so bf (Contains music from: I Love You - Kwixou),"Contains music from: ""I Love You""",Madagascar,#fypシ,0,0,0,1,0,0,0,0,0,0
0,DE,7090958387864816898,1650992407,prefer the English version. 😅 #german#germany#viral#fy#fyp @b.bennet @chriscurtis_,308147270359822336,fabianxarnold,"🇩🇪 Fashion Model @dtmodelmanagment LA 🇺🇸
german account @fabianxhood",0,False,https://www.tiktok.com/@fabianxarnold/video/7090958387864816898?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090958387864816898&source=h5_m,5428481,3485,5280,774,372648,6767836526366755590,6767836526366755590,72,6767836526366755590,original sound - mikajr97,Mika ♪,6.700635756916213e+18,Mika ♪,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1652304315943974.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2671aafb94e2deb66a47adfd520d4d58.json,False,False,[],0,0,,,,,Madagascar,#german#germany#viral#fy#fyp,0,0,1,0,0,0,0,0,0,1
1,DE,7083513879275293958,1649259097,only a preferred type 👀 @itsjulienbrown @Tim Schaecker #viral#elevatorboys #type#trend#fyp,6813884539272201221,jacob rott,"IG: jacobrott
boy meets world 🌍 

𝕳𝖊𝖑𝖑 𝖜𝖆𝖘 𝖇𝖔𝖗𝖎𝖓𝖌",0,False,https://www.tiktok.com/@jacob_rtt/video/7083513879275293958?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083513879275293958&source=h5_m,4592239,2813,1201,77,355100,6866406382824966918,6866406382824966918,72,6866406382824966918,original sound - baby_yoda2.0 (Contains music from: Watermelon Sugar - Harry Styles),"Contains music from: ""Watermelon Sugar""",6.620995234431009e+18,Baby Yoda,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6866406302969645829.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/c25afb55171c42a41dd9d168f879ce70.json,False,False,[],0,0,Harry Styles,Watermelon Sugar,original sound - baby_yoda2.0 (Contains music from: Watermelon Sugar - Harry Styles),"Contains music from: ""Watermelon Sugar""",Madagascar,#viral#elevatorboys #type#trend#fyp,0,0,1,0,0,0,0,0,1,1
2,FR,7096158163229052166,1652203074,Pour vous les fille💚💙,6532064574873567233,Compte conseil girl❤️💙💚,💚 compte pour fille 🧔🏻‍♂️partez,0,False,https://www.tiktok.com/@by_esthetique2/video/7096158163229052166?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096158163229052166&source=h5_m,1217277,1187,2326,210,105928,7050844228410575621,7050844228410575621,72,7050844228410575621,original sound - linda.lenda,Linda,6.858158913226442e+18,Linda,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7050847713797212934.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/edb3155c35b1f5c58f529d0e6ac34d50.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
3,FR,7099494926542589189,1652979976,quand c'est les devoirs avec les goss 🤣🤣❤️,6809705897670657030,Soso Sofia,"délire avec ma famille ❤❤
🇹🇳🇹🇳🇹🇳",0,False,https://www.tiktok.com/@sososofia7/video/7099494926542589189?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099494926542589189&source=h5_m,1051613,385,1623,222,42223,6950299789724617478,6950299789724617478,72,6950299789724617478,original sound - droledesketchs,Vidéos drôles - Humoristes,6.924669223475152e+18,Vidéos drôles - Humoristes,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6950299890752834310.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/571739177bdb2f8af16e314105634b09.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
4,GB,7103663598223854853,1653950571,😮😮#Paternitycourt #paternitytest #paternity #judgelaurenlake #couplescourt,7026422825088369669,soyunci,"@soyunci
Email : @soyuncientertainment@gmail.com
Entertainment page ✔️",0,False,https://www.tiktok.com/@soyunci/video/7103663598223854853?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103663598223854853&source=h5_m,130401,13,6,18,3951,7103663587646475013,7103663587646475013,72,7103663587646475013,original sound - soyunci,soyunci,7.02642282508837e+18,soyunci,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103663599063714566.mp3,,False,False,[],0,0,,,,,Madagascar,#Paternitycourt #paternitytest #paternity #judgelaurenlake #couplescourt,0,0,0,0,0,0,0,0,0,0
5,MG,7095289528088349958,1652000831,1 Like ?,7011799037910500358,"Minecraft pixel art,memes",Hi,0,False,https://www.tiktok.com/@dream_offi/video/7095289528088349958?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095289528088349958&source=h5_m,897433,2865,1456,1139,86188,7053769242491079450,7053769242491079450,24,7053769242491079450,HEAT WAVES,liriiklagu,6.822964716483118e+18,liriiklagu,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7053769239425633051.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ee30a697a946d0df813168fb858d7b9f.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
6,MG,7094487460230614278,1651814088,Assassin tackle ☠️🥶🔪 !!! FAKE BLOODE !!! #tacle #blesser #pourtoi #foryou #neymar #dembele,6918416826859226117,Football/tacle,"TACLE ASSASSIN ☠️.
 Real Madrid 🤍💙",0,False,https://www.tiktok.com/@mr.clasheur/video/7094487460230614278?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094487460230614278&source=h5_m,852494,746,1836,10113,122102,7094487407369734918,7094487407369734918,72,7094487407369734918,original sound - mr.clasheur,Football/tacle,6.918416826859226e+18,Football/tacle,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094487432833927942.mp3,,False,False,[],0,0,,,,,Madagascar,#tacle #blesser #pourtoi #foryou #neymar #dembele,1,0,0,0,0,0,0,1,0,0
7,PH,7098201614367886619,1652678851,Dc:@T.H.A.Ncriminoel 🔥😎,6546399502047641601,Francesca Gueco,"Don’t give up | 19
📩francescaguecoo@gmail.com
⬇️BIGO ID:Francescageuco",0,False,https://www.tiktok.com/@francescagueco/video/7098201614367886619?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098201614367886619&source=h5_m,1415865,721,544,9322,248520,7087111654646860550,7087111654646860550,72,7087111654646860550,original sound - stationv (Contains music from: Freestyle Diez #1 - GAZY MP),"Contains music from: ""Freestyle Diez #1""",6.793346273837041e+18,StationV,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087121659865336581.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/61058b4587c9f93170540d0fd01f6fd6.json,False,False,[],0,0,GAZY MP,Freestyle Diez #1,original sound - stationv (Contains music from: Freestyle Diez #1 - GAZY MP),"Contains music from: ""Freestyle Diez #1""",Madagascar,,0,0,0,0,0,0,0,0,0,0
0,NG,7073126457077140742,1646840587,how accurate is this 🤣🤣🤣💔#omoprakte #killicodes #funnykilli #parody #kpop #kdrama #trend #viral #acting #bollywood,6667229498818134022,CELESTIAL BEING ✨,"OMOPRAKTE ❤️
CONTENT CREATOR|| ACTOR|| MODEL|| CREATIVE DIRECTOR.
check IG",0,False,https://www.tiktok.com/@killi_codes/video/7073126457077140742?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073126457077140742&source=h5_m,1110748,4822,6316,17761,134495,7073126623494605574,7073126623494605574,72,7073126623494605574,original sound - killi_codes,CELESTIAL BEING ✨,6.667229498818134e+18,CELESTIAL BEING ✨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073126649566382854.mp3,,False,False,[],0,0,,,,,Madagascar,#omoprakte #killicodes #funnykilli #parody #kpop #kdrama #trend #viral #acting #bollywood,0,0,0,0,0,0,0,0,1,1
1,CA,7103664317081472261,1653950738,TCHIASSS CARRÉ 😂😂 #bloopers #fypシ #pourtoi,6905943009935229957,tai_tl,,0,False,https://www.tiktok.com/@tai.tl2/video/7103664317081472261?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103664317081472261&source=h5_m,65032,184,313,428,14245,7103664288921553670,7103664288921553670,72,7103664288921553670,original sound - tai.tl2,tai_tl,6.90594300993523e+18,tai_tl,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103664295061293829.mp3,,False,False,[],0,0,,,,,Madagascar,#bloopers #fypシ #pourtoi,0,0,0,1,0,0,0,1,0,0
2,GB,7099423178233089285,1652963271,It is what it is💔 #fyp #hurt #pain #fypシ #foru,7089351082707878918,user75378955,,0,False,https://www.tiktok.com/@__unknownh/video/7099423178233089285?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099423178233089285&source=h5_m,5378005,4247,17160,44118,749736,7095822586675809029,7095822586675809029,72,7095822586675809029,Secret love song . Little mix,Speed songs🫶🏼,7.093265443230025e+18,Speed songs🫶🏼,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095822597417421573.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/04184e9415d944f69d7c41964d6ec4e3.json,False,False,[],0,0,,,,,Madagascar,#fyp #hurt #pain #fypシ #foru,0,0,1,1,0,0,0,0,0,0
3,FR,7103611235920301313,1653938378,Dis moi si ça t’aide 💙 #developpementpersonnel #plusfortensemble #selflovewithmaryam,6935645873091412998,Maryam Gadery,"🚀 Coach Développement Personnel 
❤️ Self-love 
🎙 Podcast : L’École de la Vie",0,False,https://www.tiktok.com/@maryamgadery/video/7103611235920301313?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103611235920301313&source=h5_m,114482,243,317,4,7790,7103611238349556482,7103611238349556482,72,7103611238349556482,original sound - maryamgadery,Maryam Gadery,6.935645873091413e+18,Maryam Gadery,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103611216292268801.mp3,,False,False,[],0,0,,,,,Madagascar,#developpementpersonnel #plusfortensemble #selflovewithmaryam,0,0,0,0,0,0,0,0,0,0
4,CA,7089482317059607813,1650648732,Hard work pays off… i think💅🏾🤪#fyp #foryou #funny #bestie #viral #cropped #school #croppedvideos #meme#viral #abcxyz,6975238722737685509,Ashley🌊,"‼️CALLING ALL BARBZ‼️
🥹Live Love Laugh🥹
🛐DojaCatSupremacy🛐
🧌SLAY🧌
🇨🇦🇹🇹",0,False,https://www.tiktok.com/@nickiminajscupcakke/video/7089482317059607813?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089482317059607813&source=h5_m,6814509,31946,67825,70213,1176430,7089482309120477957,7089482309120477957,72,7089482309120477957,Making a Shooting Star,Ashley🌊,6.975238722737686e+18,Ashley🌊,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089482328598203141.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/533bf6d7dfc5b4d660a468451b69ccb7.json,False,False,[],0,0,,,,,Madagascar,#fyp #foryou #funny #bestie #viral #cropped #school #croppedvideos #meme#viral #abcxyz,1,0,1,0,0,0,0,0,0,2
5,MG,7070979676050656518,1646340750,#next #fyp #rnb #rnbmusic #oldschoolrnb #90srnb #oldbutgold,7031134109971825670,Oldschool_rnb_lover,✨ Old School Rnb & Hip-Hop ✨,0,False,https://www.tiktok.com/@oldschool_rnb_lover/video/7070979676050656518?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070979676050656518&source=h5_m,261690,422,2913,4919,22382,245019015113334784,245019015113334784,71,245019015113334784,Wifey,Next,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1c86f4c9ee814496b159abeaa5958ddb,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e78da92497ac4978bd84a03bca7929a2,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '303078580', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Madagascar,#next #fyp #rnb #rnbmusic #oldschoolrnb #90srnb #oldbutgold,0,0,1,0,0,0,0,0,0,0
6,MG,7078619322372869382,1648119495, ,6820825458276942854,roro,♥️🏀♥️,0,False,https://www.tiktok.com/@anro501/video/7078619322372869382?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078619322372869382&source=h5_m,8691,16,9,1,211,7008365962936257285,7008365962936257285,72,7008365962936257285,original sound - user98643841235 (Contains music from: Daisy - Vivian Grey),"Contains music from: ""Daisy""",6.967912306600855e+18,112345,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7008366142666377989.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/982111ece7e0212d48b06b6dc3fa7937.json,False,False,[],0,0,Vivian Grey,Daisy,original sound - user98643841235 (Contains music from: Daisy - Vivian Grey),"Contains music from: ""Daisy""",Madagascar,,0,0,0,0,0,0,0,0,0,0
7,US,7099957258276162859,1653087619,LIKE WOW #christian #fyp,6736279967926322182,Cheyenne Ewing,"I’m not perfect but Jesus is | I’m 17 | Snap: cheyenne.ewing7
Ccewing7@gmail.com",0,False,https://www.tiktok.com/@cheyenne.ewing/video/7099957258276162859?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099957258276162859&source=h5_m,469322,1156,1534,2441,93748,7073036425435843354,7073036425435843354,24,7073036425435843354,taehyun is so bf (Contains music from: I Love You - Kwixou),"Contains music from: ""I Love You""",7.060505385828124e+18,amber ✘,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073036415197793050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e274011ed7003c4e9c00460babdda416.json,False,False,[],0,0,Kwixou,I Love You,taehyun is so bf (Contains music from: I Love You - Kwixou),"Contains music from: ""I Love You""",Madagascar,#christian #fyp,0,0,1,0,0,0,0,0,0,0
0,FR,7084297544741702918,1649441558,Vous vous êtes réveillé ou vous... 🤣 #pourtoi #viral #humour #dessin #bonnenuit,7080592114643780614,TOM,"Salut 😊
Bienvenue dans le monde des toons 👀",0,False,https://www.tiktok.com/@toons.stories/video/7084297544741702918?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084297544741702918&source=h5_m,1166300,1296,2717,192,175354,6811119231808506629,6811119231808506629,72,6811119231808506629,original sound - lucasobonnet,Lucas O’bonnet 👲🏻,6.563188777464349e+18,Lucas O’bonnet 👲🏻,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1662871093714981.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/293fb00e924645fe36d0bc02d858f759.json,False,False,[],0,0,,,,,Madagascar,#pourtoi #viral #humour #dessin #bonnenuit,0,0,0,0,0,0,0,1,0,1
1,GB,7102583051175087366,1653698986,#deep #cute #Love #happy #couple #relationship #fyp #foryou,7053854746805928966,_.3amthoughts00,"FOLLOW FOR MORE LATE NIGHT THOUGHTS❤️
Email = ap_thoughts@outlook.com",0,False,https://www.tiktok.com/@_.3amthoughts00/video/7102583051175087366?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102583051175087366&source=h5_m,904174,1173,6219,9679,164497,6978211733206764294,6978211733206764294,72,6978211733206764294,original sound - mariaam.alkkkk,Mariaam.alkkkk,6.978176095254627e+18,Mariaam.alkkkk,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6978211802308037381.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/26ce5db570b898820ab4d304da602064.json,False,False,[],0,0,,,,,Madagascar,#deep #cute #Love #happy #couple #relationship #fyp #foryou,1,0,1,0,0,0,0,0,0,0
2,FR,7102731891769494790,1653733642,La vidéo complète est sur mon compte INSTAGRAM ❤️ #coach #charisme #selfdefense #theoffice,6815642946075902981,Stephane malassagne,les vidéos complètes du COACH sont sur mon compte INSTAGRAM et ma chaîne YOUTUBE,0,False,https://www.tiktok.com/@stephanemalassagne/video/7102731891769494790?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102731891769494790&source=h5_m,1385522,1977,3650,11,103245,7102731879509396229,7102731879509396229,72,7102731879509396229,original sound - stephanemalassagne,Stephane malassagne,6.815642946075903e+18,Stephane malassagne,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102731884366875398.mp3,,False,False,[],0,0,,,,,Madagascar,#coach #charisme #selfdefense #theoffice,0,0,0,0,0,0,0,0,0,0
3,FR,7093208806976441606,1651516373,J’ai essayer de faire un effort insta : krimsow @candyatb_off,6704147201268417541,Krimsow,"👻krimsowoff
📨 krimsowofficielpro@outlook.fr
 On monte à 150k sur insta ?",0,False,https://www.tiktok.com/@krimsow_off/video/7093208806976441606?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093208806976441606&source=h5_m,2225869,799,767,112,224336,7093208809304230661,7093208809304230661,72,7093208809304230661,original sound - krimsow_off,Krimsow,6.704147201268418e+18,Krimsow,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093208802534804230.mp3,,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
4,FR,7085755630744554757,1649781045,Ce type me fait tellement rire 🤣🤣🤣,6714391925892416518,Zatis,Zatis sur Instagram et Zatis sur Snapchat ❤️🇫🇷🇲🇦,0,False,https://www.tiktok.com/@zatistok/video/7085755630744554757?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085755630744554757&source=h5_m,5552653,28730,70662,12555,668038,7085755624130104069,7085755624130104069,72,7085755624130104069,original sound - zatistok,Zatis,6.714391925892417e+18,Zatis,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085755639388982021.mp3,,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
