,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_bulgaria,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_viral,hash_българия,hash_ергенът
6,BG,7080172928700042501,1648481221,#fyyyy 😁😂😂,6942959860327072773,efraim4ou1,🇧🇬🇬🇧,0,False,https://www.tiktok.com/@delilik669yani/video/7080172928700042501?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080172928700042501&source=h5_m,346862,43,540,1,8617,7062443797682129670,7062443797682129670,72,7062443797682129670,original sound - m.escobarr77,M.escobarr77,7.041645512391738e+18,M.escobarr77,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7062443781308271365.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f78d8dbf89b233fc841b2b218ad2da08.json,False,False,,,,,[],0,0,Bulgaria,#fyyyy,0,0,0,0,0,0,0,0,0,0
7,CO,7103274721982106886,1653860029,#viral #parati,7026543083198415877,DANIELA BAPTISTA 🐰,🔽🔽🔽🔽🔽,0,False,https://www.tiktok.com/@danielabaptistaofficial/video/7103274721982106886?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103274721982106886&source=h5_m,223921,41,20,164,11825,6742199989981678342,6742199989981678342,72,6742199989981678342,whyisthisaudiofamous (Contains music from: Pistol - Andre Swilley & Cookie Cutters),"Contains music from: ""Pistol""",2381819.0,molly 💛,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1646046236596230.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/300aaff96976f5891d3ce79259304b7f.json,False,False,Andre Swilley & Cookie Cutters,Pistol,whyisthisaudiofamous (Contains music from: Pistol - Andre Swilley & Cookie Cutters),"Contains music from: ""Pistol""",[],0,0,Bulgaria,#viral #parati,0,0,0,0,0,0,0,1,0,0
0,BG,7072733128283966726,1646749008, ,6683831577031590918,Симона Христова,BG18STSA93000027910740,0,False,https://www.tiktok.com/@simonitttaa/video/7072733128283966726?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072733128283966726&source=h5_m,664503,533,481,453,32133,7015660571542768390,7015660571542768390,72,7015660571542768390,original sound - memebombi4ka1 (Contains music from: Tri-chetiri - Ilian),"Contains music from: ""Tri-chetiri""",6.77929810806191e+18,Memebombi4ka,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7015660645597432581.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d6f0c6c7c4f40d86697fe0cd6240cf0c.json,False,False,Ilian,Tri-chetiri,original sound - memebombi4ka1 (Contains music from: Tri-chetiri - Ilian),"Contains music from: ""Tri-chetiri""",[],0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
1,BG,7071197304417438982,1646391422,@naydenovv.n #fyp #foryou #btv #грим #ергенът #ергенът2022 #ергенътсезон1 #naydenovvn,6913457199994881030,𝓝𝓲𝓴𝓸𝓵𝓪𝔂,"Instagram—————^
🇧🇬
👻: nnaidenov67
97К❤️‍🔥🎉",0,False,https://www.tiktok.com/@naydenovv.n/video/7071197304417438982?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071197304417438982&source=h5_m,1125938,389,2180,2773,71892,7071197209575934726,7071197209575934726,72,7071197209575934726,original sound - naydenovv.n,𝓝𝓲𝓴𝓸𝓵𝓪𝔂,6.913457199994881e+18,𝓝𝓲𝓴𝓸𝓵𝓪𝔂,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7071197248793250566.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1755cabc5b49c678de253d34185c0ca8.json,False,False,,,,,[],0,0,Bulgaria,#fyp #foryou #btv #грим #ергенът #ергенът2022 #ергенътсезон1 #naydenovvn,0,1,0,0,0,1,0,0,0,1
2,NL,7102338322286038277,1653642007,dad’s life be like …😂😂 #fy #foryoupage #fypシ #comdey #comedia #humor #funny  #viral,6771083990319531014,Mou&jojo,"Be happy, have a 😁 with us.
IG: Mouu.JoJo
Thank you for 60k ❤️🤩",0,False,https://www.tiktok.com/@mou.jojo/video/7102338322286038277?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102338322286038277&source=h5_m,2794201,990,18597,34308,85019,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Bulgaria,#fy #foryoupage #fypシ #comdey #comedia #humor #funny #viral,0,0,1,1,1,0,1,1,0,0
3,BG,7075986846391487750,1647506574, ,6782111769508496389,Travel_couple88,"Да се забавляваме заедно!💚☀️
Код Travelcouple88 за 10% отстъпка от тук 👇🐝🍯",0,False,https://www.tiktok.com/@travel_couple88/video/7075986846391487750?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075986846391487750&source=h5_m,741349,38,400,2,41442,7075986788325673733,7075986788325673733,72,7075986788325673733,original sound - travel_couple88,Travel_couple88,6.782111769508496e+18,Travel_couple88,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7075980543921294085.mp3,,False,False,,,,,[],0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
4,BG,7088357413857889542,1650386821,#hellskitchenbulgaria #hellskitchen #hellskitchenbulgaria2022 #хелскитчен #хелскитчън #cooking #andreaakse,7083615427544499206,hell’s kitchen,predimno hell’s kitchen i ergena,0,False,https://www.tiktok.com/@ergenat.btv.bulgaria/video/7088357413857889542?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088357413857889542&source=h5_m,583209,208,814,1629,62740,7088357409718012678,7088357409718012678,72,7088357409718012678,original sound - ergenat.btv.bulgaria,hell’s kitchen,7.083615427544499e+18,hell’s kitchen,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088357401249860357.mp3,,False,False,,,,,[],0,0,Bulgaria,#hellskitchenbulgaria #hellskitchen #hellskitchenbulgaria2022 #хелскитчен #хелскитчън #cooking #andreaakse,0,0,0,0,0,0,0,0,0,0
5,BG,7076880333567708421,1647714604,Яжте повече шоколад #fypシ #foryou #doctor #nurse #доктор #медсестра #факти #шоколад,6747741823840240646,Dr.Evelina,🇧🇬Съвети за вашето здраве🇹🇩,0,False,https://www.tiktok.com/@dr.evelina/video/7076880333567708421?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076880333567708421&source=h5_m,653727,144,378,279,22702,7007003401980545794,7007003401980545794,72,7007003401980545794,original sound - fhdkpkp (Contains music from: Pandemia - SIRO),"Contains music from: ""Pandemia""",6.963696746041476e+18,فهد ابن الموصل,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7007003416094345985.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dedbf9cd2840bc75e948079776eb444a.json,False,False,SIRO,Pandemia,original sound - fhdkpkp (Contains music from: Pandemia - SIRO),"Contains music from: ""Pandemia""",[],0,0,Bulgaria,#fypシ #foryou #doctor #nurse #доктор #медсестра #факти #шоколад,0,1,0,0,0,0,1,0,0,0
6,BG,7087617350630968582,1650214511,Все компромиси се правят 🤣 #foryou #foryoupage #4u #starreporters #bulgaria #reporter #смяхдоскъсване #plazzadancesofia #plazza #sofia,6870098291880543238,Bobby Star Reporters,"Напред към 50К 🤟

Host & Reporter🎤 Watch Star Reporters ♥️",0,False,https://www.tiktok.com/@bobby_star_reporters/video/7087617350630968582?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087617350630968582&source=h5_m,754743,59,301,238,20588,7087617330364156678,7087617330364156678,72,7087617330364156678,original sound - bobby_star_reporters,Bobby Star Reporters,6.870098291880543e+18,Bobby Star Reporters,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087617336835869445.mp3,,False,False,,,,,[],0,0,Bulgaria,#foryou #foryoupage #4u #starreporters #bulgaria #reporter #смяхдоскъсване #plazzadancesofia #plazza #sofia,1,1,1,0,0,0,0,0,0,0
7,UA,7102038335274634502,1653572159,ХОЧЕШЬ ТАК ЖЕ? Inst: obraabotka_photo🔥 #обработкафото #ребзики,6899462920758789121,Обработка фото🌹,"СДЕЛАЮ ТВОЕ ФОТО ИДЕАЛЬНЫМ🔥
Обучаю обработке фотографий!
Inst: obraabotka_photo",0,False,https://www.tiktok.com/@obraabotka_photo/video/7102038335274634502?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102038335274634502&source=h5_m,10386549,1098,3655,102,131158,7048561362456398597,7048561362456398597,72,7048561362456398597,original sound - ukrainee_music1 (Contains music from: Ти - MÉLOVIN),"Contains music from: ""Ти""",7.036482900539639e+18,Українська музика. Наше рідне,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7048561403619199750.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/976b0d06ccb07b06fb14a287c8893fb0.json,False,False,MÉLOVIN,Ти,original sound - ukrainee_music1 (Contains music from: Ти - MÉLOVIN),"Contains music from: ""Ти""",[],0,0,Bulgaria,#обработкафото #ребзики,0,0,0,0,0,0,0,0,0,0
0,US,7103236696736566530,1653851173,we got kicked out.. #fyp #fakebody,6724715071983354886,Natalie Reynolds,"Link in ig bio 💗🌶
18",0,False,https://www.tiktok.com/@nataliereynoldsx/video/7103236696736566530?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103236696736566530&source=h5_m,807282,382,118,1,49173,7083655456534842158,7083655456534842158,72,7083655456534842158,original sound - djprecise,DJ Precise,6.780923368507868e+18,DJ Precise,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7083655483805977386.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/55e867230ec0554fc77c07d516e8ff11.json,False,False,,,,,[],0,0,Bulgaria,#fyp #fakebody,0,0,0,0,0,1,0,0,0,0
1,BG,7094536524817059078,1651825511,#fyp #fyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfy #foryou #everparty #tiktokbulgaria #fypシ゚viral,6820400647461585926,Zlatinka Stoianova,"Just for fun 😋
19 Y.O🤩
✨Instagram: zlatii.s✨
New Account 🇧🇬/🇧🇬",0,False,https://www.tiktok.com/@zlati.ss/video/7094536524817059078?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094536524817059078&source=h5_m,153729,72,139,139,9025,7080836791330605829,7080836791330605829,72,7080836791330605829,original sound - naydenovv.n,𝓝𝓲𝓴𝓸𝓵𝓪𝔂,6.913457199994881e+18,𝓝𝓲𝓴𝓸𝓵𝓪𝔂,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080836802491222790.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/834b8bd8246d1c592bb6861d87cf21b6.json,False,False,,,,,[],0,0,Bulgaria,#fyp #fyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfy #foryou #everparty #tiktokbulgaria #fypシ゚viral,0,1,0,0,0,1,1,1,0,0
2,DE,7097956599750315269,1652621806,#отпусни_се_малко #😎😎😎😎 #😂😂😂😂😂 #❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ #🇧🇬 #foryou #,6920542377367356422,ДЯВОЛЪТ С АНГЕЛСКОТО СЪРЦЕ👿❤️,По добре на хората в устата от колкото в кръката..!🥰,0,False,https://www.tiktok.com/@emyy364/video/7097956599750315269?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097956599750315269&source=h5_m,706307,0,1178,1,30352,7097956593626516229,7097956593626516229,72,7097956593626516229,original sound - emyy364,ДЯВОЛЪТ С АНГЕЛСКОТО СЪРЦЕ👿❤️,6.920542377367356e+18,ДЯВОЛЪТ С АНГЕЛСКОТО СЪРЦЕ👿❤️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097956593513319173.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5364f450acbf79a44fcdb106a483467f.json,False,False,,,,,[],0,0,Bulgaria,#отпусни_се_малко #😎😎😎😎 #😂😂😂😂😂 #❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ #🇧🇬 #foryou #,0,1,0,0,0,0,0,0,0,0
3,US,7087230032036367662,1650124331,It's too crazy#bike #foryou #sports #fyp #crazy #cycling #mountainbike,7086753436503573546,Cycling Club,Cycling enthusiast,0,False,https://www.tiktok.com/@cycleclub1/video/7087230032036367662?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087230032036367662&source=h5_m,19527767,23063,37080,23057,1661363,7087230005108869930,7087230005108869930,72,7087230005108869930,original sound - cycleclub1,Cycling Club,7.086753436503574e+18,Cycling Club,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7087230036302023470.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2edcb1f4326bb4ad225448998c7b0f73.json,False,False,,,,,[],0,0,Bulgaria,#bike #foryou #sports #fyp #crazy #cycling #mountainbike,0,1,0,0,0,1,0,0,0,0
4,BG,7086877925055810822,1650042350,Опито,6682984813992199173,anissta,"22y
Instagram: @aniissta 🦋",0,False,https://www.tiktok.com/@anissta/video/7086877925055810822?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086877925055810822&source=h5_m,371635,23,43,1,38007,6859793120754666242,6859793120754666242,72,6859793120754666242,original sound - hapchetozaglava,hapchezaglava,6.77696978408281e+18,hapchezaglava,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6859792861370665730.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b868d2be9cdbb8ace22f4aab6c100f13.json,False,False,,,,,[],0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
5,BG,7080934252942052614,1648658481,I went to the fridge to get a snack and you weren’t there… 😏#викторстоянов #ергенът #thebachelor #funny #snack #you,6898666227691570182,𝔙𝔦𝔨𝔱𝔬𝔯 𝔖𝔱𝔬𝔶𝔞𝔫𝔬𝔳,"🤵🏻 Gentleman.
✍🏻 Thoughts about life.
🥷🏼 Personal aesthetic training.",0,False,https://www.tiktok.com/@viktor.s.s/video/7080934252942052614?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080934252942052614&source=h5_m,657240,2600,1617,1530,36083,7080934231249046277,7080934231249046277,72,7080934231249046277,original sound - viktor.s.s (Contains music from: Passionfruit - Drake),"Contains music from: ""Passionfruit""",6.89866622769157e+18,𝔙𝔦𝔨𝔱𝔬𝔯 𝔖𝔱𝔬𝔶𝔞𝔫𝔬𝔳,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080934234075958022.mp3,,False,False,Drake,Passionfruit,original sound - viktor.s.s (Contains music from: Passionfruit - Drake),"Contains music from: ""Passionfruit""",[],0,0,Bulgaria,#викторстоянов #ергенът #thebachelor #funny #snack #you,0,0,0,1,0,0,0,0,0,1
6,BG,7096429994687089926,1652266366,aide ejko bejko#maikatietarikat#ejkobejko,6862718097809589254,I am bored,banan,0,False,https://www.tiktok.com/@vw.tdi/video/7096429994687089926?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096429994687089926&source=h5_m,102124,169,298,0,10794,7095097227550477062,7095097227550477062,72,7095097227550477062,original sound - a.dimitroff,Åñtöñìö,6.606692910309491e+18,Åñtöñìö,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095097254138415877.mp3,,False,False,,,,,[],0,0,Bulgaria,#maikatietarikat#ejkobejko,0,0,0,0,0,0,0,0,0,0
7,CO,7095110598572264709,1651959169, ,7012110537594291205,Ellen,"Ig: ellenpalacios_

Second account: @ellenp2022",0,False,https://www.tiktok.com/@ellp2022/video/7095110598572264709?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095110598572264709&source=h5_m,9818450,2337,3784,276,306948,6742199989981678342,6742199989981678342,72,6742199989981678342,whyisthisaudiofamous (Contains music from: Pistol - Andre Swilley & Cookie Cutters),"Contains music from: ""Pistol""",2381819.0,molly 💛,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1646046236596230.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/300aaff96976f5891d3ce79259304b7f.json,False,False,Andre Swilley & Cookie Cutters,Pistol,whyisthisaudiofamous (Contains music from: Pistol - Andre Swilley & Cookie Cutters),"Contains music from: ""Pistol""",[],0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
0,US,7074768751110982954,1647222962,Reply to @rip.fennel life isn’t about waiting for the storm to pass it’s about learning to dance in the rain. (Tik tok I’m 21) #adult #fyp,6872310992836527109,Callie <3,"Link tree in insta bio
Other account @notcallieallan
21
Ga",0,False,https://www.tiktok.com/@callieallan/video/7074768751110982954?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074768751110982954&source=h5_m,16608013,7282,6307,7751,1143548,6902994927521729285,6902994927521729285,72,6902994927521729285,original sound - proudbg,꒰აꨄ໒꣓,6.832154296142874e+18,꒰აꨄ໒꣓,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6987833085912238853.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/0b7a3a7484661c055f2fac0db32c2a39.json,False,False,,,,,[],0,0,Bulgaria,#adult #fyp,0,0,0,0,0,1,0,0,0,0
1,BG,7086722579213438214,1650006185,@victoriap254 @mariya😛 #foryou #fyyyyyyyyyyyyy #foryouoage #fyp,6827771910039864326,✨SD✨,"Pleven, Bulgaria🇧🇬
Thanks for 50k❤️🥺",0,False,https://www.tiktok.com/@stefani_danailova/video/7086722579213438214?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086722579213438214&source=h5_m,1143059,442,591,1427,74181,7084248760657726214,7084248760657726214,72,7084248760657726214,original sound - sofi_marinova_official_ (Contains music from: Garmish - Sofi Marinova),"Contains music from: ""Garmish""",6.636116883542262e+18,Sofi Marinova Official,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084248754194287365.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5dea5a7aa48a12c76a6dddbc1dca1227.json,False,False,Sofi Marinova,Garmish,original sound - sofi_marinova_official_ (Contains music from: Garmish - Sofi Marinova),"Contains music from: ""Garmish""",[],0,0,Bulgaria,#foryou #fyyyyyyyyyyyyy #foryouoage #fyp,0,1,0,0,0,1,0,0,0,0
2,NP,7076262596923362586,1647570776,#psychosiddique #Bad_munda😈😈,7038783976384267291,Bad Munda,please check out my YouTube channel and watch my new song,0,False,https://www.tiktok.com/@pikachulover070/video/7076262596923362586?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076262596923362586&source=h5_m,40530790,16700,33614,338780,1897153,7059705159681002267,7059705159681002267,72,7059705159681002267,original sound - its__me__nabin_333,Nabin Kushwaha,6.748767868752627e+18,Nabin Kushwaha,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7059705157499767579.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6b978f559da888b70079c7d37c940e38.json,False,False,,,,,[],0,0,Bulgaria,#psychosiddique #Bad_munda😈😈,0,0,0,0,0,0,0,0,0,0
3,US,7100937687313419522,1653315893,Why everyone request me to do this trend? 😩 @Artemka_ТЯПА  #tall #heightproblems #heightdifference #foryou #comedу,6605625169385193477,Ekaterina Lisina,"Tallest Professional Model (6’9)
📧 lisina@wtmmodels.com",0,False,https://www.tiktok.com/@lisina15/video/7100937687313419522?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100937687313419522&source=h5_m,9085169,4875,2634,5153,419838,6990786917126228737,6990786917126228737,72,6990786917126228737,You Can Do It,mineral,6.745861054922049e+18,mineral,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6990786866878450434.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e71d38e8d8ed110d41308f105f03a3f8.json,False,False,,,,,[],0,0,Bulgaria,#tall #heightproblems #heightdifference #foryou #comedу,0,1,0,0,0,0,0,0,0,0
4,US,7077236829111569670,1647797607,My sister wanted to prank me and this is what she did @alexisfeather,6622888224762314757,wigofellas,"Business: wigofellas@gmail.com
❤FOLLOW MY YOUTUBE I'LL FOLLOW YOU BACK ⬇️⬇️⬇️⬇️",0,False,https://www.tiktok.com/@wigofellas/video/7077236829111569670?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077236829111569670&source=h5_m,14347547,4382,13035,51790,402927,7077236848573139717,7077236848573139717,72,7077236848573139717,original sound - wigofellas (Contains music from: Neighbour Prank - Jon Björk),"Contains music from: ""Neighbour Prank""",6.622888224762315e+18,wigofellas,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7077236858409011974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9502656b18b179b019e4798dc5c330ed.json,False,False,Jon Björk,Neighbour Prank,original sound - wigofellas (Contains music from: Neighbour Prank - Jon Björk),"Contains music from: ""Neighbour Prank""",[],0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
5,BG,7079194552287939846,1648253425,Прави едно бам бам бам… Ⓜ️💥            #fyp #bmw #bmwm #435i #mpower #hyperkong,6765189058458354693,HYPERKONG,"YouTuber 150,000 Subs🔥
Instagram @hyperkong_",0,False,https://www.tiktok.com/@hyperrkong/video/7079194552287939846?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079194552287939846&source=h5_m,336603,109,93,223,27973,7062021043111660293,7062021043111660293,72,7062021043111660293,original sound - supernaturaletop,naturalefen,6.970698055805273e+18,naturalefen,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7062021054247619334.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/661e57856e328171f910f5e939f4fc1a.json,False,False,,,,,[],0,0,Bulgaria,#fyp #bmw #bmwm #435i #mpower #hyperkong,0,0,0,0,0,1,0,0,0,0
6,US,7095412241327050030,1652029400,Happy Mother’s Day 💗🌸 #OdySeaAquarium,6868759876992140293,OdySea Aquarium,"Where Desert Meets Ocean!!
 🌵🐙🦥🐠🐧🦦🐢🦞🌊
Scottsdale, AZ",0,False,https://www.tiktok.com/@odyseaaquarium/video/7095412241327050030?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095412241327050030&source=h5_m,19976861,38890,136778,116392,4119994,6826761248797886465,6826761248797886465,10033,6826761248797886465,Island In The Sun,Weezer,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f42d4d533d374225a8a4b6b823ec1c9a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/82126f67982047ab8a349a658e856165,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1440916787', 'external_song_key': 'apple_song_id'}]",0,0,Bulgaria,#OdySeaAquarium,0,0,0,0,0,0,0,0,0,0
7,ZA,7095961891897412870,1652157381,#stitch with @robesonzimmermanxdq9697 It had to be done!😆 #fyp #foryoupage #southafrica #southafricatiktok #gunther #goat,140279395482587138,Etienne Tromp,thanks for the follow,0,False,https://www.tiktok.com/@etiennetromp/video/7095961891897412870?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095961891897412870&source=h5_m,11239855,10661,101542,59639,526476,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Bulgaria,#stitch #fyp #foryoupage #southafrica #southafricatiktok #gunther #goat,0,0,1,0,0,1,0,0,0,0
0,BG,7085024414055599365,1649610795,#foryoupage #fyp #fy #foryou #fypage @ivanow_17,6957364152289608709,_sv_4_,"Ludogorets Razgrad💚
Plovdiv-Razgrad💆🏻‍♂️
14y💋",0,False,https://m.tiktok.com/v/7085024414055599365.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085024414055599365&source=h5_m,215419,94,52,159,12851,7032024317579807494,7032024317579807494,72,7032024317579807494,original sound - velichkodimitrov91,vichopami,6.808480742672221e+18,vichopami,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7032024389512743686.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0c66b821fcc1838a97d4a2b4996a536b.json,False,False,,,,,[],0,0,Bulgaria,#foryoupage #fyp #fy #foryou #fypage,0,1,1,0,1,1,0,0,0,0
1,BG,7093852193060621573,1651666175,wajno saobshtenie #fyp #foryou,6766670249917072390,SAFFRONA,Instagram: dragosffrn,0,False,https://m.tiktok.com/v/7093852193060621573.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093852193060621573&source=h5_m,283762,271,2404,2322,30617,7093852146521312006,7093852146521312006,72,7093852146521312006,original sound - dragosffrn,SAFFRONA,6.766670249917072e+18,SAFFRONA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093852157073541893.mp3,,False,False,,,,,[],0,0,Bulgaria,#fyp #foryou,0,1,0,0,0,1,0,0,0,0
