,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_jamaicatiktok,hash_love,hash_movie,hash_trending,hash_viral
2,US,7081317279958601006,1648747662,I hope they love it 🤍🥺 #wedding #bridesmaids #weddingtok #whenwomenwin #fashiontiktok #fyp #foryou,6802809480612938758,Irene Cast🧁,"25🤍
💌perfumetiktok@gmail.com
✨💕MY FAVS IN LINK BELOW✨💕",0,False,https://www.tiktok.com/@perfumetiktok/video/7081317279958601006?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081317279958601006&source=h5_m,1673879,437,1465,2807,265913,6795407744489752577,6795407744489752577,10033,6795407744489752577,Just a Cloud Away,Pharrell Williams,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a9dc60e62f334229af15a0b1650029ff,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/988a63de74c749a8907746e2d8e4b798,False,True,,,,,[],0,0,Antigua and Barbuda,#wedding #bridesmaids #weddingtok #whenwomenwin #fashiontiktok #fyp #foryou,1,0,0,1,0,0,0,0,0,0
3,AU,7087797069422841089,1650256357,Robert Iriwn putting Bluey back away. #australiazoo #robertirwin #irwinfamily #fyp #crocodiles #bluey #croc,55947736176435200,Belinda Lee Watson,Pee on them to assert dominance.,0,False,https://www.tiktok.com/@belindaleewatson/video/7087797069422841089?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087797069422841089&source=h5_m,6800014,2053,2307,5,449651,7031446870262040577,7031446870262040577,10033,7031446870262040577,Down Under (feat. Colin Hay),Luude,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/eb254a94302f4093bf1b24343e4293fb,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e7a3c3dc40104d3784f310c9232e22f4,True,True,,,,,[],0,0,Antigua and Barbuda,#australiazoo #robertirwin #irwinfamily #fyp #crocodiles #bluey #croc,0,0,0,1,0,0,0,0,0,0
4,GB,7102766945472154886,1653741802,Passed the vibe check #fy #fyp #question #police #mask #cool #smart #fun #funny #guy,6806663728349791237,fun.h0us3,"Here to make your day better! 😃
Thanks for 75k followers! Goal 100k! 🤗",0,False,https://www.tiktok.com/@fun.h0us3/video/7102766945472154886?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102766945472154886&source=h5_m,729828,151,530,1154,87137,7102766940510276357,7102766940510276357,72,7102766940510276357,original sound - fun.h0us3,fun.h0us3,6.806663728349791e+18,fun.h0us3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102766947812657926.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,#fy #fyp #question #police #mask #cool #smart #fun #funny #guy,0,0,1,1,0,0,0,0,0,0
5,CA,7076178944453545221,1647551299,Reply to @najuma876 #fypシ #foryoupage #🗣🗣🗣 #fypシ゚viral🖤tiktok #Dominica #older,6809348165608702982,Jenny on the block,"If I can do it you can do it
🇩🇲🇨🇦age is just a number!",0,False,https://www.tiktok.com/@ogjennyontheblock/video/7076178944453545221?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076178944453545221&source=h5_m,100544,127,616,825,4740,7007227055943191301,7007227055943191301,72,7007227055943191301,original sound - annishabaker (Contains music from: Mi C Mi Bed N Miss U - Dexta Daps),"Contains music from: ""Mi C Mi Bed N Miss U""",6.828365456266479e+18,Annisha Baker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7007227159408511749.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c12c1ad5f557e5c3c75ed8da7ef7f7d6.json,False,False,Dexta Daps,Mi C Mi Bed N Miss U,original sound - annishabaker (Contains music from: Mi C Mi Bed N Miss U - Dexta Daps),"Contains music from: ""Mi C Mi Bed N Miss U""",[],0,0,Antigua and Barbuda,#fypシ #foryoupage #🗣🗣🗣 #fypシ゚viral🖤tiktok #Dominica #older,0,1,0,0,2,0,0,0,0,1
6,MX,7102752165545905414,1653738361, ,7102747768766465030,💝 Check My ВІО 👙,👇 Come Here Babe 🥰,0,False,https://www.tiktok.com/@aoniert/video/7102752165545905414?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102752165545905414&source=h5_m,303525,24,338,739,5461,7094179885190908678,7094179885190908678,72,7094179885190908678,original sound - vvcstk,Tik Toker,7.094174843196868e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094179932762295046.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8cab0bac42836768496beb1b0dc43785.json,False,False,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
7,US,7083543246030327083,1649265934,Its the eye roll for me #harley #harleyquinn #rottweiler #fergie #holdmyhand #mybabygirl #yesyoucanholdmyhandifyouwantto #mybaby #rottie #fyp,6563343455094947846,Amanda Rose,Disney+Harry Potter Lover !! Veterinary Assistant 🐶🐶,0,False,https://www.tiktok.com/@pandarosee/video/7083543246030327083?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083543246030327083&source=h5_m,21140887,37667,112613,64146,5962375,6980344033805617926,6980344033805617926,72,6980344033805617926,u can hold my hand,judi,6.718885463874127e+18,judi,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6991707692557454082.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0af7bf34ed5111ef329022cc5dc78ecc.json,False,False,,,,,[],0,0,Antigua and Barbuda,#harley #harleyquinn #rottweiler #fergie #holdmyhand #mybabygirl #yesyoucanholdmyhandifyouwantto #mybaby #rottie #fyp,0,0,0,1,0,0,0,0,0,0
0,GB,7102674454278360326,1653720270,Reply to @breece4.0 we filmed this a month ago and it just became relevant @Andres Cruz 😂🤘🏻🤘🏾 #fyp #tonightwillbethenight #emo #harmony #midenaike,6806401842266113029,midenaike,"Beats, Remixes and God #BRaG

75K ☑️ 100K ☑️ 125K 🔲 🙏🏾💜

FOLLOW MY INSTA 🚀",0,False,https://www.tiktok.com/@midenaike/video/7102674454278360326?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102674454278360326&source=h5_m,146145,193,130,311,27614,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Antigua and Barbuda,#fyp #tonightwillbethenight #emo #harmony #midenaike,0,0,0,1,0,0,0,0,0,0
1,US,7097682449668361514,1652557974,KFC #kfc #fastfood #chickensandwich #spicychicken #LENOVOJUSTBEYOU #foodwanderer #whatieat #wieiad #firstbite #cheesy #saucy,6812757855813305349,Leah,"Hi, I’m Leah!

PO Box 356 Angola, IN 46703
Leahfoodwanderer@gmail.com",0,False,https://www.tiktok.com/@foodwanderer/video/7097682449668361514?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097682449668361514&source=h5_m,723684,190,109,114,65580,7097682415149239086,7097682415149239086,72,7097682415149239086,original sound - foodwanderer,Leah,6.812757855813305e+18,Leah,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7097682439795002154.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,#kfc #fastfood #chickensandwich #spicychicken #LENOVOJUSTBEYOU #foodwanderer #whatieat #wieiad #firstbite #cheesy #saucy,0,0,0,0,0,0,0,0,0,0
2,GB,7080218432431525126,1648491815, ,6737262351944893446,fu_izzy,"Youtube: fu izzy 
Instagram: fu_izzy
📧 fuizzy.info@gmail.com",0,False,https://www.tiktok.com/@fu_izzy/video/7080218432431525126?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080218432431525126&source=h5_m,1804282,2075,8529,8237,72407,7080218442036480773,7080218442036480773,72,7080218442036480773,original sound - fu_izzy,fu_izzy,6.737262351944893e+18,fu_izzy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080218454641068806.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
3,US,7087542912074124590,1650197181,YOU GOT TO MUCH SHOES SO IMMA WEAR YOURS @imkaheim #🇯🇲 #CatOnALeash #flyguy_yagga #viral #makemefameous,7044315520667681838,YAGGA,"follow backup page @theyknowyagga
instagram - flyguyyagga
cashapp - $kayybozo",0,False,https://www.tiktok.com/@flyguy_yaggaa/video/7087542912074124590?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087542912074124590&source=h5_m,845800,1258,1326,1068,72936,7087542784835603243,7087542784835603243,72,7087542784835603243,original sound - flyguy_yaggaa,YAGGA,7.044315520667682e+18,YAGGA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7087542879744461614.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,#🇯🇲 #CatOnALeash #flyguy_yagga #viral #makemefameous,0,0,0,0,0,0,0,0,0,1
4,NG,7097981197598461190,1652627533,#fypシ #fypage #viralvideos #women#nigerantiktok🇳🇬 #lizzykaysecret,6791578606398407685,Chemmy,"DM FOR FEMININE CARE,WEIGHT GAIN,WEIGHT LOSS ,PERMANENT CURE FOR INFECTIONS.",0,False,https://www.tiktok.com/@lizzykaybodysecrets/video/7097981197598461190?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097981197598461190&source=h5_m,351428,43,44,662,15174,7088625161959688965,7088625161959688965,72,7088625161959688965,Say kunkra (Contains music from: Kids choir - Syp),"Contains music from: ""Kids choir""",6.558330170628014e+18,Malvin❤️🌏,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088625195820354310.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e2f6c838278d920cc64c1b840bf2e0f5.json,False,False,Syp,Kids choir,Say kunkra (Contains music from: Kids choir - Syp),"Contains music from: ""Kids choir""",[],0,0,Antigua and Barbuda,#fypシ #fypage #viralvideos #women#nigerantiktok🇳🇬 #lizzykaysecret,0,0,0,0,1,0,0,0,0,0
5,US,7096147285268253998,1652200542,@wayofwadeofficial #wayofwade #basketballshoes #bball #newshoes,6803177377246577670,Winona Kicks,"daily sneaker content
📍MN",0,False,https://www.tiktok.com/@winonakicks/video/7096147285268253998?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096147285268253998&source=h5_m,2789483,308,703,3242,80336,6767863795072224005,6767863795072224005,72,6767863795072224005,original sound - kennathomsen (Contains music from: Yamborghini High (feat. Juicy J) - A$AP Mob),"Contains music from: ""Yamborghini High (feat. Juicy J)""",6.712486558354376e+18,Kenna Thomsen,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1652310569351205.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/d28ce500783154632730f197203c18bf.json,False,False,A$AP Mob,Yamborghini High (feat. Juicy J),original sound - kennathomsen (Contains music from: Yamborghini High (feat. Juicy J) - A$AP Mob),"Contains music from: ""Yamborghini High (feat. Juicy J)""",[],0,0,Antigua and Barbuda,#wayofwade #basketballshoes #bball #newshoes,0,0,0,0,0,0,0,0,0,0
6,GB,7102871242352479493,1653766085,What tell me question did you get on your driving test? 🚘🎉 #drivinghack #drivingtips #learnerdrivers,6855258649527370758,Learn to drive smarter,"Record your drives💯
Personalised tips📝
Pass your test quicker🎉
Get APP NOW⬇️",0,False,https://www.tiktok.com/@weareotimo/video/7102871242352479493?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102871242352479493&source=h5_m,1252986,523,785,4306,170395,7102871238523095814,7102871238523095814,72,7102871238523095814,original sound - weareotimo,Learn to drive smarter,6.855258649527371e+18,Learn to drive smarter,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102871236246211333.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,#drivinghack #drivingtips #learnerdrivers,0,0,0,0,0,0,0,0,0,0
7,US,7099504209309191470,1652982136,POV: the lady on the elevator gassing me up made me nervous 😩,274398,Castro😈,"Castro🇭🇹
Uncle & Nephew Duo🥳
We post nice pictures on",0,False,https://www.tiktok.com/@_cjkilla_/video/7099504209309191470?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099504209309191470&source=h5_m,390348,75,26,24,47020,7092938238754622250,7092938238754622250,72,7092938238754622250,TAG ME FOR DANCE CREDS (Contains music from: Foolish Chances Freestyle (Not Foolish) - Sway Burr),"Contains music from: ""Foolish Chances Freestyle (Not Foolish)""",7.009732940213241e+18,BarieSmackathotひ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7092953250474871598.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/292ae3740cc99891172a125b93a8ab4b.json,False,False,Sway Burr,Foolish Chances Freestyle (Not Foolish),TAG ME FOR DANCE CREDS (Contains music from: Foolish Chances Freestyle (Not Foolish) - Sway Burr),"Contains music from: ""Foolish Chances Freestyle (Not Foolish)""",[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
0,US,7081754571730734378,1648849476,Tutorial on ICE CHIPS AND DIP 🧊❄️ #powderyice #AFairShotWithBlock #GameTok #snow #icechips #eatingsnow #powderyiceeating #powdery #icelover #pica #ice #snowice #eatingice #blending #icetok #eating #iceeatingasmr,7006507889515627526,👑❄️Ice Queen❄️👑,"YouTube: Softicebabe
Brand Deals➡️Softicebabe@gmail.com
See Ice Gadgets Below ⬇️",0,False,https://m.tiktok.com/v/7081754571730734378.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081754571730734378&source=h5_m,9304601,27290,49208,10778,1935230,7064961776458173231,7064961776458173231,72,7064961776458173231,original sound - jojothegemini80 (Contains music from: Jersey Anniversary - KiaBHN),"Contains music from: ""Jersey Anniversary""",6.917417154041054e+18,user1997353480289,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7064961801611594543.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/674623e9b6e94d21d6e0ac194795e4ef.json,False,False,KiaBHN,Jersey Anniversary,original sound - jojothegemini80 (Contains music from: Jersey Anniversary - KiaBHN),"Contains music from: ""Jersey Anniversary""",[],0,0,Antigua and Barbuda,#powderyice #AFairShotWithBlock #GameTok #snow #icechips #eatingsnow #powderyiceeating #powdery #icelover #pica #ice #snowice #eatingice #blending #icetok #eating #iceeatingasmr,0,0,0,0,0,0,0,0,0,0
1,US,7079931561218641198,1648425023,I told him I was gonna give him a facial 🤣 @_yaboyquis #fyp,6808351623790724101,Aylingnav,"FOLLOW ME ON
IG:Aylingnav 
SC: Aylin_18
A & M
👇🏼",0,False,https://m.tiktok.com/v/7079931561218641198.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079931561218641198&source=h5_m,107809,133,44,13,12277,6817120527187020549,6817120527187020549,10036,6817120527187020549,Still Don't Know My Name,Labrinth,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3b180f73cf3e45d0a41a108af588e57d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e39f857c3f0549e9861a9e619a35706c,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1481092695', 'external_song_key': 'apple_song_id'}]",0,0,Antigua and Barbuda,#fyp,0,0,0,1,0,0,0,0,0,0
2,CA,7087300461740477702,1650140729, ,6736444438765110278,1MoreTry,"🔥Follow us on instagram
⏳FLIP THE HOURGLASS FOR 1MORETRY
🎥 YouTube content 🔜",0,False,https://m.tiktok.com/v/7087300461740477702.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087300461740477702&source=h5_m,6092310,2429,20912,11875,893063,7087300447819877125,7087300447819877125,72,7087300447819877125,original sound - 1moretry_official,1MoreTry,6.73644443876511e+18,1MoreTry,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087300441943444229.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
3,DE,7101256196618718469,1653390053,Good morning ❤️‍🔥 | In sta: @casuphil,6807385568914457605,phil,"Hola ❤️‍🔥 Insta: @casuphil
philipp@enkime.de",0,False,https://m.tiktok.com/v/7101256196618718469.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101256196618718469&source=h5_m,7152451,8337,2380,147,883438,7075033522712464134,7075033522712464134,72,7075033522712464134,original sound - lanasmonkeys,Liveforlana_,6.983311437565855e+18,Liveforlana_,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7075033531298122502.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7eee79b2dcf4720ae2d4758bbc6ac9d0.json,False,False,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
4,GB,7099411095609429254,1652960458,I might take this down #schizophrenic #mentalhealth,6899191178421748738,Heather  Moradeyo,"A safe space to be black, queer and speak about mental health🌈✨",0,False,https://m.tiktok.com/v/7099411095609429254.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099411095609429254&source=h5_m,1340127,3165,3758,26,318441,7099411064592747270,7099411064592747270,72,7099411064592747270,original sound - heatherdeyoooo,Heather  Moradeyo,6.899191178421749e+18,Heather  Moradeyo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099498481080945413.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,#schizophrenic #mentalhealth,0,0,0,0,0,0,0,0,0,0
5,CA,7102566255520943365,1653695075,Did she pass the vibe check? #fyp #foryoupage #viral #prank #fratboy #jamaica,6718487619405988870,Tyrese Shaw,"Road to 25k
Tryna make the world a better place, one laugh at a time",0,False,https://m.tiktok.com/v/7102566255520943365.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102566255520943365&source=h5_m,807474,3190,4842,2920,160575,7102566242079558405,7102566242079558405,72,7102566242079558405,original sound - tyres3e,Tyrese Shaw,6.718487619405989e+18,Tyrese Shaw,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102566238215932677.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,#fyp #foryoupage #viral #prank #fratboy #jamaica,0,1,0,1,0,0,0,0,0,1
6,NG,7099186663125011717,1652908203,Center parting gel with kinky part 1 ☺️ #qbambisventures #hairfromqbambisventures #HairTutorial  please follow my IG Qbambi’s Ventures I need ur support guys,7007399411228148742,user6384873155991,GrowHost  content creator CEO of Qbambi’s Ventures IG Qbambi’s ventures,0,False,https://m.tiktok.com/v/7099186663125011717.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099186663125011717&source=h5_m,2103629,343,849,15593,83854,7094606055795182342,7094606055795182342,72,7094606055795182342,original sound - meez_tori_ (Contains music from: Buga - Tekno),"Contains music from: ""Buga""",6.763621678813464e+18,Meez_tori,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094672736014584581.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/aab9110ee76c0085b385188cd7ea1412.json,False,False,Tekno,Buga,original sound - meez_tori_ (Contains music from: Buga - Tekno),"Contains music from: ""Buga""",[],0,0,Antigua and Barbuda,#qbambisventures #hairfromqbambisventures #HairTutorial,0,0,0,0,0,0,0,0,0,0
7,US,7071028795016351019,1646352186,😭,7058799028960822319,Wav3zz🌴,"Saint Thomas usvi 🌴
dm on Insta to book me🚀
⬇️Make 💰 playing with me ⬇️",0,False,https://m.tiktok.com/v/7071028795016351019.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071028795016351019&source=h5_m,243735,323,248,783,19252,6684793697994803201,6684793697994803201,10033,6684793697994803201,No Underwear,Dexta Daps,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/9891eff5993c4699bd4ace94f73dbc5e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/20c65cb22bc749ed87f5bc9ca5ce0a66,False,True,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
0,US,7075499598239845678,1647393126,#wafflehouse activities,6807126210209973253,jay,"IG: @flossybaby
email: info@blkgrlstudios.com",0,False,https://m.tiktok.com/v/7075499598239845678.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075499598239845678&source=h5_m,10376070,21484,69256,3332,2838760,7075499579118078762,7075499579118078762,72,7075499579118078762,original sound - flossybaby,jay,6.807126210209973e+18,jay,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075499613880339243.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/e24e9856f53c54f8d6f08d83db50171f.json,False,False,,,,,[],0,0,Antigua and Barbuda,#wafflehouse,0,0,0,0,0,0,0,0,0,0
1,US,7092839037681290542,1651430279,#duet with @paranormal_tiktoker,7051939010920006702,made_man_Ra,"You are dreaming!! You’re in a dream state✨
Peace love, banned @34k
$mademan1ra",0,False,https://m.tiktok.com/v/7092839037681290542.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092839037681290542&source=h5_m,496038,727,1150,1770,13276,6481095060535380749,6481095060535380749,22,6481095060535380749,Main Titles,Charlie Clouser,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7ac011c6c4c84052a2a8e6bc5c3eee3e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/aeaac8ce696f4970b69284c74f44675f,False,True,,,,,[],0,0,Antigua and Barbuda,#duet,0,0,0,0,0,0,0,0,0,0
2,US,7081713164357946670,1648839835,Finally released this one 🧈,6933283874630714373,Connor Price,"Independent Artist from 🇨🇦
New song ‘Gasoline’ w/ Nic D out now👇🏻",0,False,https://m.tiktok.com/v/7081713164357946670.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081713164357946670&source=h5_m,2807092,1916,2798,9497,368948,7081713146578111275,7081713146578111275,72,7081713146578111275,SMOOTH BY CONNOR PRICE OUT NOW,Connor Price,6.933283874630714e+18,Connor Price,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7081713174491220779.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
3,US,7101471901691825450,1653440274,this girl screaming at hailey while justin’s performing 😭 #haileybieber #fypシ #justinbieber #belieber #justicetour,6941036018121671686,anna <3,Just because,0,False,https://m.tiktok.com/v/7101471901691825450.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101471901691825450&source=h5_m,2641055,2320,1882,1896,559903,6923369632371853314,6923369632371853314,10033,6923369632371853314,All That Matters,Justin Bieber,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a7a8bf628c3b4886a3967d260ead3d6b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/598cb350228942e08cc53d256811a41a,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1440861859', 'external_song_key': 'apple_song_id'}]",0,0,Antigua and Barbuda,#haileybieber #fypシ #justinbieber #belieber #justicetour,0,0,0,0,1,0,0,0,0,0
4,NG,7102344068000238853,1653643346, ,6975205799581811717,joeclipper0,me be me you be you,0,False,https://m.tiktok.com/v/7102344068000238853.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102344068000238853&source=h5_m,1270189,986,4912,222,85856,7102344048392489734,7102344048392489734,72,7102344048392489734,original sound - bittertruthtv,joeclipper0,6.975205799581812e+18,joeclipper0,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102344066284915462.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
5,US,7096520839532776750,1652287517, ,7080603178890904618,dr.mdup,"yes
👇👇👇👇",0,False,https://m.tiktok.com/v/7096520839532776750.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096520839532776750&source=h5_m,2688624,115,1293,7892,31681,7069614327979920171,7069614327979920171,72,7069614327979920171,original sound - g8g8a7,g8g8a7,7.068397949949117e+18,g8g8a7,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7069614348343298859.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9acd1ed43d0c625d54186ae231e86d77.json,False,False,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
6,US,7087387047681396010,1650160888, ,6787785779156517894,Danny_TheGodd,🌈 Get You Easy Money ⬇️⬇️,0,False,https://m.tiktok.com/v/7087387047681396010.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087387047681396010&source=h5_m,102810,56,30,128,10595,7052376940078058245,7052376940078058245,72,7052376940078058245,original sound - f69v_ (Contains music from: Activate - Phuture Mafia),"Contains music from: ""Activate""",6.918049949934814e+18,✌︎︎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7052376985200249606.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fd9da5cdb25aa8adacbdb07d66376e85.json,False,False,Phuture Mafia,Activate,original sound - f69v_ (Contains music from: Activate - Phuture Mafia),"Contains music from: ""Activate""",[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
